Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,0.911,0.067,2.271,,1.162,,,1.102,
1951,1.864,0.074,2.267,,1.153,,,1.102,
1952,2.464,0.081,2.264,,1.146,,,1.104,
1953,3.063,0.089,2.262,,1.141,,,1.106,
1954,1.379,0.098,2.261,,1.137,,,1.11,
1955,2.14,0.107,2.261,,1.134,,,1.114,
1956,0.53,0.118,2.261,,1.132,,,1.119,
1957,1.575,0.129,2.263,,1.132,,,1.124,
1958,1.421,0.141,2.265,,1.133,,,1.131,
1959,1.11,0.154,2.269,,1.136,,,1.138,
1960,1.646,0.167,2.273,,1.14,,,1.147,
1961,1.868,0.182,2.279,,1.145,,,1.156,
1962,1.238,0.197,2.285,,1.151,,,1.166,
1963,1.237,0.21,2.292,,1.158,,,1.176,
1964,1.761,0.22,2.3,,1.167,,,1.188,
1965,0.463,0.23,2.309,,1.177,,,1.2,
1966,1.685,0.242,2.319,,1.188,,,1.213,
1967,0.824,0.255,2.329,,1.2,,,1.227,
1968,1.718,0.269,2.341,,1.214,,,1.242,
1969,1.873,0.284,2.354,,1.228,,,1.257,
1970,1.267,0.3,2.367,,1.244,,,1.274,
1971,1.757,0.317,2.381,,1.26,,,1.291,
1972,0.097,0.334,2.397,,1.278,,,1.309,
1973,2.677,0.353,2.413,,1.297,,,1.328,
1974,0.852,0.373,2.43,,1.316,,,1.347,
1975,2.026,0.393,2.448,,1.337,,,1.367,
1976,0.224,0.415,2.466,,1.359,,,1.388,
1977,1.951,0.437,2.486,,1.381,,,1.41,
1978,0.324,0.46,2.507,,1.405,,,1.433,
1979,1.503,0.484,2.528,,1.429,,,1.456,
1980,0.48,0.51,2.55,,1.455,,,1.48,
1981,2.355,0.535,2.573,,1.481,,,1.505,
1982,0.968,0.562,2.597,,1.508,,,1.531,
1983,1.913,0.59,2.622,,1.536,,,1.558,
1984,1.919,0.618,2.648,,1.564,,,1.585,
1985,0.835,0.648,2.677,,1.594,,,1.613,
1986,1.473,0.678,2.708,,1.624,,,1.642,
1987,3.018,0.708,2.739,,1.655,,,1.671,
