Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,853.675,805.79,1023.267,,892.621,,,900.081,
1951,1064.155,805.413,1021.473,,892.829,,,899.696,
1952,1010.624,805.07,1019.766,,893.058,,,899.347,
1953,847.933,804.76,1018.145,,893.31,,,899.034,
1954,1111.569,804.484,1016.608,,893.582,,,898.757,
1955,946.283,804.24,1015.155,,893.876,,,898.514,
1956,1003.267,804.029,1013.784,,894.191,,,898.306,
1957,960.194,803.849,1012.494,,894.526,,,898.132,
1958,892.137,803.7,1011.285,,894.881,,,897.992,
1959,973.589,803.582,1010.156,,895.256,,,897.885,
1960,1018.118,803.494,1009.104,,895.651,,,897.811,
1961,858.021,803.436,1008.479,,896.064,,,897.77,
1962,722.211,803.407,1008.049,,896.496,,,897.761,
1963,791.218,803.407,1007.659,,896.947,,,897.784,
1964,914.619,803.329,1007.308,,897.416,,,897.839,
1965,926.622,802.89,1006.997,,897.903,,,897.925,
1966,1029.482,802.509,1006.724,,898.407,,,898.042,
1967,978.128,802.186,1006.49,,898.928,,,898.189,
1968,859.191,801.918,1006.293,,899.466,,,898.366,
1969,953.639,801.706,1006.134,,900.02,,,898.573,
1970,887.587,801.548,1006.011,,900.59,,,898.81,
1971,856.876,801.444,1005.924,,901.176,,,899.075,
1972,844.207,801.392,1005.874,,901.778,,,899.369,
1973,940.41,801.392,1005.858,,902.394,,,899.691,
1974,1010.894,801.442,1005.877,,903.025,,,900.041,
1975,836.858,801.542,1005.931,,903.671,,,900.418,
1976,957.734,801.691,1006.018,,904.331,,,900.823,
1977,821.134,801.887,1006.138,,905.004,,,901.254,
1978,842.538,802.131,1006.291,,905.691,,,901.711,
1979,1050.09,802.42,1006.477,,906.39,,,902.195,
1980,911.017,802.755,1006.694,,907.103,,,902.704,
1981,866.553,803.133,1006.942,,907.828,,,903.238,
1982,828.579,803.555,1007.221,,908.564,,,903.797,
1983,876.315,804.019,1007.531,,909.313,,,904.38,
1984,945.093,804.524,1007.87,,910.073,,,904.988,
1985,915.316,805.07,1008.239,,910.844,,,905.62,
1986,943.438,805.655,1008.636,,911.625,,,906.274,
1987,826.292,806.279,1009.062,,912.417,,,906.952,
1988,1082.037,806.94,1009.515,,913.219,,,907.652,
1989,950.798,807.638,1009.996,,914.031,,,908.375,
1990,1008.764,808.372,1010.503,,914.851,,,909.119,
1991,847.953,809.14,1011.037,,915.681,,,909.885,
1992,904.132,809.942,1011.597,,916.52,,,910.672,
1993,914.271,810.778,1012.182,,917.367,,,911.48,
1994,873.104,811.645,1012.792,,918.221,,,912.308,
1995,936.256,812.543,1013.495,,919.084,,,913.156,
1996,899.96,813.472,1014.566,,919.954,,,914.024,
1997,925.613,814.43,1015.676,,920.83,,,914.911,
1998,856.039,815.416,1016.824,,921.714,,,915.816,
1999,954.604,816.429,1018.011,,922.603,,,916.741,
2000,815.703,817.469,1019.233,,923.499,,,917.683,
2001,943.659,818.535,1020.491,,924.4,,,918.643,
2002,740.732,819.625,1021.784,,925.307,,,919.621,
2003,906.69,820.738,1023.11,,926.218,,,920.616,
2004,833.815,821.874,1024.468,,927.134,,,921.627,
2005,770.042,823.033,1025.857,,928.054,,,922.654,
2006,945.617,823.864,1027.277,,928.979,,,923.698,
2007,793.104,,,824.658,929.906,1022.757,825.41,924.756,1028.726
2008,1005.17,,,825.46,930.838,1023.662,826.628,925.83,1030.203
2009,873.023,,,826.268,931.771,1024.585,827.864,926.919,1031.707
2010,805.87,,,827.083,932.708,1025.526,829.117,928.022,1033.237
2011,851.357,,,827.903,933.647,1026.482,830.386,929.139,1034.792
2012,868.603,,,828.729,934.588,1027.455,831.671,930.27,1036.371
2013,931.098,,,829.56,935.53,1028.443,832.97,931.414,1037.973
2014,,,,830.396,936.473,1029.445,834.282,932.571,1039.597
2015,,,,831.235,937.418,1030.463,835.607,933.741,1041.241
2016,,,,832.078,938.363,1031.494,836.943,934.922,1042.906
2017,,,,832.924,939.308,1032.539,838.29,936.116,1044.589
2018,,,,833.772,940.253,1033.596,839.646,937.32,1046.289
2019,,,,834.623,941.198,1034.667,841.012,938.536,1048.007
2020,,,,835.475,942.142,1035.749,842.385,939.763,1049.74
2021,,,,836.328,943.084,1036.842,843.765,940.999,1051.487
2022,,,,837.182,944.026,1037.947,845.151,942.246,1053.248
2023,,,,838.036,944.965,1039.062,846.542,943.502,1055.022
2024,,,,838.889,945.902,1040.187,847.937,944.768,1056.807
2025,,,,839.742,946.837,1041.322,849.336,946.042,1058.602
2026,,,,840.594,947.769,1042.465,850.736,947.324,1060.406
2027,,,,841.443,948.698,1043.617,852.138,948.615,1062.219
2028,,,,842.291,949.624,1044.778,853.541,949.913,1064.039
2029,,,,843.136,950.545,1045.945,854.942,951.219,1065.865
2030,,,,843.978,951.463,1047.12,856.343,952.531,1067.697
2031,,,,844.816,952.375,1048.301,857.74,953.85,1069.532
2032,,,,845.65,953.284,1049.489,859.135,955.176,1071.371
2033,,,,846.479,954.186,1050.681,860.525,956.507,1073.211
2034,,,,847.303,955.084,1051.879,861.91,957.843,1075.053
2035,,,,848.122,955.975,1053.082,863.289,959.185,1076.894
2036,,,,848.934,956.861,1054.288,864.661,960.531,1078.735
2037,,,,849.74,957.74,1055.498,866.025,961.881,1080.573
2038,,,,850.539,958.611,1056.712,867.38,963.236,1082.408
2039,,,,851.331,959.476,1057.927,868.725,964.594,1084.238
2040,,,,852.115,960.333,1059.145,870.06,965.955,1086.064
2041,,,,852.89,961.183,1060.365,871.382,967.319,1087.883
2042,,,,853.656,962.024,1061.585,872.692,968.685,1089.694
2043,,,,854.413,962.857,1062.806,873.989,970.054,1091.497
2044,,,,855.16,963.68,1064.027,875.271,971.424,1093.291
2045,,,,855.897,964.495,1065.248,876.537,972.795,1095.074
2046,,,,856.623,965.3,1066.468,877.787,974.168,1096.846
2047,,,,857.338,966.095,1067.687,879.02,975.541,1098.604
2048,,,,858.04,966.88,1068.904,880.235,976.914,1100.35
2049,,,,858.731,967.654,1070.118,881.431,978.287,1102.08
2050,,,,859.409,968.417,1071.329,882.606,979.66,1103.795
2051,,,,860.074,969.169,1072.537,883.76,981.031,1105.493
2052,,,,860.725,969.91,1073.742,884.893,982.401,1107.173
2053,,,,861.362,970.639,1074.942,886.002,983.77,1108.835
2054,,,,861.984,971.355,1076.137,887.088,985.137,1110.476
2055,,,,862.591,972.059,1077.327,888.149,986.501,1112.096
2056,,,,863.182,972.75,1078.51,889.185,987.862,1113.695
2057,,,,863.758,973.427,1079.688,890.194,989.22,1115.27
2058,,,,864.317,974.091,1080.859,891.175,990.575,1116.821
2059,,,,864.859,974.741,1082.022,892.128,991.926,1118.347
2060,,,,865.383,975.377,1083.178,893.051,993.272,1119.847
2061,,,,865.889,975.998,1084.325,893.944,994.614,1121.319
2062,,,,866.378,976.604,1085.464,894.806,995.951,1122.764
2063,,,,866.847,977.195,1086.593,895.636,997.282,1124.179
2064,,,,867.296,977.77,1087.713,896.432,998.608,1125.563
2065,,,,867.726,978.33,1088.822,897.195,999.928,1126.916
2066,,,,868.135,978.873,1089.92,897.923,1001.241,1128.237
2067,,,,868.524,979.399,1091.008,898.614,1002.547,1129.524
2068,,,,868.891,979.909,1092.083,899.269,1003.845,1130.777
2069,,,,869.237,980.401,1093.146,899.886,1005.137,1131.994
2070,,,,869.56,980.875,1094.197,900.465,1006.42,1133.174
2071,,,,869.86,981.331,1095.234,901.004,1007.694,1134.317
2072,,,,870.138,981.77,1096.257,901.502,1008.96,1135.421
2073,,,,870.391,982.189,1097.266,901.959,1010.217,1136.485
2074,,,,870.621,982.59,1098.261,902.373,1011.465,1137.508
2075,,,,870.825,982.971,1099.24,902.744,1012.702,1138.49
2076,,,,871.005,983.332,1100.203,903.071,1013.929,1139.428
2077,,,,871.159,983.674,1101.151,903.353,1015.146,1140.323
2078,,,,871.287,983.995,1102.081,903.588,1016.352,1141.172
2079,,,,871.388,984.295,1102.994,903.777,1017.546,1141.976
2080,,,,871.462,984.575,1103.89,903.917,1018.728,1142.732
2081,,,,871.509,984.833,1104.767,904.008,1019.898,1143.44
2082,,,,871.528,985.069,1105.626,904.05,1021.056,1144.099
2083,,,,871.518,985.283,1106.466,904.041,1022.201,1144.708
2084,,,,871.48,985.475,1107.286,903.98,1023.333,1145.266
2085,,,,871.412,985.644,1108.085,903.867,1024.451,1145.771
2086,,,,871.314,985.791,1108.864,903.7,1025.555,1146.223
2087,,,,871.185,985.913,1109.622,903.478,1026.645,1146.62
2088,,,,871.026,986.013,1110.358,903.201,1027.72,1146.962
2089,,,,870.836,986.088,1111.073,902.868,1028.78,1147.248
2090,,,,870.613,986.138,1111.764,902.477,1029.824,1147.476
2091,,,,870.359,986.164,1112.432,902.028,1030.853,1147.645
2092,,,,870.071,986.165,1113.077,901.52,1031.865,1147.755
2093,,,,869.751,986.141,1113.697,900.952,1032.861,1147.804
2094,,,,869.396,986.09,1114.293,900.323,1033.84,1147.791
2095,,,,869.008,986.014,1114.864,899.632,1034.801,1147.716
2096,,,,868.585,985.911,1115.409,898.878,1035.745,1147.577
2097,,,,868.126,985.781,1115.928,898.06,1036.671,1147.373
2098,,,,867.632,985.625,1116.421,897.178,1037.578,1147.103
2099,,,,867.102,985.441,1116.886,896.23,1038.466,1146.766
2100,,,,866.536,985.229,1117.324,895.215,1039.335,1146.361
