Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,2.201,0.88,2.771,,1.788,,,1.807,
1951,2.652,0.888,2.763,,1.787,,,1.807,
1952,2.921,0.897,2.757,,1.786,,,1.808,
1953,3.547,0.907,2.751,,1.787,,,1.809,
1954,2.249,0.916,2.747,,1.789,,,1.812,
1955,2.346,0.926,2.744,,1.792,,,1.815,
1956,1.612,0.936,2.741,,1.796,,,1.82,
1957,1.996,0.948,2.74,,1.801,,,1.825,
1958,2.145,0.96,2.74,,1.807,,,1.831,
1959,2.06,0.974,2.741,,1.814,,,1.838,
1960,2.774,0.988,2.743,,1.823,,,1.845,
1961,2.485,1.002,2.746,,1.832,,,1.854,
1962,1.758,1.018,2.75,,1.842,,,1.863,
1963,1.892,1.035,2.755,,1.854,,,1.874,
1964,1.947,1.052,2.762,,1.866,,,1.885,
1965,1.471,1.07,2.769,,1.879,,,1.896,
1966,3.246,1.088,2.777,,1.893,,,1.909,
1967,1.91,1.108,2.786,,1.908,,,1.923,
1968,2.099,1.128,2.797,,1.924,,,1.937,
1969,2.819,1.149,2.808,,1.941,,,1.952,
1970,2.158,1.17,2.82,,1.959,,,1.968,
1971,2.038,1.192,2.833,,1.978,,,1.985,
1972,0.596,1.215,2.848,,1.997,,,2.002,
1973,3.056,1.238,2.865,,2.017,,,2.02,
1974,1.39,1.262,2.884,,2.039,,,2.04,
1975,2.547,1.287,2.903,,2.061,,,2.059,
1976,1.518,1.312,2.923,,2.083,,,2.08,
1977,2.562,1.338,2.945,,2.107,,,2.102,
1978,1.711,1.364,2.967,,2.131,,,2.124,
1979,3.356,1.391,2.99,,2.156,,,2.147,
1980,1.621,1.418,3.014,,2.182,,,2.171,
1981,3.387,1.446,3.039,,2.208,,,2.195,
1982,1.73,1.475,3.065,,2.235,,,2.221,
1983,3.117,1.504,3.091,,2.263,,,2.247,
1984,2.501,1.533,3.118,,2.291,,,2.274,
1985,1.796,1.563,3.146,,2.32,,,2.301,
1986,1.676,1.593,3.175,,2.35,,,2.33,
1987,2.919,1.624,3.205,,2.38,,,2.359,
1988,2.437,1.655,3.235,,2.411,,,2.389,
1989,1.898,1.687,3.266,,2.443,,,2.419,
1990,2.878,1.719,3.298,,2.475,,,2.451,
1991,2.295,1.751,3.33,,2.507,,,2.483,
1992,1.764,1.783,3.363,,2.54,,,2.516,
1993,1.703,1.816,3.397,,2.574,,,2.549,
1994,2.104,1.85,3.431,,2.608,,,2.583,
1995,2.515,1.883,3.466,,2.643,,,2.619,
1996,2.652,1.917,3.501,,2.678,,,2.654,
1997,1.658,1.952,3.538,,2.713,,,2.691,
1998,3.724,1.986,3.574,,2.749,,,2.728,
1999,4.211,2.021,3.611,,2.785,,,2.766,
2000,2.704,2.056,3.649,,2.822,,,2.804,
2001,3.947,2.091,3.687,,2.859,,,2.844,
2002,2.784,2.127,3.726,,2.897,,,2.884,
2003,2.377,2.162,3.765,,2.935,,,2.924,
2004,2.278,2.198,3.809,,2.973,,,2.966,
2005,3.208,2.234,3.854,,3.011,,,3.008,
2006,4.042,2.27,3.9,,3.05,,,3.05,
2007,2.495,,,2.307,3.089,3.926,2.376,3.094,3.946
2008,2.925,,,2.343,3.129,3.967,2.418,3.138,3.994
2009,2.724,,,2.38,3.168,4.009,2.461,3.183,4.042
2010,4.827,,,2.416,3.208,4.051,2.504,3.228,4.091
2011,3.343,,,2.453,3.248,4.093,2.547,3.274,4.141
2012,4.073,,,2.49,3.289,4.136,2.591,3.321,4.192
2013,2.962,,,2.527,3.329,4.178,2.635,3.369,4.244
2014,,,,2.564,3.37,4.222,2.68,3.417,4.296
2015,,,,2.601,3.411,4.265,2.725,3.466,4.349
2016,,,,2.638,3.452,4.309,2.77,3.515,4.403
2017,,,,2.675,3.493,4.353,2.816,3.565,4.458
2018,,,,2.712,3.534,4.397,2.862,3.616,4.514
2019,,,,2.749,3.575,4.441,2.908,3.667,4.57
2020,,,,2.785,3.617,4.486,2.955,3.719,4.628
2021,,,,2.822,3.658,4.53,3.003,3.772,4.686
2022,,,,2.859,3.7,4.575,3.05,3.825,4.745
2023,,,,2.896,3.741,4.62,3.098,3.879,4.804
2024,,,,2.932,3.783,4.665,3.147,3.934,4.864
2025,,,,2.969,3.825,4.71,3.196,3.989,4.926
2026,,,,3.005,3.866,4.755,3.245,4.045,4.987
