Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1045.115,892.557,1174.633,,1041.09,,,1046.548,
1951,1131.731,892.73,1172.422,,1040.136,,,1045.033,
1952,1046.516,892.934,1170.323,,1039.236,,,1043.595,
1953,993.586,893.167,1168.332,,1038.388,,,1042.233,
1954,1340.488,893.431,1166.45,,1037.594,,,1040.946,
1955,973.32,893.724,1164.673,,1036.85,,,1039.734,
1956,857.599,894.047,1163.001,,1036.159,,,1038.595,
1957,938.756,894.398,1161.433,,1035.517,,,1037.529,
1958,1090.378,894.733,1159.967,,1034.926,,,1036.535,
1959,976.282,895.015,1158.601,,1034.384,,,1035.612,
1960,936.711,895.326,1157.334,,1033.891,,,1034.759,
1961,1008.924,895.664,1156.165,,1033.446,,,1033.975,
1962,1021.983,896.03,1155.101,,1033.048,,,1033.26,
1963,1083.733,896.423,1154.204,,1032.697,,,1032.612,
1964,977.205,896.842,1153.398,,1032.392,,,1032.031,
1965,917.603,897.287,1152.683,,1032.133,,,1031.516,
1966,987.094,897.758,1152.058,,1031.918,,,1031.065,
1967,1045.796,898.254,1151.521,,1031.748,,,1030.679,
1968,897.929,898.774,1151.071,,1031.621,,,1030.356,
1969,1078.745,899.319,1150.706,,1031.538,,,1030.096,
1970,993.494,899.887,1150.426,,1031.496,,,1029.897,
1971,1034.624,900.479,1150.228,,1031.497,,,1029.759,
1972,1079.581,901.094,1150.113,,1031.538,,,1029.681,
1973,1145.726,901.731,1150.078,,1031.62,,,1029.662,
1974,1033.177,902.391,1150.123,,1031.742,,,1029.701,
1975,906.222,903.071,1150.245,,1031.902,,,1029.797,
1976,1220.322,903.773,1150.445,,1032.102,,,1029.95,
1977,997.984,904.496,1150.72,,1032.339,,,1030.158,
1978,905.636,905.239,1151.069,,1032.613,,,1030.421,
1979,1108.774,906.002,1151.491,,1032.924,,,1030.738,
1980,1181.698,906.785,1151.985,,1033.271,,,1031.108,
1981,1258.209,907.586,1152.549,,1033.654,,,1031.53,
1982,983.399,908.406,1153.182,,1034.071,,,1032.004,
1983,1228.987,909.244,1153.884,,1034.522,,,1032.528,
1984,948.911,910.1,1154.652,,1035.007,,,1033.102,
1985,921.292,910.973,1155.485,,1035.524,,,1033.724,
1986,1111.885,911.862,1156.383,,1036.074,,,1034.395,
1987,859.615,912.768,1157.343,,1036.655,,,1035.112,
1988,1043.018,913.69,1158.365,,1037.267,,,1035.876,
1989,894.646,914.628,1159.447,,1037.91,,,1036.685,
1990,1090.465,915.58,1160.588,,1038.582,,,1037.538,
1991,1046.747,916.547,1161.787,,1039.283,,,1038.435,
1992,1110.402,917.528,1163.043,,1040.012,,,1039.375,
1993,1098.154,918.523,1164.354,,1040.769,,,1040.357,
1994,1151.797,919.531,1165.718,,1041.554,,,1041.38,
1995,1085.211,920.552,1167.136,,1042.364,,,1042.443,
1996,1105.774,921.585,1168.605,,1043.201,,,1043.546,
1997,920.006,922.631,1170.124,,1044.063,,,1044.687,
1998,1072.439,923.688,1171.692,,1044.949,,,1045.866,
1999,1001.338,924.755,1173.308,,1045.859,,,1047.082,
2000,1020.42,925.834,1174.97,,1046.793,,,1048.333,
2001,842.442,926.923,1176.677,,1047.749,,,1049.62,
2002,786.016,928.021,1178.428,,1048.727,,,1050.941,
2003,1066.933,929.129,1180.222,,1049.727,,,1052.295,
2004,1103.693,930.246,1182.057,,1050.747,,,1053.682,
2005,1157.168,931.371,1183.932,,1051.788,,,1055.101,
2006,1081.663,932.504,1185.845,,1052.848,,,1056.55,
2007,1122.907,,,933.645,1053.926,1183.073,940.609,1058.03,1187.797
2008,1151.437,,,934.793,1055.023,1184.871,941.943,1059.538,1189.784
2009,1020.67,,,935.948,1056.138,1186.698,943.287,1061.075,1191.807
2010,1068.077,,,937.108,1057.269,1188.553,944.64,1062.639,1193.863
2011,1125.974,,,938.275,1058.417,1190.433,946.002,1064.23,1195.952
2012,949.495,,,939.447,1059.581,1192.337,947.372,1065.847,1198.072
2013,988.047,,,940.624,1060.759,1194.264,948.751,1067.488,1200.222
2014,,,,941.806,1061.952,1196.213,950.138,1069.154,1202.4
2015,,,,942.991,1063.159,1198.181,951.532,1070.842,1204.606
2016,,,,944.18,1064.379,1200.168,952.933,1072.553,1206.838
2017,,,,945.373,1065.611,1202.173,954.341,1074.286,1209.095
2018,,,,946.568,1066.856,1204.193,955.755,1076.039,1211.375
2019,,,,947.765,1068.111,1206.227,957.176,1077.811,1213.678
2020,,,,948.964,1069.377,1208.274,958.602,1079.603,1216.002
2021,,,,950.165,1070.653,1210.333,960.033,1081.412,1218.345
2022,,,,951.367,1071.939,1212.401,961.469,1083.239,1220.708
2023,,,,952.569,1073.233,1214.478,962.91,1085.082,1223.087
2024,,,,953.772,1074.535,1216.562,964.354,1086.941,1225.483
2025,,,,954.974,1075.845,1218.651,965.803,1088.814,1227.893
2026,,,,956.175,1077.161,1220.745,967.255,1090.701,1230.316
2027,,,,957.375,1078.484,1222.842,968.71,1092.601,1232.752
2028,,,,958.573,1079.812,1224.939,970.168,1094.513,1235.199
2029,,,,959.77,1081.145,1227.037,971.628,1096.436,1237.655
2030,,,,960.964,1082.482,1229.133,973.09,1098.37,1240.12
2031,,,,962.154,1083.823,1231.226,974.553,1100.313,1242.592
2032,,,,963.342,1085.166,1233.315,976.018,1102.265,1245.07
2033,,,,964.526,1086.512,1235.398,977.483,1104.224,1247.552
2034,,,,965.705,1087.86,1237.474,978.949,1106.19,1250.038
2035,,,,966.88,1089.209,1239.54,980.416,1108.163,1252.525
2036,,,,968.049,1090.559,1241.597,981.881,1110.141,1255.014
2037,,,,969.213,1091.908,1243.642,983.347,1112.123,1257.502
2038,,,,970.371,1093.256,1245.674,984.811,1114.108,1259.989
2039,,,,971.523,1094.603,1247.691,986.274,1116.097,1262.472
2040,,,,972.667,1095.948,1249.693,987.735,1118.087,1264.951
2041,,,,973.804,1097.29,1251.677,989.194,1120.078,1267.424
2042,,,,974.934,1098.629,1253.642,990.65,1122.069,1269.891
2043,,,,976.055,1099.963,1255.587,992.104,1124.059,1272.35
2044,,,,977.167,1101.293,1257.51,993.555,1126.048,1274.799
2045,,,,978.271,1102.618,1259.411,995.001,1128.034,1277.238
2046,,,,979.365,1103.937,1261.286,996.444,1130.017,1279.665
2047,,,,980.449,1105.25,1263.136,997.883,1131.996,1282.079
2048,,,,981.522,1106.555,1264.958,999.317,1133.97,1284.478
2049,,,,982.585,1107.852,1266.751,1000.746,1135.938,1286.862
2050,,,,983.636,1109.141,1268.514,1002.169,1137.899,1289.229
2051,,,,984.676,1110.421,1270.245,1003.587,1139.853,1291.577
2052,,,,985.703,1111.691,1271.943,1004.998,1141.798,1293.906
2053,,,,986.718,1112.951,1273.607,1006.403,1143.734,1296.215
2054,,,,987.72,1114.2,1275.234,1007.801,1145.66,1298.501
2055,,,,988.709,1115.437,1276.824,1009.192,1147.574,1300.764
2056,,,,989.683,1116.662,1278.375,1010.575,1149.477,1303.003
2057,,,,990.643,1117.874,1279.885,1011.95,1151.368,1305.216
2058,,,,991.588,1119.073,1281.354,1013.316,1153.244,1307.401
2059,,,,992.518,1120.257,1282.78,1014.674,1155.106,1309.559
