Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-4.765,-5.335,-3.381,,-4.452,,,-4.426,
1951,-3.427,-5.324,-3.39,,-4.448,,,-4.423,
1952,-2.675,-5.312,-3.397,,-4.444,,,-4.419,
1953,-2.953,-5.3,-3.403,,-4.439,,,-4.415,
1954,-3.805,-5.287,-3.408,,-4.432,,,-4.409,
1955,-2.451,-5.273,-3.412,,-4.425,,,-4.403,
1956,-4.913,-5.259,-3.414,,-4.417,,,-4.396,
1957,-4.027,-5.244,-3.416,,-4.407,,,-4.388,
1958,-3.19,-5.229,-3.416,,-4.397,,,-4.379,
1959,-4.113,-5.213,-3.415,,-4.386,,,-4.37,
1960,-3.019,-5.196,-3.412,,-4.374,,,-4.359,
1961,-2.956,-5.179,-3.409,,-4.362,,,-4.348,
1962,-4.41,-5.163,-3.404,,-4.348,,,-4.336,
1963,-4.544,-5.147,-3.399,,-4.333,,,-4.323,
1964,-4.912,-5.131,-3.392,,-4.318,,,-4.31,
1965,-5.498,-5.113,-3.384,,-4.302,,,-4.295,
1966,-2.462,-5.095,-3.374,,-4.285,,,-4.28,
1967,-4.266,-5.077,-3.364,,-4.267,,,-4.264,
1968,-3.424,-5.057,-3.353,,-4.249,,,-4.247,
1969,-3.238,-5.037,-3.34,,-4.23,,,-4.229,
1970,-4.203,-5.016,-3.326,,-4.21,,,-4.211,
1971,-3.973,-4.995,-3.308,,-4.189,,,-4.191,
1972,-6.605,-4.973,-3.289,,-4.167,,,-4.171,
1973,-2.614,-4.95,-3.269,,-4.145,,,-4.15,
1974,-5.128,-4.927,-3.248,,-4.122,,,-4.129,
1975,-3.997,-4.903,-3.226,,-4.099,,,-4.106,
1976,-4.732,-4.878,-3.203,,-4.074,,,-4.083,
1977,-2.911,-4.853,-3.178,,-4.049,,,-4.059,
1978,-4.751,-4.827,-3.153,,-4.024,,,-4.034,
1979,-2.741,-4.801,-3.127,,-3.998,,,-4.009,
1980,-3.933,-4.774,-3.1,,-3.971,,,-3.982,
1981,-1.752,-4.747,-3.072,,-3.943,,,-3.955,
1982,-4.653,-4.719,-3.043,,-3.915,,,-3.927,
1983,-3.391,-4.691,-3.013,,-3.887,,,-3.899,
1984,-3.582,-4.662,-2.982,,-3.857,,,-3.869,
1985,-4.019,-4.632,-2.951,,-3.828,,,-3.839,
1986,-4.515,-4.603,-2.918,,-3.797,,,-3.808,
1987,-2.773,-4.573,-2.885,,-3.766,,,-3.777,
1988,-3.925,-4.542,-2.851,,-3.735,,,-3.744,
1989,-4.519,-4.511,-2.816,,-3.703,,,-3.711,
1990,-4.611,-4.48,-2.78,,-3.671,,,-3.677,
1991,-4.427,-4.448,-2.744,,-3.638,,,-3.642,
1992,-5.735,-4.416,-2.707,,-3.605,,,-3.607,
1993,-4.775,-4.383,-2.669,,-3.571,,,-3.571,
1994,-4.294,-4.351,-2.631,,-3.537,,,-3.534,
1995,-3.529,-4.317,-2.592,,-3.502,,,-3.497,
1996,-3.112,-4.284,-2.552,,-3.467,,,-3.458,
1997,-3.84,-4.25,-2.511,,-3.431,,,-3.419,
1998,-1.673,-4.216,-2.47,,-3.395,,,-3.379,
1999,-1.441,-4.182,-2.429,,-3.359,,,-3.339,
2000,-2.732,-4.148,-2.387,,-3.322,,,-3.298,
2001,-1.584,-4.113,-2.344,,-3.285,,,-3.256,
2002,-4.249,-4.078,-2.301,,-3.248,,,-3.213,
2003,-2.816,-4.043,-2.257,,-3.21,,,-3.17,
2004,-3.57,-4.008,-2.213,,-3.172,,,-3.126,
2005,-2.204,-3.973,-2.169,,-3.134,,,-3.081,
2006,-1.07,-3.937,-2.123,,-3.095,,,-3.036,
2007,-3.31,,,-3.901,-3.057,-2.078,-3.803,-2.989,-2.092
2008,-2.423,,,-3.865,-3.017,-2.032,-3.762,-2.943,-2.04
2009,-2.415,,,-3.83,-2.978,-1.986,-3.721,-2.895,-1.988
2010,0.336,,,-3.793,-2.938,-1.939,-3.679,-2.847,-1.935
2011,-2.628,,,-3.757,-2.899,-1.892,-3.636,-2.798,-1.88
2012,-1.557,,,-3.721,-2.858,-1.845,-3.593,-2.748,-1.825
2013,-2.854,,,-3.685,-2.818,-1.797,-3.55,-2.698,-1.77
2014,,,,-3.649,-2.778,-1.749,-3.506,-2.647,-1.713
2015,,,,-3.612,-2.737,-1.701,-3.462,-2.595,-1.655
2016,,,,-3.576,-2.696,-1.653,-3.418,-2.543,-1.597
2017,,,,-3.54,-2.655,-1.604,-3.373,-2.49,-1.537
2018,,,,-3.504,-2.614,-1.555,-3.328,-2.437,-1.477
2019,,,,-3.467,-2.573,-1.506,-3.282,-2.382,-1.416
2020,,,,-3.431,-2.532,-1.457,-3.236,-2.327,-1.355
2021,,,,-3.395,-2.49,-1.407,-3.19,-2.272,-1.292
2022,,,,-3.359,-2.449,-1.358,-3.143,-2.215,-1.229
2023,,,,-3.323,-2.407,-1.308,-3.096,-2.158,-1.165
2024,,,,-3.288,-2.365,-1.258,-3.049,-2.101,-1.1
2025,,,,-3.252,-2.324,-1.209,-3.001,-2.042,-1.034
2026,,,,-3.216,-2.282,-1.159,-2.953,-1.983,-0.968
2027,,,,-3.181,-2.24,-1.109,-2.904,-1.924,-0.9
2028,,,,-3.146,-2.199,-1.059,-2.855,-1.864,-0.832
2029,,,,-3.111,-2.157,-1.009,-2.806,-1.803,-0.764
2030,,,,-3.076,-2.115,-0.959,-2.757,-1.741,-0.694
2031,,,,-3.041,-2.073,-0.909,-2.707,-1.679,-0.624
2032,,,,-3.007,-2.032,-0.86,-2.657,-1.617,-0.553
2033,,,,-2.973,-1.99,-0.81,-2.606,-1.553,-0.481
2034,,,,-2.939,-1.948,-0.76,-2.555,-1.489,-0.409
2035,,,,-2.906,-1.907,-0.711,-2.504,-1.425,-0.335
2036,,,,-2.872,-1.866,-0.662,-2.452,-1.359,-0.262
2037,,,,-2.839,-1.824,-0.612,-2.401,-1.293,-0.187
2038,,,,-2.807,-1.783,-0.563,-2.348,-1.227,-0.112
2039,,,,-2.774,-1.742,-0.515,-2.296,-1.16,-0.036
2040,,,,-2.742,-1.701,-0.466,-2.243,-1.092,0.041
2041,,,,-2.711,-1.661,-0.418,-2.19,-1.024,0.119
2042,,,,-2.68,-1.62,-0.37,-2.137,-0.955,0.197
2043,,,,-2.649,-1.58,-0.322,-2.083,-0.885,0.275
2044,,,,-2.618,-1.54,-0.275,-2.029,-0.815,0.355
2045,,,,-2.588,-1.5,-0.228,-1.975,-0.745,0.435
2046,,,,-2.559,-1.46,-0.181,-1.921,-0.673,0.516
2047,,,,-2.53,-1.42,-0.134,-1.866,-0.601,0.597
2048,,,,-2.501,-1.381,-0.088,-1.811,-0.529,0.679
2049,,,,-2.473,-1.342,-0.043,-1.756,-0.456,0.762
2050,,,,-2.445,-1.304,0.003,-1.7,-0.382,0.845
2051,,,,-2.418,-1.265,0.047,-1.644,-0.308,0.929
2052,,,,-2.392,-1.227,0.092,-1.588,-0.233,1.014
2053,,,,-2.365,-1.189,0.136,-1.532,-0.158,1.099
2054,,,,-2.34,-1.152,0.179,-1.475,-0.082,1.185
2055,,,,-2.315,-1.115,0.222,-1.418,-0.005,1.271
2056,,,,-2.291,-1.078,0.264,-1.361,0.072,1.358
2057,,,,-2.267,-1.041,0.306,-1.304,0.15,1.446
2058,,,,-2.244,-1.005,0.347,-1.247,0.228,1.534
2059,,,,-2.221,-0.97,0.388,-1.189,0.307,1.622
2060,,,,-2.199,-0.934,0.428,-1.131,0.386,1.712
2061,,,,-2.178,-0.9,0.467,-1.073,0.466,1.802
2062,,,,-2.158,-0.865,0.506,-1.014,0.546,1.892
2063,,,,-2.138,-0.831,0.544,-0.956,0.627,1.983
2064,,,,-2.119,-0.798,0.581,-0.897,0.709,2.075
2065,,,,-2.1,-0.765,0.618,-0.838,0.791,2.167
2066,,,,-2.082,-0.732,0.654,-0.778,0.874,2.259
2067,,,,-2.066,-0.7,0.689,-0.719,0.957,2.352
2068,,,,-2.049,-0.668,0.723,-0.659,1.04,2.446
2069,,,,-2.034,-0.637,0.757,-0.599,1.125,2.54
2070,,,,-2.019,-0.607,0.789,-0.539,1.209,2.635
2071,,,,-2.005,-0.577,0.821,-0.479,1.295,2.73
2072,,,,-1.992,-0.547,0.852,-0.419,1.381,2.826
2073,,,,-1.98,-0.518,0.883,-0.358,1.467,2.922
2074,,,,-1.969,-0.49,0.912,-0.297,1.554,3.019
2075,,,,-1.959,-0.462,0.94,-0.236,1.641,3.116
2076,,,,-1.949,-0.435,0.968,-0.175,1.729,3.213
2077,,,,-1.94,-0.409,0.994,-0.114,1.817,3.311
2078,,,,-1.933,-0.383,1.02,-0.052,1.906,3.41
2079,,,,-1.926,-0.358,1.045,0.009,1.996,3.509
2080,,,,-1.92,-0.333,1.068,0.071,2.086,3.609
2081,,,,-1.915,-0.31,1.091,0.133,2.176,3.708
2082,,,,-1.911,-0.286,1.112,0.195,2.267,3.809
2083,,,,-1.908,-0.264,1.133,0.257,2.358,3.91
2084,,,,-1.906,-0.242,1.152,0.319,2.45,4.011
2085,,,,-1.905,-0.221,1.17,0.382,2.543,4.112
2086,,,,-1.905,-0.201,1.187,0.444,2.636,4.214
2087,,,,-1.906,-0.181,1.203,0.507,2.729,4.317
2088,,,,-1.908,-0.163,1.218,0.57,2.823,4.42
2089,,,,-1.912,-0.145,1.232,0.633,2.917,4.523
2090,,,,-1.916,-0.127,1.244,0.696,3.012,4.627
2091,,,,-1.921,-0.111,1.255,0.759,3.107,4.731
2092,,,,-1.928,-0.095,1.265,0.822,3.203,4.835
2093,,,,-1.936,-0.08,1.274,0.885,3.299,4.94
2094,,,,-1.944,-0.067,1.282,0.949,3.396,5.045
