Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,922.467,747.735,908.081,,839.116,,,844.404,
1951,806.431,748.329,907.562,,838.242,,,843.001,
1952,831.613,748.93,907.101,,837.431,,,841.681,
1953,776.543,749.536,906.698,,836.679,,,840.444,
1954,770.761,750.149,906.353,,835.988,,,839.288,
1955,686.793,750.768,906.065,,835.355,,,838.213,
1956,782.578,751.394,905.833,,834.781,,,837.217,
1957,749.199,752.025,905.656,,834.264,,,836.3,
1958,828.432,752.662,905.536,,833.804,,,835.46,
1959,833.69,753.305,905.47,,833.4,,,834.697,
1960,793.862,753.954,905.458,,833.05,,,834.009,
1961,615.758,754.608,905.5,,832.755,,,833.397,
1962,587.722,755.268,905.596,,832.513,,,832.858,
1963,706.732,755.812,905.744,,832.323,,,832.393,
1964,873.92,756.051,906.072,,832.186,,,831.999,
1965,892.479,756.324,906.901,,832.099,,,831.677,
1966,959.327,756.631,907.755,,832.063,,,831.424,
1967,834.051,756.971,908.634,,832.076,,,831.241,
1968,878.041,757.344,909.538,,832.137,,,831.127,
1969,990.644,757.75,910.466,,832.246,,,831.079,
1970,773.902,758.188,911.417,,832.402,,,831.099,
1971,918.065,758.657,912.392,,832.604,,,831.183,
1972,829.538,759.159,913.389,,832.852,,,831.332,
1973,916.816,759.691,914.408,,833.144,,,831.545,
1974,762.364,760.255,915.45,,833.48,,,831.821,
1975,830.979,760.849,916.513,,833.859,,,832.158,
1976,927.145,761.473,917.596,,834.28,,,832.557,
1977,916.094,762.128,918.701,,834.742,,,833.015,
1978,947.658,762.811,919.826,,835.244,,,833.532,
1979,1044.894,763.524,920.97,,835.787,,,834.107,
1980,908.478,764.266,922.133,,836.368,,,834.74,
1981,895.884,765.036,923.316,,836.988,,,835.428,
1982,927.554,765.834,924.516,,837.644,,,836.172,
1983,1045.105,766.66,925.735,,838.337,,,836.97,
1984,836.154,767.513,926.971,,839.066,,,837.822,
1985,724.643,768.393,928.224,,839.83,,,838.726,
1986,791.669,769.3,929.494,,840.628,,,839.682,
1987,845.333,770.234,930.78,,841.459,,,840.688,
1988,725.916,771.193,932.082,,842.323,,,841.744,
1989,739.399,772.178,933.4,,843.218,,,842.849,
1990,827.382,773.188,934.732,,844.144,,,844.002,
1991,681.527,774.224,936.078,,845.101,,,845.201,
1992,803.335,775.284,937.439,,846.086,,,846.447,
1993,765.362,776.368,938.813,,847.1,,,847.737,
1994,847.679,777.476,940.2,,848.142,,,849.072,
1995,914.964,778.607,941.601,,849.21,,,850.45,
