Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1.616,0.229,2.231,,1.179,,,1.168,
1951,1.996,0.234,2.226,,1.176,,,1.17,
1952,2.514,0.24,2.222,,1.174,,,1.172,
1953,3.063,0.246,2.218,,1.174,,,1.176,
1954,1.494,0.254,2.216,,1.175,,,1.18,
1955,1.828,0.263,2.215,,1.177,,,1.185,
1956,0.956,0.273,2.215,,1.181,,,1.191,
1957,1.649,0.283,2.215,,1.185,,,1.198,
1958,1.35,0.295,2.217,,1.191,,,1.206,
1959,1.46,0.307,2.22,,1.198,,,1.214,
1960,2.185,0.32,2.224,,1.205,,,1.223,
1961,2.191,0.334,2.228,,1.214,,,1.233,
1962,1.223,0.349,2.234,,1.225,,,1.244,
1963,1.045,0.365,2.24,,1.236,,,1.256,
1964,1.516,0.381,2.248,,1.248,,,1.268,
1965,0.832,0.396,2.256,,1.261,,,1.281,
1966,2.253,0.412,2.266,,1.275,,,1.295,
1967,1.132,0.428,2.276,,1.29,,,1.31,
1968,1.398,0.445,2.288,,1.307,,,1.326,
1969,2.075,0.462,2.3,,1.324,,,1.342,
1970,1.394,0.481,2.313,,1.342,,,1.359,
1971,1.398,0.5,2.327,,1.361,,,1.377,
1972,0.158,0.521,2.342,,1.381,,,1.395,
1973,2.713,0.542,2.358,,1.401,,,1.415,
1974,0.777,0.564,2.375,,1.423,,,1.435,
1975,2.034,0.586,2.393,,1.445,,,1.456,
1976,0.67,0.61,2.412,,1.469,,,1.478,
1977,1.965,0.634,2.432,,1.493,,,1.5,
1978,0.941,0.659,2.455,,1.518,,,1.523,
1979,2.591,0.685,2.479,,1.543,,,1.547,
1980,0.79,0.712,2.504,,1.57,,,1.572,
1981,2.553,0.739,2.53,,1.597,,,1.597,
1982,1.174,0.767,2.556,,1.625,,,1.623,
1983,2.542,0.796,2.584,,1.654,,,1.65,
1984,2.03,0.826,2.612,,1.683,,,1.678,
1985,1.011,0.856,2.641,,1.713,,,1.706,
1986,1.227,0.887,2.67,,1.744,,,1.735,
1987,2.375,0.919,2.701,,1.775,,,1.765,
1988,1.746,0.952,2.732,,1.807,,,1.795,
1989,0.904,0.985,2.764,,1.839,,,1.827,
1990,2.375,1.019,2.796,,1.872,,,1.859,
1991,1.98,1.053,2.829,,1.906,,,1.891,
1992,0.949,1.088,2.863,,1.94,,,1.925,
1993,1.229,1.124,2.898,,1.975,,,1.959,
1994,1.384,1.161,2.933,,2.01,,,1.994,
1995,2.076,1.198,2.968,,2.046,,,2.029,
1996,1.829,1.235,3.005,,2.082,,,2.065,
1997,1.258,1.274,3.041,,2.119,,,2.102,
1998,3.533,1.312,3.079,,2.156,,,2.14,
1999,3.486,1.347,3.117,,2.194,,,2.178,
2000,1.976,1.382,3.155,,2.232,,,2.217,
2001,3.265,1.418,3.194,,2.27,,,2.257,
2002,2.468,1.454,3.233,,2.309,,,2.297,
2003,1.678,1.49,3.273,,2.348,,,2.338,
2004,1.511,1.526,3.313,,2.388,,,2.379,
2005,2.636,1.563,3.354,,2.428,,,2.422,
2006,3.508,1.6,3.395,,2.468,,,2.465,
2007,1.823,,,1.637,2.508,3.436,1.69,2.509,3.432
2008,2.094,,,1.674,2.549,3.478,1.735,2.553,3.478
2009,1.957,,,1.711,2.59,3.52,1.78,2.598,3.526
2010,4.086,,,1.748,2.631,3.563,1.826,2.644,3.573
2011,2.842,,,1.786,2.673,3.606,1.872,2.69,3.622
2012,3.502,,,1.823,2.714,3.649,1.918,2.737,3.672
2013,2.36,,,1.861,2.756,3.692,1.966,2.784,3.722
2014,,,,1.898,2.798,3.736,2.013,2.833,3.773
2015,,,,1.936,2.84,3.779,2.062,2.882,3.825
2016,,,,1.974,2.882,3.823,2.11,2.931,3.878
2017,,,,2.012,2.925,3.868,2.159,2.981,3.931
2018,,,,2.049,2.967,3.912,2.209,3.032,3.985
2019,,,,2.087,3.01,3.957,2.259,3.084,4.04
2020,,,,2.125,3.053,4.001,2.309,3.136,4.096
2021,,,,2.162,3.095,4.046,2.36,3.188,4.153
2022,,,,2.2,3.138,4.091,2.411,3.242,4.21
2023,,,,2.238,3.181,4.136,2.463,3.296,4.268
2024,,,,2.275,3.223,4.181,2.515,3.35,4.327
2025,,,,2.312,3.266,4.227,2.567,3.405,4.386
2026,,,,2.35,3.309,4.272,2.62,3.461,4.446
2027,,,,2.387,3.351,4.317,2.674,3.518,4.507
2028,,,,2.424,3.394,4.362,2.727,3.575,4.569
2029,,,,2.461,3.436,4.407,2.781,3.632,4.632
2030,,,,2.497,3.479,4.453,2.835,3.69,4.695
2031,,,,2.534,3.521,4.498,2.89,3.749,4.759
2032,,,,2.57,3.563,4.543,2.945,3.809,4.823
2033,,,,2.606,3.605,4.588,3,3.869,4.889
2034,,,,2.642,3.647,4.633,3.056,3.929,4.955
2035,,,,2.677,3.688,4.677,3.112,3.99,5.021
2036,,,,2.712,3.729,4.722,3.168,4.052,5.089
