Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1225.732,1031.931,1356.623,,1197.775,,,1199.064,
1951,1257.194,1032.413,1353.459,,1196.797,,,1197.895,
1952,1224.191,1032.91,1350.446,,1195.875,,,1196.795,
1953,1026.861,1033.423,1347.581,,1195.01,,,1195.762,
1954,1429.625,1033.951,1344.864,,1194.201,,,1194.796,
1955,1100.132,1034.495,1342.292,,1193.446,,,1193.895,
1956,1036.555,1035.053,1339.864,,1192.746,,,1193.061,
1957,1279.871,1035.627,1337.577,,1192.099,,,1192.291,
1958,1256.822,1036.215,1335.43,,1191.505,,,1191.585,
1959,1210.849,1036.772,1333.646,,1190.964,,,1190.942,
1960,1139.801,1036.797,1332.212,,1190.474,,,1190.362,
1961,931.921,1036.881,1330.874,,1190.035,,,1189.844,
1962,1059.792,1037.022,1329.634,,1189.646,,,1189.386,
1963,1061.231,1037.219,1328.489,,1189.306,,,1188.99,
1964,1131.489,1037.471,1327.437,,1189.016,,,1188.653,
1965,1056.655,1037.778,1326.478,,1188.774,,,1188.375,
1966,1283.18,1038.138,1325.61,,1188.579,,,1188.156,
1967,1186.496,1038.551,1324.832,,1188.431,,,1187.994,
1968,1026.667,1039.015,1324.142,,1188.329,,,1187.889,
1969,1148.445,1039.531,1323.539,,1188.273,,,1187.841,
1970,1129.393,1040.096,1323.022,,1188.261,,,1187.848,
1971,1270.863,1040.71,1322.589,,1188.294,,,1187.91,
1972,1364.403,1041.372,1322.239,,1188.37,,,1188.026,
1973,1368.411,1042.081,1321.97,,1188.489,,,1188.195,
1974,1285.665,1042.836,1321.782,,1188.65,,,1188.417,
1975,1180.928,1043.637,1321.672,,1188.853,,,1188.691,
1976,1468.133,1044.482,1321.641,,1189.096,,,1189.017,
1977,1097.433,1045.371,1321.685,,1189.379,,,1189.393,
1978,1066.429,1046.302,1321.804,,1189.702,,,1189.819,
