Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,4.731,3.363,5.392,,4.328,,,4.312,
1951,4.99,3.365,5.379,,4.324,,,4.313,
1952,5.444,3.368,5.372,,4.321,,,4.315,
1953,6.321,3.372,5.366,,4.319,,,4.318,
1954,4.565,3.377,5.36,,4.319,,,4.322,
1955,4.875,3.383,5.356,,4.319,,,4.326,
1956,4.114,3.391,5.353,,4.321,,,4.332,
1957,5.147,3.399,5.351,,4.325,,,4.338,
1958,4.172,3.408,5.35,,4.329,,,4.345,
1959,4.846,3.418,5.351,,4.335,,,4.353,
1960,5.205,3.429,5.352,,4.342,,,4.362,
1961,5.075,3.441,5.354,,4.35,,,4.372,
1962,4.326,3.454,5.358,,4.359,,,4.382,
1963,4.293,3.468,5.362,,4.369,,,4.393,
1964,5.083,3.483,5.368,,4.381,,,4.406,
1965,4.424,3.498,5.374,,4.393,,,4.418,
1966,5.234,3.513,5.382,,4.407,,,4.432,
1967,4.385,3.529,5.391,,4.421,,,4.447,
1968,4.393,3.545,5.4,,4.437,,,4.462,
1969,5.069,3.562,5.411,,4.453,,,4.478,
1970,4.486,3.58,5.423,,4.471,,,4.495,
1971,4.549,3.599,5.436,,4.49,,,4.513,
1972,3.858,3.618,5.449,,4.509,,,4.532,
1973,5.988,3.639,5.464,,4.53,,,4.551,
1974,4.374,3.66,5.48,,4.551,,,4.571,
1975,5.291,3.683,5.497,,4.573,,,4.592,
1976,3.874,3.706,5.515,,4.596,,,4.614,
1977,4.948,3.729,5.533,,4.62,,,4.636,
1978,3.982,3.754,5.553,,4.645,,,4.66,
1979,5.47,3.779,5.574,,4.671,,,4.684,
1980,4.017,3.806,5.597,,4.697,,,4.708,
1981,5.375,3.832,5.622,,4.725,,,4.734,
1982,4.418,3.86,5.648,,4.753,,,4.76,
1983,5.492,3.889,5.675,,4.781,,,4.787,
1984,4.943,3.918,5.702,,4.811,,,4.815,
1985,4.202,3.948,5.731,,4.841,,,4.844,
1986,4.351,3.978,5.761,,4.872,,,4.873,
1987,5.019,4.01,5.791,,4.904,,,4.903,
1988,4.906,4.042,5.822,,4.936,,,4.934,
1989,3.831,4.075,5.854,,4.969,,,4.965,
1990,5.65,4.108,5.887,,5.002,,,4.998,
1991,5.402,4.142,5.921,,5.036,,,5.03,
1992,4.104,4.177,5.955,,5.071,,,5.064,
1993,4.345,4.213,5.99,,5.106,,,5.098,
1994,4.536,4.249,6.026,,5.142,,,5.134,
1995,5.228,4.286,6.062,,5.178,,,5.169,
1996,4.976,4.322,6.099,,5.215,,,5.206,
1997,4.183,4.356,6.137,,5.253,,,5.243,
1998,6.652,4.391,6.175,,5.29,,,5.281,
1999,6.55,4.427,6.214,,5.329,,,5.32,
2000,4.883,4.463,6.254,,5.367,,,5.359,
2001,6.306,4.499,6.294,,5.406,,,5.399,
2002,6.124,4.535,6.335,,5.446,,,5.439,
2003,4.665,4.571,6.376,,5.486,,,5.481,
2004,4.655,4.608,6.417,,5.526,,,5.523,
2005,5.684,4.645,6.46,,5.567,,,5.565,
2006,6.819,4.682,6.502,,5.608,,,5.609,
2007,5,,,4.72,5.649,6.545,4.773,5.653,6.529
2008,5.407,,,4.757,5.69,6.589,4.818,5.697,6.576
2009,5.16,,,4.795,5.732,6.633,4.863,5.743,6.624
2010,7.054,,,4.833,5.774,6.677,4.908,5.789,6.672
2011,6.393,,,4.871,5.816,6.721,4.954,5.835,6.721
2012,6.915,,,4.909,5.859,6.766,5,5.882,6.771
2013,5.696,,,4.947,5.901,6.812,5.047,5.93,6.822
2014,,,,4.985,5.944,6.857,5.094,5.979,6.874
2015,,,,5.023,5.987,6.903,5.142,6.028,6.926
2016,,,,5.062,6.03,6.949,5.19,6.078,6.98
2017,,,,5.1,6.074,6.996,5.238,6.128,7.034
2018,,,,5.138,6.117,7.042,5.287,6.179,7.088
2019,,,,5.177,6.16,7.089,5.337,6.231,7.144
2020,,,,5.215,6.204,7.136,5.386,6.283,7.2
2021,,,,5.254,6.247,7.183,5.437,6.336,7.257
2022,,,,5.292,6.291,7.23,5.487,6.389,7.315
2023,,,,5.33,6.334,7.277,5.538,6.443,7.374
2024,,,,5.368,6.378,7.325,5.59,6.498,7.433
2025,,,,5.406,6.422,7.372,5.641,6.553,7.493
2026,,,,5.444,6.465,7.42,5.693,6.609,7.554
2027,,,,5.482,6.509,7.467,5.746,6.666,7.616
2028,,,,5.52,6.552,7.515,5.799,6.723,7.678
2029,,,,5.557,6.595,7.562,5.852,6.78,7.741
2030,,,,5.594,6.638,7.61,5.905,6.839,7.805
2031,,,,5.631,6.681,7.658,5.959,6.897,7.869
2032,,,,5.668,6.724,7.705,6.013,6.957,7.934
2033,,,,5.705,6.767,7.752,6.067,7.017,8
2034,,,,5.741,6.809,7.799,6.122,7.077,8.067
2035,,,,5.777,6.851,7.847,6.177,7.138,8.134
2036,,,,5.813,6.893,7.893,6.232,7.2,8.202
2037,,,,5.849,6.935,7.94,6.287,7.262,8.271
2038,,,,5.884,6.977,7.987,6.343,7.324,8.34
2039,,,,5.919,7.018,8.033,6.399,7.388,8.41
2040,,,,5.954,7.059,8.079,6.455,7.451,8.48
2041,,,,5.988,7.099,8.125,6.511,7.516,8.552
2042,,,,6.022,7.14,8.171,6.568,7.58,8.624
2043,,,,6.055,7.18,8.216,6.625,7.646,8.696
2044,,,,6.088,7.219,8.261,6.682,7.712,8.769
2045,,,,6.121,7.258,8.306,6.739,7.778,8.843
2046,,,,6.153,7.297,8.35,6.796,7.845,8.918
2047,,,,6.185,7.335,8.394,6.853,7.912,8.993
2048,,,,6.216,7.373,8.437,6.911,7.98,9.069
2049,,,,6.247,7.41,8.48,6.969,8.049,9.145
2050,,,,6.277,7.447,8.523,7.027,8.118,9.222
2051,,,,6.307,7.483,8.565,7.085,8.187,9.3
2052,,,,6.336,7.519,8.607,7.143,8.257,9.378
2053,,,,6.365,7.554,8.648,7.201,8.327,9.457
2054,,,,6.393,7.589,8.689,7.259,8.398,9.536
2055,,,,6.421,7.623,8.729,7.318,8.47,9.616
2056,,,,6.448,7.657,8.768,7.376,8.542,9.697
2057,,,,6.474,7.69,8.807,7.435,8.614,9.778
2058,,,,6.5,7.722,8.846,7.493,8.687,9.86
2059,,,,6.525,7.753,8.883,7.552,8.76,9.942
2060,,,,6.549,7.784,8.921,7.611,8.834,10.025
2061,,,,6.573,7.815,8.957,7.67,8.908,10.108
2062,,,,6.596,7.844,8.993,7.728,8.983,10.192
2063,,,,6.618,7.873,9.028,7.787,9.058,10.277
2064,,,,6.64,7.901,9.062,7.846,9.133,10.362
2065,,,,6.661,7.928,9.096,7.905,9.209,10.447
2066,,,,6.681,7.955,9.129,7.964,9.286,10.533
2067,,,,6.7,7.98,9.161,8.022,9.363,10.62
2068,,,,6.719,8.005,9.192,8.081,9.44,10.707
2069,,,,6.736,8.029,9.222,8.14,9.518,10.795
2070,,,,6.753,8.052,9.252,8.198,9.596,10.883
2071,,,,6.769,8.075,9.28,8.257,9.675,10.972
2072,,,,6.785,8.096,9.308,8.315,9.754,11.061
2073,,,,6.799,8.116,9.335,8.374,9.833,11.151
2074,,,,6.812,8.136,9.361,8.432,9.913,11.241
2075,,,,6.825,8.155,9.386,8.491,9.993,11.332
2076,,,,6.836,8.172,9.41,8.549,10.074,11.423
2077,,,,6.847,8.189,9.433,8.607,10.155,11.515
2078,,,,6.857,8.204,9.455,8.665,10.236,11.607
2079,,,,6.866,8.219,9.476,8.722,10.318,11.7
2080,,,,6.873,8.233,9.496,8.78,10.4,11.793
2081,,,,6.88,8.245,9.515,8.838,10.483,11.886
2082,,,,6.886,8.256,9.533,8.895,10.566,11.98
2083,,,,6.891,8.267,9.549,8.952,10.649,12.075
2084,,,,6.894,8.276,9.565,9.009,10.733,12.17
2085,,,,6.897,8.284,9.579,9.066,10.817,12.265
2086,,,,6.898,8.291,9.592,9.123,10.902,12.361
2087,,,,6.899,8.296,9.604,9.179,10.987,12.457
2088,,,,6.898,8.301,9.615,9.235,11.072,12.553
2089,,,,6.896,8.304,9.625,9.291,11.158,12.65
2090,,,,6.893,8.306,9.633,9.347,11.244,12.748
2091,,,,6.889,8.307,9.64,9.402,11.33,12.846
2092,,,,6.884,8.307,9.646,9.458,11.416,12.944
2093,,,,6.877,8.305,9.65,9.513,11.503,13.042
2094,,,,6.87,8.302,9.653,9.567,11.591,13.142
2095,,,,6.861,8.298,9.655,9.622,11.678,13.241
2096,,,,6.851,8.292,9.655,9.676,11.766,13.341
2097,,,,6.839,8.285,9.654,9.73,11.855,13.441
2098,,,,6.827,8.276,9.651,9.783,11.943,13.541
