Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1117.875,923.741,1203.106,,1076.232,,,1078.079,
1951,1137.138,924.223,1201.66,,1075.411,,,1077.055,
1952,1068.91,924.718,1200.313,,1074.645,,,1076.098,
1953,894.472,925.225,1199.063,,1073.934,,,1075.209,
1954,1310.862,925.745,1197.908,,1073.277,,,1074.386,
1955,968.432,926.276,1196.849,,1072.674,,,1073.628,
1956,930.696,926.82,1195.882,,1072.122,,,1072.935,
1957,1020.625,927.375,1195.008,,1071.623,,,1072.305,
1958,1068.203,927.941,1194.224,,1071.174,,,1071.739,
1959,1036.022,928.519,1193.531,,1070.776,,,1071.235,
1960,976.029,929.109,1192.925,,1070.427,,,1070.792,
1961,973.717,929.614,1192.406,,1070.126,,,1070.409,
1962,1019.192,930.082,1192.09,,1069.874,,,1070.087,
1963,1051.577,930.577,1191.962,,1069.67,,,1069.823,
1964,916.032,931.098,1191.889,,1069.511,,,1069.617,
1965,972.065,931.645,1191.87,,1069.399,,,1069.468,
1966,1016.681,932.217,1191.904,,1069.332,,,1069.376,
1967,962.247,932.815,1191.991,,1069.309,,,1069.339,
1968,890.438,933.437,1192.129,,1069.33,,,1069.358,
1969,1003.65,934.084,1192.319,,1069.393,,,1069.43,
1970,935.605,934.754,1192.558,,1069.499,,,1069.555,
1971,1104.394,935.448,1192.847,,1069.647,,,1069.733,
1972,1326.371,936.166,1193.183,,1069.835,,,1069.962,
1973,1238.248,936.906,1193.568,,1070.062,,,1070.242,
1974,1114.796,937.668,1193.999,,1070.33,,,1070.571,
1975,1010.14,938.453,1194.475,,1070.635,,,1070.95,
1976,1269.598,939.259,1194.997,,1070.979,,,1071.377,
1977,989.9,940.086,1195.562,,1071.359,,,1071.851,
1978,1000.028,940.934,1196.171,,1071.776,,,1072.372,
1979,1083.819,941.803,1196.823,,1072.229,,,1072.939,
1980,994.459,942.691,1197.515,,1072.716,,,1073.551,
1981,1194.122,943.6,1198.382,,1073.237,,,1074.207,
1982,938.199,944.527,1199.402,,1073.792,,,1074.906,
1983,1245.976,945.374,1200.481,,1074.379,,,1075.648,
1984,950.633,946.182,1201.619,,1074.998,,,1076.431,
1985,954.76,946.998,1202.813,,1075.649,,,1077.255,
