Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,3.871,2.161,4.104,,3.083,,,3.067,
1951,4.166,2.164,4.097,,3.08,,,3.069,
1952,4.417,2.169,4.091,,3.078,,,3.072,
1953,5.128,2.174,4.086,,3.078,,,3.075,
1954,3.485,2.18,4.083,,3.078,,,3.08,
1955,3.656,2.187,4.08,,3.08,,,3.085,
1956,2.93,2.195,4.079,,3.083,,,3.091,
1957,3.85,2.204,4.078,,3.087,,,3.098,
1958,3.036,2.214,4.079,,3.092,,,3.106,
1959,3.719,2.225,4.08,,3.099,,,3.115,
1960,4.061,2.237,4.083,,3.106,,,3.124,
1961,3.956,2.25,4.087,,3.115,,,3.135,
1962,3.065,2.264,4.091,,3.125,,,3.146,
1963,3.13,2.278,4.097,,3.135,,,3.158,
1964,3.697,2.293,4.104,,3.147,,,3.17,
1965,3.043,2.31,4.112,,3.16,,,3.184,
1966,4.052,2.326,4.12,,3.174,,,3.198,
1967,3.117,2.344,4.13,,3.189,,,3.213,
1968,3.277,2.363,4.141,,3.205,,,3.229,
1969,3.905,2.382,4.153,,3.221,,,3.246,
1970,3.313,2.402,4.166,,3.239,,,3.263,
1971,3.267,2.423,4.18,,3.258,,,3.281,
1972,2.399,2.443,4.194,,3.277,,,3.3,
1973,4.636,2.465,4.21,,3.298,,,3.32,
1974,2.98,2.487,4.227,,3.319,,,3.34,
1975,3.96,2.51,4.246,,3.341,,,3.362,
1976,2.676,2.534,4.268,,3.364,,,3.384,
1977,3.653,2.558,4.29,,3.388,,,3.407,
1978,2.866,2.583,4.313,,3.413,,,3.43,
1979,4.342,2.609,4.336,,3.438,,,3.454,
1980,2.731,2.636,4.361,,3.464,,,3.479,
1981,4.205,2.663,4.387,,3.491,,,3.505,
1982,3.096,2.691,4.413,,3.519,,,3.532,
1983,4.246,2.72,4.441,,3.547,,,3.559,
1984,3.79,2.75,4.469,,3.577,,,3.587,
1985,3.023,2.78,4.498,,3.606,,,3.615,
1986,3.142,2.811,4.527,,3.637,,,3.645,
1987,4.04,2.842,4.558,,3.668,,,3.675,
1988,3.73,2.874,4.589,,3.7,,,3.706,
1989,2.873,2.906,4.621,,3.732,,,3.737,
1990,4.524,2.938,4.653,,3.765,,,3.77,
1991,4.121,2.97,4.686,,3.798,,,3.803,
1992,3.024,3.003,4.72,,3.832,,,3.836,
1993,3.226,3.036,4.755,,3.867,,,3.871,
1994,3.393,3.069,4.79,,3.902,,,3.906,
1995,3.859,3.103,4.826,,3.938,,,3.942,
1996,3.694,3.137,4.862,,3.974,,,3.978,
1997,2.939,3.171,4.899,,4.01,,,4.015,
1998,5.245,3.206,4.937,,4.047,,,4.053,
1999,5.226,3.241,4.975,,4.085,,,4.092,
2000,3.658,3.277,5.013,,4.123,,,4.131,
2001,5.011,3.312,5.052,,4.161,,,4.171,
2002,4.604,3.348,5.092,,4.2,,,4.211,
2003,3.416,3.384,5.132,,4.239,,,4.252,
2004,3.321,3.421,5.172,,4.278,,,4.294,
2005,4.353,3.457,5.213,,4.318,,,4.337,
2006,5.396,3.494,5.254,,4.358,,,4.38,
2007,3.611,,,3.531,4.398,5.296,3.598,4.424,5.294
2008,3.985,,,3.568,4.439,5.338,3.642,4.468,5.341
2009,3.752,,,3.605,4.48,5.38,3.686,4.513,5.389
2010,5.755,,,3.642,4.521,5.423,3.73,4.559,5.438
2011,4.888,,,3.68,4.562,5.466,3.775,4.605,5.487
2012,5.489,,,3.717,4.604,5.509,3.821,4.652,5.537
2013,4.376,,,3.755,4.645,5.553,3.867,4.7,5.588
2014,,,,3.793,4.687,5.597,3.913,4.748,5.64
2015,,,,3.83,4.729,5.641,3.96,4.797,5.693
2016,,,,3.868,4.772,5.685,4.007,4.847,5.746
