Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1138.091,953.691,1259.891,,1110.711,,,1114.576,
1951,1171.854,954.182,1257.875,,1110.165,,,1113.525,
1952,1075.586,954.696,1255.972,,1109.664,,,1112.546,
1953,970.638,955.232,1254.179,,1109.209,,,1111.638,
1954,1388.512,955.792,1252.496,,1108.799,,,1110.801,
1955,997.305,956.374,1250.921,,1108.432,,,1110.033,
1956,963.89,956.978,1249.453,,1108.11,,,1109.334,
1957,1054.484,957.603,1248.089,,1107.83,,,1108.703,
1958,1145.587,958.251,1246.83,,1107.593,,,1108.138,
1959,1124.439,958.919,1245.673,,1107.398,,,1107.64,
1960,1069.421,959.609,1244.618,,1107.244,,,1107.206,
1961,1007.631,960.319,1243.662,,1107.13,,,1106.837,
1962,1071.855,961.05,1243.076,,1107.057,,,1106.531,
1963,1072.411,961.801,1242.841,,1107.023,,,1106.288,
1964,908.69,962.572,1242.664,,1107.028,,,1106.107,
1965,943.65,963.362,1242.543,,1107.071,,,1105.986,
1966,1032.225,964.172,1242.479,,1107.152,,,1105.925,
1967,1003.486,965,1242.469,,1107.27,,,1105.923,
1968,872.774,965.848,1242.513,,1107.425,,,1105.979,
1969,1042.952,966.713,1242.611,,1107.615,,,1106.093,
1970,954.881,967.597,1242.761,,1107.841,,,1106.263,
1971,1127.389,968.499,1242.962,,1108.102,,,1106.488,
1972,1258.678,969.418,1243.214,,1108.396,,,1106.768,
1973,1281.285,970.355,1243.516,,1108.725,,,1107.102,
1974,1107.853,971.269,1243.867,,1109.086,,,1107.489,
1975,1039.459,972.099,1244.265,,1109.48,,,1107.928,
1976,1400.589,972.938,1244.711,,1109.906,,,1108.418,
1977,1050.2,973.784,1245.203,,1110.362,,,1108.958,
1978,993.073,974.638,1245.74,,1110.85,,,1109.547,
1979,1096.149,975.5,1246.322,,1111.367,,,1110.185,
1980,980.585,976.369,1246.947,,1111.914,,,1110.871,
1981,1256.95,977.244,1247.615,,1112.49,,,1111.604,
1982,992.948,978.127,1248.325,,1113.094,,,1112.382,
1983,1246.563,979.017,1249.075,,1113.726,,,1113.206,
1984,1064.797,979.913,1249.866,,1114.385,,,1114.073,
1985,972.568,980.815,1250.696,,1115.071,,,1114.984,
1986,1259.761,981.724,1251.564,,1115.782,,,1115.937,
1987,968.361,982.638,1252.469,,1116.519,,,1116.932,
1988,1018.473,983.558,1253.412,,1117.28,,,1117.968,
1989,1061.867,984.484,1254.389,,1118.066,,,1119.043,
1990,1335.987,985.415,1255.402,,1118.875,,,1120.157,
1991,1055.724,986.351,1256.448,,1119.707,,,1121.309,
1992,1047.502,987.292,1257.528,,1120.562,,,1122.499,
1993,1232.215,988.237,1258.64,,1121.438,,,1123.724,
1994,1201.938,989.188,1259.783,,1122.336,,,1124.985,
1995,1221.592,990.142,1260.956,,1123.254,,,1126.281,
1996,1273.159,991.101,1262.327,,1124.193,,,1127.61,
1997,1095.698,992.063,1264.042,,1125.151,,,1128.972,
1998,1088.114,993.03,1265.807,,1126.127,,,1130.366,
1999,1137.743,993.999,1267.619,,1127.122,,,1131.791,
2000,1189.514,994.973,1269.476,,1128.135,,,1133.246,
2001,909.577,995.949,1271.379,,1129.165,,,1134.731,
2002,901.539,996.928,1273.324,,1130.211,,,1136.244,
2003,1297.401,997.91,1275.311,,1131.273,,,1137.784,
2004,1077.737,998.895,1277.339,,1132.35,,,1139.351,
2005,1342.229,999.882,1279.405,,1133.443,,,1140.944,
2006,1257.005,1000.871,1281.509,,1134.549,,,1142.562,
2007,1330.215,,,1001.862,1135.669,1277.087,1010.446,1144.204,1283.65
2008,1333.795,,,1002.854,1136.802,1278.575,1011.808,1145.869,1285.825
2009,1199.472,,,1003.849,1137.948,1280.082,1013.177,1147.556,1288.034
2010,1095.308,,,1004.844,1139.105,1281.605,1014.553,1149.265,1290.274
2011,1366.892,,,1005.841,1140.273,1283.146,1015.935,1150.994,1292.546
2012,1112.212,,,1006.839,1141.452,1284.701,1017.323,1152.743,1294.847
2013,1177.436,,,1007.837,1142.641,1286.271,1018.717,1154.511,1297.175
2014,,,,1008.836,1143.84,1287.855,1020.117,1156.297,1299.531
2015,,,,1009.836,1145.047,1289.452,1021.522,1158.099,1301.911
2016,,,,1010.836,1146.263,1291.061,1022.932,1159.918,1304.316
2017,,,,1011.835,1147.486,1292.68,1024.347,1161.753,1306.743
2018,,,,1012.835,1148.716,1294.31,1025.766,1163.601,1309.19
2019,,,,1013.834,1149.953,1295.95,1027.189,1165.464,1311.658
2020,,,,1014.832,1151.196,1297.597,1028.617,1167.338,1314.144
2021,,,,1015.829,1152.444,1299.252,1030.048,1169.225,1316.646
2022,,,,1016.826,1153.697,1300.914,1031.482,1171.123,1319.165
2023,,,,1017.821,1154.954,1302.582,1032.919,1173.03,1321.697
2024,,,,1018.815,1156.215,1304.255,1034.359,1174.947,1324.242
2025,,,,1019.807,1157.478,1305.931,1035.801,1176.873,1326.799
2026,,,,1020.798,1158.744,1307.611,1037.246,1178.805,1329.365
2027,,,,1021.786,1160.012,1309.293,1038.693,1180.744,1331.94
2028,,,,1022.773,1161.281,1310.977,1040.141,1182.689,1334.523
2029,,,,1023.756,1162.551,1312.661,1041.59,1184.639,1337.111
2030,,,,1024.738,1163.82,1314.345,1043.04,1186.593,1339.703
2031,,,,1025.716,1165.089,1316.027,1044.492,1188.549,1342.299
2032,,,,1026.692,1166.357,1317.707,1045.943,1190.508,1344.897
2033,,,,1027.664,1167.623,1319.385,1047.395,1192.468,1347.495
2034,,,,1028.633,1168.887,1321.058,1048.847,1194.429,1350.092
