Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,4.44,2.845,4.922,,3.811,,,3.804,
1951,4.755,2.847,4.913,,3.808,,,3.806,
1952,4.945,2.851,4.906,,3.808,,,3.809,
1953,5.868,2.855,4.899,,3.808,,,3.813,
1954,4.001,2.861,4.894,,3.809,,,3.817,
1955,4.239,2.867,4.89,,3.812,,,3.823,
1956,3.492,2.874,4.887,,3.816,,,3.829,
1957,4.591,2.883,4.885,,3.821,,,3.836,
1958,3.537,2.892,4.884,,3.827,,,3.844,
1959,4.482,2.903,4.884,,3.835,,,3.853,
1960,4.51,2.914,4.885,,3.843,,,3.862,
1961,4.469,2.926,4.887,,3.852,,,3.873,
1962,3.533,2.939,4.891,,3.863,,,3.884,
1963,3.747,2.953,4.895,,3.874,,,3.896,
1964,4.494,2.968,4.901,,3.887,,,3.909,
1965,3.772,2.984,4.907,,3.901,,,3.922,
1966,4.55,3,4.915,,3.915,,,3.937,
1967,4.019,3.018,4.923,,3.931,,,3.952,
1968,3.886,3.035,4.933,,3.947,,,3.968,
1969,4.445,3.053,4.944,,3.964,,,3.984,
1970,3.991,3.071,4.955,,3.983,,,4.002,
1971,4.054,3.09,4.968,,4.002,,,4.02,
1972,3.504,3.111,4.982,,4.022,,,4.039,
1973,5.488,3.131,4.996,,4.043,,,4.059,
1974,3.937,3.153,5.012,,4.065,,,4.079,
1975,4.909,3.175,5.029,,4.088,,,4.1,
1976,3.6,3.199,5.046,,4.111,,,4.123,
1977,4.456,3.223,5.067,,4.135,,,4.145,
1978,3.414,3.247,5.088,,4.161,,,4.169,
1979,4.904,3.273,5.111,,4.186,,,4.193,
1980,3.368,3.299,5.135,,4.213,,,4.218,
1981,4.711,3.326,5.16,,4.24,,,4.244,
1982,3.935,3.354,5.185,,4.268,,,4.27,
1983,4.851,3.382,5.212,,4.297,,,4.297,
1984,4.571,3.412,5.239,,4.326,,,4.325,
1985,3.743,3.441,5.267,,4.356,,,4.354,
1986,4.063,3.472,5.296,,4.387,,,4.383,
1987,4.504,3.503,5.326,,4.418,,,4.413,
1988,4.303,3.535,5.356,,4.45,,,4.444,
1989,3.418,3.568,5.387,,4.483,,,4.475,
1990,5.385,3.601,5.419,,4.516,,,4.508,
1991,5.038,3.635,5.452,,4.55,,,4.54,
1992,3.682,3.669,5.485,,4.584,,,4.574,
