Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1113.794,1013.345,1284.775,,1146.574,,,1151.995,
1951,1095.208,1013.428,1283.501,,1146.374,,,1151.288,
1952,1008.463,1013.53,1282.309,,1146.211,,,1150.638,
1953,1019.956,1013.65,1281.198,,1146.084,,,1150.043,
1954,1414.999,1013.789,1280.168,,1145.994,,,1149.503,
1955,1032.559,1013.946,1279.217,,1145.94,,,1149.018,
1956,993.901,1014.122,1278.344,,1145.921,,,1148.587,
1957,1045.974,1014.265,1277.548,,1145.937,,,1148.209,
1958,1128.687,1014.318,1276.828,,1145.987,,,1147.884,
1959,1166.057,1014.402,1276.182,,1146.07,,,1147.61,
1960,1038.986,1014.516,1275.727,,1146.187,,,1147.387,
1961,1084.264,1014.661,1275.556,,1146.336,,,1147.215,
1962,1122.311,1014.835,1275.443,,1146.518,,,1147.093,
1963,1111.576,1015.038,1275.389,,1146.731,,,1147.02,
1964,924.868,1015.271,1275.392,,1146.975,,,1146.995,
1965,980.871,1015.532,1275.451,,1147.25,,,1147.018,
1966,1052.955,1015.821,1275.565,,1147.555,,,1147.088,
1967,1123.17,1016.138,1275.735,,1147.889,,,1147.205,
1968,1009.376,1016.482,1275.959,,1148.253,,,1147.367,
1969,1199.896,1016.854,1276.236,,1148.645,,,1147.574,
1970,1038.539,1017.252,1276.566,,1149.065,,,1147.826,
1971,1113.794,1017.677,1276.948,,1149.512,,,1148.122,
1972,1226.797,1018.128,1277.381,,1149.987,,,1148.46,
1973,1273.198,1018.604,1277.864,,1150.488,,,1148.841,
1974,1295.663,1019.105,1278.397,,1151.014,,,1149.264,
1975,1125.293,1019.632,1278.979,,1151.567,,,1149.728,
1976,1434.042,1020.183,1279.61,,1152.144,,,1150.232,
1977,1144.946,1020.758,1280.288,,1152.745,,,1150.776,
1978,1088.537,1021.357,1281.012,,1153.371,,,1151.359,
1979,1053.362,1021.979,1281.783,,1154.02,,,1151.98,
1980,982.145,1022.624,1282.598,,1154.691,,,1152.64,
1981,1202.034,1023.292,1283.459,,1155.385,,,1153.336,
1982,1055.915,1023.983,1284.363,,1156.101,,,1154.068,
1983,1242.661,1024.695,1285.31,,1156.838,,,1154.836,
1984,1076.47,1025.429,1286.299,,1157.596,,,1155.639,
1985,1133.205,1026.184,1287.33,,1158.374,,,1156.477,
1986,1170.195,1026.884,1288.402,,1159.172,,,1157.348,
1987,1047.854,1027.527,1289.513,,1159.989,,,1158.252,
1988,1054.126,1028.183,1290.664,,1160.824,,,1159.188,
1989,1097.131,1028.85,1291.854,,1161.678,,,1160.156,
1990,1401.818,1029.529,1293.081,,1162.55,,,1161.155,
1991,1153.828,1030.22,1294.346,,1163.439,,,1162.184,
1992,1015.06,1030.922,1295.646,,1164.344,,,1163.243,
1993,1306.472,1031.635,1296.983,,1165.266,,,1164.331,
1994,1229.352,1032.359,1298.354,,1166.203,,,1165.447,
1995,1314.243,1033.093,1299.759,,1167.155,,,1166.591,
1996,1317.753,1033.838,1301.198,,1168.122,,,1167.762,
1997,1170.512,1034.593,1302.669,,1169.103,,,1168.959,
1998,1096.553,1035.359,1304.173,,1170.097,,,1170.181,
1999,1189.798,1036.134,1305.707,,1171.105,,,1171.429,
2000,1282.04,1036.919,1307.272,,1172.125,,,1172.701,
2001,952.439,1037.713,1308.866,,1173.157,,,1173.996,
2002,985.176,1038.517,1310.489,,1174.2,,,1175.314,
2003,1293.744,1039.33,1312.141,,1175.255,,,1176.654,
2004,1020.147,1040.152,1313.82,,1176.32,,,1178.016,
2005,1314.595,1040.983,1315.525,,1177.395,,,1179.399,
2006,1380.701,1041.823,1317.257,,1178.479,,,1180.802,
2007,1306.568,,,1042.67,1179.572,1310.676,1047.421,1182.225,1319.013
2008,1333.818,,,1043.526,1180.673,1312.297,1048.562,1183.667,1320.794
2009,1178.647,,,1044.39,1181.783,1313.935,1049.717,1185.126,1322.599
2010,1215.326,,,1045.262,1182.9,1315.59,1050.883,1186.604,1324.427
2011,1403.619,,,1046.141,1184.023,1317.261,1052.06,1188.098,1326.277
2012,1065.338,,,1047.028,1185.153,1318.946,1053.25,1189.608,1328.148
2013,1199.904,,,1047.922,1186.289,1320.644,1054.449,1191.134,1330.041
2014,,,,1048.823,1187.43,1322.355,1055.66,1192.674,1331.953
2015,,,,1049.731,1188.576,1324.077,1056.881,1194.229,1333.884
2016,,,,1050.646,1189.726,1325.809,1058.111,1195.797,1335.834
2017,,,,1051.567,1190.88,1327.55,1059.351,1197.378,1337.802
2018,,,,1052.494,1192.037,1329.298,1060.601,1198.972,1339.787
2019,,,,1053.427,1193.197,1331.053,1061.859,1200.576,1341.788
2020,,,,1054.367,1194.359,1332.814,1063.125,1202.192,1343.804
2021,,,,1055.312,1195.522,1334.578,1064.399,1203.818,1345.835
2022,,,,1056.262,1196.687,1336.347,1065.681,1205.453,1347.881
2023,,,,1057.218,1197.853,1338.117,1066.97,1207.096,1349.94
2024,,,,1058.179,1199.018,1339.887,1068.266,1208.749,1352.011
2025,,,,1059.145,1200.183,1341.658,1069.568,1210.408,1354.094
2026,,,,1060.115,1201.348,1343.428,1070.877,1212.074,1356.188
2027,,,,1061.09,1202.511,1345.194,1072.191,1213.746,1358.293
2028,,,,1062.07,1203.672,1346.958,1073.511,1215.424,1360.407
2029,,,,1063.054,1204.83,1348.716,1074.836,1217.107,1362.53
2030,,,,1064.041,1205.986,1350.469,1076.166,1218.793,1364.661
2031,,,,1065.033,1207.138,1352.214,1077.5,1220.483,1366.799
2032,,,,1066.028,1208.286,1353.952,1078.837,1222.176,1368.944
2033,,,,1067.026,1209.429,1355.68,1080.179,1223.871,1371.095
2034,,,,1068.028,1210.568,1357.398,1081.524,1225.567,1373.251
2035,,,,1069.032,1211.701,1359.104,1082.871,1227.264,1375.412
2036,,,,1070.04,1212.828,1360.797,1084.221,1228.961,1377.576
2037,,,,1071.05,1213.948,1362.477,1085.573,1230.657,1379.743
2038,,,,1072.062,1215.061,1364.142,1086.927,1232.352,1381.912
