Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1.868,0.779,2.679,,1.73,,,1.76,
1951,2.465,0.787,2.67,,1.725,,,1.754,
1952,2.723,0.795,2.661,,1.72,,,1.75,
1953,3.377,0.805,2.654,,1.717,,,1.746,
1954,2.175,0.815,2.648,,1.715,,,1.743,
1955,2.684,0.825,2.642,,1.714,,,1.742,
1956,1.733,0.837,2.638,,1.714,,,1.741,
1957,1.854,0.849,2.636,,1.716,,,1.742,
1958,2.426,0.862,2.634,,1.718,,,1.743,
1959,2.071,0.875,2.633,,1.722,,,1.745,
1960,2.957,0.889,2.634,,1.727,,,1.749,
1961,2.455,0.9,2.635,,1.733,,,1.753,
1962,1.766,0.912,2.638,,1.74,,,1.759,
1963,1.802,0.924,2.641,,1.748,,,1.765,
1964,1.641,0.938,2.646,,1.757,,,1.772,
1965,1.337,0.952,2.652,,1.768,,,1.781,
1966,3.116,0.968,2.659,,1.779,,,1.79,
1967,1.842,0.984,2.667,,1.791,,,1.8,
1968,2.086,1.001,2.676,,1.805,,,1.811,
1969,2.883,1.019,2.686,,1.819,,,1.823,
1970,2.224,1.038,2.697,,1.834,,,1.836,
1971,2.157,1.057,2.709,,1.85,,,1.85,
1972,0.299,1.077,2.722,,1.868,,,1.865,
1973,2.81,1.098,2.737,,1.886,,,1.881,
1974,1.165,1.12,2.752,,1.904,,,1.898,
1975,2.266,1.143,2.768,,1.924,,,1.915,
1976,1.484,1.166,2.786,,1.945,,,1.934,
1977,2.497,1.19,2.806,,1.966,,,1.953,
1978,1.518,1.215,2.827,,1.989,,,1.974,
1979,3.313,1.24,2.85,,2.012,,,1.995,
1980,1.675,1.266,2.873,,2.035,,,2.017,
1981,3.428,1.292,2.897,,2.06,,,2.04,
1982,1.699,1.319,2.922,,2.086,,,2.063,
1983,3.147,1.347,2.948,,2.112,,,2.088,
1984,2.555,1.375,2.975,,2.138,,,2.114,
1985,1.817,1.404,3.003,,2.166,,,2.14,
1986,1.533,1.434,3.032,,2.194,,,2.167,
1987,2.83,1.464,3.061,,2.223,,,2.195,
1988,2.221,1.494,3.091,,2.253,,,2.224,
1989,1.824,1.525,3.122,,2.283,,,2.253,
1990,2.403,1.556,3.154,,2.314,,,2.284,
1991,1.972,1.588,3.186,,2.345,,,2.315,
1992,1.537,1.62,3.219,,2.377,,,2.347,
1993,1.407,1.653,3.253,,2.409,,,2.38,
1994,1.935,1.686,3.288,,2.443,,,2.414,
1995,2.394,1.72,3.323,,2.476,,,2.448,
1996,2.536,1.753,3.359,,2.51,,,2.483,
1997,1.51,1.788,3.395,,2.545,,,2.519,
