Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1014.27,953.292,1213.824,,1091.17,,,1101.105,
1951,1132.575,952.649,1212.029,,1089.822,,,1098.882,
1952,990.874,952.053,1210.336,,1088.541,,,1096.754,
1953,1085.984,951.505,1208.742,,1087.326,,,1094.721,
1954,1357.657,951.002,1207.247,,1086.176,,,1092.78,
1955,1010.088,950.545,1205.848,,1085.09,,,1090.931,
1956,936.07,950.133,1204.544,,1084.067,,,1089.173,
1957,906.744,949.766,1203.346,,1083.107,,,1087.505,
1958,1048.273,949.442,1202.353,,1082.208,,,1085.925,
1959,977.216,949.161,1201.444,,1081.371,,,1084.434,
1960,970.086,948.923,1200.618,,1080.593,,,1083.029,
1961,982.206,948.727,1199.875,,1079.875,,,1081.71,
1962,1034.238,948.572,1199.212,,1079.215,,,1080.475,
1963,1152.304,948.457,1198.629,,1078.613,,,1079.324,
1964,970.518,948.383,1198.124,,1078.068,,,1078.256,
1965,962.704,948.348,1197.698,,1077.579,,,1077.269,
1966,992.761,948.352,1197.348,,1077.145,,,1076.363,
1967,1051.746,948.394,1197.074,,1076.765,,,1075.536,
1968,975.897,948.474,1196.875,,1076.439,,,1074.787,
1969,1135.517,948.59,1196.749,,1076.166,,,1074.116,
1970,1014.737,948.743,1196.695,,1075.945,,,1073.521,
1971,1059.796,948.932,1196.713,,1075.775,,,1073.001,
1972,1106.33,949.155,1196.802,,1075.656,,,1072.555,
1973,1168.456,949.413,1196.959,,1075.586,,,1072.183,
1974,1052.971,949.705,1197.185,,1075.564,,,1071.882,
1975,890.039,950.03,1197.478,,1075.591,,,1071.653,
1976,1172.372,950.387,1197.837,,1075.665,,,1071.493,
1977,1084.257,950.777,1198.261,,1075.785,,,1071.402,
1978,884.109,951.198,1198.75,,1075.951,,,1071.38,
1979,1159.596,951.649,1199.301,,1076.161,,,1071.424,
1980,1376.351,952.131,1199.914,,1076.415,,,1071.534,
1981,1480.669,952.642,1200.588,,1076.713,,,1071.708,
1982,1066.385,953.182,1201.322,,1077.052,,,1071.947,
1983,1165.554,953.75,1202.114,,1077.433,,,1072.248,
1984,922.505,954.346,1202.964,,1077.855,,,1072.61,
1985,954.811,954.968,1203.871,,1078.316,,,1073.033,
1986,1046.651,955.617,1204.834,,1078.817,,,1073.516,
1987,877.129,956.292,1205.85,,1079.356,,,1074.057,
1988,1128.988,956.992,1206.921,,1079.932,,,1074.656,
1989,1018.992,957.716,1208.044,,1080.545,,,1075.311,
1990,1167.93,958.464,1209.218,,1081.193,,,1076.021,
1991,1084.265,959.236,1210.442,,1081.877,,,1076.785,
1992,1009.597,960.03,1211.716,,1082.594,,,1077.603,
1993,1118.064,960.846,1213.037,,1083.345,,,1078.473,
1994,1257.888,961.683,1214.406,,1084.129,,,1079.394,
1995,1164.181,962.542,1215.821,,1084.944,,,1080.365,
1996,1113.876,963.42,1217.281,,1085.79,,,1081.385,
1997,887.328,964.318,1218.785,,1086.667,,,1082.453,
1998,1239.336,965.234,1220.331,,1087.572,,,1083.568,
1999,1139.835,966.169,1221.92,,1088.506,,,1084.729,
2000,1073.908,967.122,1223.549,,1089.468,,,1085.935,
2001,859.695,968.092,1225.218,,1090.457,,,1087.184,
2002,750.547,969.078,1226.926,,1091.471,,,1088.477,
2003,1055.99,970.079,1228.671,,1092.511,,,1089.811,
2004,978.274,971.096,1230.453,,1093.576,,,1091.186,
2005,1115.275,972.128,1232.27,,1094.664,,,1092.6,
2006,1062.843,973.173,1234.122,,1095.774,,,1094.053,
2007,1087.331,,,974.232,1096.907,1232.884,977.048,1095.543,1236.007
2008,1191.842,,,975.303,1098.061,1234.676,978.277,1097.07,1237.924
2009,1056.568,,,976.387,1099.236,1236.491,979.525,1098.632,1239.873
2010,1158.289,,,977.482,1100.43,1238.329,980.79,1100.229,1241.852
2011,1177.051,,,978.587,1101.642,1240.187,982.072,1101.859,1243.86
2012,972.899,,,979.703,1102.873,1242.065,983.371,1103.521,1245.896
2013,1053.638,,,980.828,1104.121,1243.962,984.686,1105.215,1247.959
2014,,,,981.963,1105.385,1245.875,986.016,1106.938,1250.048
2015,,,,983.105,1106.664,1247.803,987.362,1108.691,1252.162
2016,,,,984.256,1107.959,1249.746,988.722,1110.472,1254.3
2017,,,,985.413,1109.267,1251.702,990.097,1112.28,1256.46
2018,,,,986.577,1110.588,1253.668,991.485,1114.114,1258.643
2019,,,,987.746,1111.922,1255.645,992.886,1115.973,1260.846
2020,,,,988.921,1113.267,1257.631,994.299,1117.856,1263.068
2021,,,,990.101,1114.623,1259.623,995.725,1119.761,1265.309
2022,,,,991.284,1115.988,1261.622,997.162,1121.689,1267.568
2023,,,,992.471,1117.363,1263.626,998.609,1123.637,1269.843
2024,,,,993.66,1118.746,1265.632,1000.068,1125.605,1272.134
2025,,,,994.852,1120.136,1267.641,1001.536,1127.592,1274.439
2026,,,,996.045,1121.533,1269.65,1003.014,1129.596,1276.757
2027,,,,997.239,1122.935,1271.658,1004.5,1131.617,1279.088
2028,,,,998.433,1124.343,1273.664,1005.995,1133.653,1281.429
2029,,,,999.627,1125.755,1275.667,1007.498,1135.704,1283.781
2030,,,,1000.819,1127.17,1277.665,1009.008,1137.768,1286.142
2031,,,,1002.01,1128.587,1279.656,1010.525,1139.845,1288.51
2032,,,,1003.199,1130.007,1281.64,1012.049,1141.933,1290.886
2033,,,,1004.385,1131.427,1283.615,1013.578,1144.031,1293.268
2034,,,,1005.568,1132.848,1285.579,1015.112,1146.139,1295.654
2035,,,,1006.746,1134.267,1287.532,1016.651,1148.254,1298.045
2036,,,,1007.92,1135.686,1289.472,1018.195,1150.377,1300.438
2037,,,,1009.088,1137.101,1291.398,1019.742,1152.506,1302.832
2038,,,,1010.25,1138.514,1293.308,1021.292,1154.64,1305.227
2039,,,,1011.406,1139.923,1295.2,1022.845,1156.778,1307.622
2040,,,,1012.554,1141.327,1297.075,1024.401,1158.919,1310.015
2041,,,,1013.695,1142.726,1298.929,1025.958,1161.062,1312.406
2042,,,,1014.827,1144.118,1300.763,1027.516,1163.206,1314.793
2043,,,,1015.95,1145.503,1302.573,1029.074,1165.35,1317.175
2044,,,,1017.063,1146.88,1304.36,1030.633,1167.492,1319.552
2045,,,,1018.166,1148.248,1306.122,1032.191,1169.632,1321.922
2046,,,,1019.258,1149.607,1307.857,1033.749,1171.769,1324.284
2047,,,,1020.338,1150.955,1309.564,1035.305,1173.901,1326.637
2048,,,,1021.406,1152.292,1311.242,1036.859,1176.029,1328.98
2049,,,,1022.462,1153.617,1312.89,1038.41,1178.149,1331.312
2050,,,,1023.503,1154.929,1314.505,1039.959,1180.262,1333.632
2051,,,,1024.531,1156.227,1316.087,1041.504,1182.367,1335.939
2052,,,,1025.544,1157.511,1317.634,1043.045,1184.462,1338.231
2053,,,,1026.542,1158.78,1319.145,1044.582,1186.546,1340.509
2054,,,,1027.524,1160.033,1320.619,1046.113,1188.618,1342.77
2055,,,,1028.489,1161.268,1322.054,1047.639,1190.678,1345.013
2056,,,,1029.437,1162.486,1323.449,1049.159,1192.724,1347.239
2057,,,,1030.368,1163.686,1324.802,1050.672,1194.755,1349.445
2058,,,,1031.28,1164.866,1326.113,1052.178,1196.771,1351.63
2059,,,,1032.172,1166.026,1327.379,1053.676,1198.769,1353.793
2060,,,,1033.046,1167.164,1328.6,1055.167,1200.749,1355.934
2061,,,,1033.898,1168.282,1329.774,1056.648,1202.711,1358.052
2062,,,,1034.73,1169.376,1330.899,1058.12,1204.652,1360.144
2063,,,,1035.541,1170.448,1331.975,1059.583,1206.572,1362.211
2064,,,,1036.329,1171.495,1333,1061.036,1208.47,1364.251
2065,,,,1037.094,1172.516,1333.973,1062.477,1210.345,1366.263
2066,,,,1037.837,1173.513,1334.891,1063.908,1212.195,1368.246
2067,,,,1038.555,1174.482,1335.755,1065.326,1214.021,1370.198
2068,,,,1039.248,1175.424,1336.563,1066.733,1215.819,1372.12
2069,,,,1039.916,1176.338,1337.312,1068.126,1217.591,1374.01
