Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-4.94,-5.286,-3.255,,-4.394,,,-4.37,
1951,-3.253,-5.276,-3.266,,-4.392,,,-4.367,
1952,-2.594,-5.265,-3.274,,-4.389,,,-4.365,
1953,-2.793,-5.253,-3.282,,-4.385,,,-4.361,
1954,-3.665,-5.241,-3.288,,-4.379,,,-4.356,
1955,-2.422,-5.228,-3.293,,-4.373,,,-4.35,
1956,-4.981,-5.214,-3.297,,-4.366,,,-4.344,
1957,-4.089,-5.2,-3.299,,-4.357,,,-4.336,
1958,-3.35,-5.185,-3.301,,-4.348,,,-4.328,
1959,-4.442,-5.17,-3.3,,-4.338,,,-4.319,
1960,-3.274,-5.153,-3.299,,-4.326,,,-4.309,
1961,-3.057,-5.136,-3.296,,-4.314,,,-4.298,
1962,-4.206,-5.119,-3.292,,-4.301,,,-4.286,
1963,-4.483,-5.102,-3.287,,-4.286,,,-4.274,
1964,-4.547,-5.084,-3.28,,-4.271,,,-4.26,
1965,-5.736,-5.065,-3.272,,-4.255,,,-4.246,
1966,-2.55,-5.046,-3.263,,-4.238,,,-4.231,
1967,-4.353,-5.025,-3.253,,-4.22,,,-4.215,
1968,-3.153,-5.005,-3.237,,-4.201,,,-4.198,
1969,-3.354,-4.983,-3.219,,-4.182,,,-4.18,
1970,-4.247,-4.961,-3.2,,-4.161,,,-4.162,
1971,-3.903,-4.938,-3.181,,-4.14,,,-4.142,
1972,-6.622,-4.914,-3.16,,-4.118,,,-4.122,
1973,-2.592,-4.89,-3.138,,-4.095,,,-4.101,
1974,-5.141,-4.865,-3.115,,-4.071,,,-4.079,
1975,-3.558,-4.839,-3.09,,-4.047,,,-4.056,
1976,-4.784,-4.813,-3.065,,-4.022,,,-4.033,
1977,-2.943,-4.787,-3.039,,-3.996,,,-4.008,
1978,-4.954,-4.76,-3.012,,-3.969,,,-3.983,
1979,-3.139,-4.732,-2.984,,-3.942,,,-3.957,
1980,-4.044,-4.704,-2.955,,-3.914,,,-3.93,
1981,-1.852,-4.675,-2.925,,-3.885,,,-3.903,
1982,-4.454,-4.646,-2.895,,-3.856,,,-3.874,
1983,-3.282,-4.616,-2.863,,-3.826,,,-3.845,
1984,-3.264,-4.586,-2.83,,-3.795,,,-3.815,
1985,-4.066,-4.555,-2.797,,-3.764,,,-3.784,
