Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,783.114,679.563,840.092,,757.534,,,765.866,
1951,769.066,680.109,839.095,,757.517,,,765.153,
1952,852.678,680.671,838.167,,757.533,,,764.497,
1953,798.759,681.249,837.31,,757.58,,,763.897,
1954,645.223,681.842,836.522,,757.658,,,763.352,
1955,655.546,682.449,835.803,,757.767,,,762.862,
1956,713.801,683.072,835.151,,757.907,,,762.426,
1957,695.131,683.708,834.566,,758.076,,,762.043,
1958,744.353,684.359,834.047,,758.276,,,761.714,
1959,796.198,685.024,833.594,,758.504,,,761.437,
1960,712.102,685.703,833.205,,758.762,,,761.212,
1961,527.208,686.394,832.88,,759.047,,,761.038,
1962,466.875,687.099,832.618,,759.361,,,760.915,
1963,638.382,687.817,832.419,,759.702,,,760.842,
1964,818.905,688.547,832.282,,760.071,,,760.818,
1965,788.782,689.289,832.205,,760.466,,,760.844,
1966,846.179,690.044,832.601,,760.887,,,760.918,
1967,688.105,690.81,833.144,,761.334,,,761.04,
1968,791.411,691.588,833.714,,761.807,,,761.21,
1969,871.565,692.377,834.31,,762.305,,,761.426,
1970,641.509,693.177,834.933,,762.827,,,761.688,
1971,744.262,693.988,835.581,,763.373,,,761.996,
1972,703.602,694.809,836.255,,763.944,,,762.349,
1973,817.273,695.64,836.953,,764.537,,,762.746,
1974,731.315,696.481,837.676,,765.154,,,763.187,
1975,748.632,697.332,838.423,,765.793,,,763.672,
1976,663.166,698.192,839.193,,766.454,,,764.199,
1977,818.126,699.061,839.987,,767.137,,,764.769,
1978,881.377,699.939,840.804,,767.841,,,765.38,
1979,883.62,700.826,841.643,,768.566,,,766.033,
1980,803.397,701.721,842.504,,769.312,,,766.725,
1981,779.844,702.624,843.387,,770.077,,,767.458,
1982,864.102,703.535,844.291,,770.862,,,768.23,
1983,920.714,704.453,845.216,,771.667,,,769.041,
1984,755.026,705.379,846.161,,772.49,,,769.89,
1985,688.383,706.311,847.127,,773.331,,,770.777,
1986,771.008,707.25,848.112,,774.19,,,771.701,
1987,803.559,708.196,849.116,,775.067,,,772.661,
1988,673.845,709.148,850.139,,775.961,,,773.657,
1989,681.471,710.106,851.181,,776.871,,,774.689,
1990,819.323,711.069,852.24,,777.798,,,775.755,
1991,728.2,712.038,853.318,,778.741,,,776.856,
1992,807.275,713.012,854.412,,779.699,,,777.99,
1993,773.893,713.991,855.523,,780.672,,,779.158,
1994,821.062,714.974,856.651,,781.66,,,780.358,
1995,945.484,715.962,857.794,,782.661,,,781.59,
1996,1019.203,716.954,858.954,,783.677,,,782.853,
1997,719.612,717.95,860.128,,784.706,,,784.147,
1998,805.953,718.949,861.318,,785.748,,,785.471,
1999,939.846,719.951,862.521,,786.802,,,786.825,
2000,790.289,720.957,863.739,,787.868,,,788.208,
2001,825.776,721.965,864.97,,788.946,,,789.62,
2002,502.939,722.976,866.215,,790.036,,,791.06,
2003,775.952,723.988,867.472,,791.136,,,792.527,
2004,794.408,725.003,868.804,,792.246,,,794.021,
2005,744.046,726.02,870.553,,793.366,,,795.541,
2006,665.472,727.038,872.332,,794.496,,,797.087,
2007,787.865,,,728.057,795.636,872.621,730.946,798.658,874.141
2008,772.001,,,729.077,796.784,873.936,732.22,800.254,875.979
2009,735.168,,,730.097,797.94,875.262,733.505,801.873,877.846
