Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-4.643,-4.5,-2.311,,-3.522,,,-3.479,
1951,-2.59,-4.494,-2.32,,-3.52,,,-3.476,
1952,-2.072,-4.486,-2.327,,-3.517,,,-3.472,
1953,-2.133,-4.478,-2.333,,-3.513,,,-3.468,
1954,-3.001,-4.469,-2.338,,-3.507,,,-3.462,
1955,-1.449,-4.46,-2.342,,-3.501,,,-3.456,
1956,-4.162,-4.449,-2.344,,-3.493,,,-3.448,
1957,-3.418,-4.438,-2.344,,-3.484,,,-3.44,
1958,-2.879,-4.43,-2.344,,-3.475,,,-3.431,
1959,-4.086,-4.42,-2.342,,-3.464,,,-3.421,
1960,-2.996,-4.41,-2.339,,-3.452,,,-3.41,
1961,-2.638,-4.399,-2.334,,-3.439,,,-3.399,
1962,-3.526,-4.387,-2.328,,-3.425,,,-3.386,
1963,-3.874,-4.374,-2.321,,-3.41,,,-3.373,
1964,-3.822,-4.359,-2.312,,-3.394,,,-3.358,
1965,-5.312,-4.344,-2.303,,-3.377,,,-3.343,
1966,-2.168,-4.328,-2.292,,-3.36,,,-3.327,
1967,-3.719,-4.311,-2.279,,-3.341,,,-3.31,
1968,-2.199,-4.294,-2.266,,-3.321,,,-3.293,
1969,-2.746,-4.275,-2.247,,-3.301,,,-3.274,
1970,-3.716,-4.255,-2.224,,-3.28,,,-3.255,
1971,-2.98,-4.235,-2.199,,-3.257,,,-3.234,
1972,-5.648,-4.214,-2.173,,-3.234,,,-3.213,
1973,-1.664,-4.192,-2.147,,-3.21,,,-3.191,
1974,-4.131,-4.169,-2.119,,-3.186,,,-3.169,
1975,-2.238,-4.146,-2.091,,-3.16,,,-3.145,
1976,-4.264,-4.121,-2.062,,-3.134,,,-3.12,
1977,-2.143,-4.096,-2.032,,-3.107,,,-3.095,
1978,-4.29,-4.071,-2.001,,-3.079,,,-3.069,
1979,-2.813,-4.044,-1.969,,-3.05,,,-3.042,
1980,-3.367,-4.017,-1.937,,-3.021,,,-3.014,
