Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,650.176,591.053,753.467,,667.651,,,673.741,
1951,696.7,591.297,751.891,,667.724,,,673.183,
1952,782.49,591.567,750.397,,667.819,,,672.67,
1953,732.963,591.863,748.986,,667.937,,,672.203,
1954,624.196,592.185,747.657,,668.078,,,671.781,
1955,648.169,592.531,746.409,,668.241,,,671.404,
1956,589.055,592.902,745.241,,668.425,,,671.07,
1957,650.379,593.297,744.151,,668.632,,,670.78,
1958,707.623,593.716,743.139,,668.859,,,670.534,
1959,716.895,594.158,742.205,,669.108,,,670.33,
1960,703.679,594.622,741.347,,669.378,,,670.168,
1961,504.054,595.109,740.564,,669.668,,,670.049,
1962,491.792,595.618,739.855,,669.978,,,669.971,
1963,523.385,596.148,739.682,,670.308,,,669.934,
1964,724.537,596.699,739.731,,670.658,,,669.937,
1965,636.399,597.27,739.821,,671.027,,,669.981,
1966,695.532,597.633,739.95,,671.416,,,670.064,
1967,489.583,598.013,740.118,,671.823,,,670.187,
1968,623.11,598.419,740.325,,672.249,,,670.348,
1969,656.803,598.851,740.57,,672.693,,,670.548,
1970,541.298,599.308,740.853,,673.155,,,670.786,
1971,643.705,599.79,741.172,,673.635,,,671.061,
1972,580.278,600.297,741.528,,674.132,,,671.373,
1973,724.356,600.828,741.919,,674.647,,,671.722,
1974,639.037,601.383,742.346,,675.178,,,672.107,
1975,699.128,601.962,742.807,,675.726,,,672.527,
1976,542.633,602.564,743.302,,676.291,,,672.983,
1977,717.008,603.19,743.83,,676.871,,,673.474,
1978,765.523,603.838,744.391,,677.468,,,674,
1979,741.436,604.509,744.984,,678.08,,,674.559,
1980,710.621,605.203,745.609,,678.707,,,675.151,
1981,636.3,605.918,746.265,,679.349,,,675.777,
1982,748.408,606.655,746.951,,680.006,,,676.435,
1983,734.623,607.413,747.668,,680.677,,,677.126,
1984,684.472,608.193,748.413,,681.362,,,677.848,
1985,665.458,608.993,749.187,,682.062,,,678.602,
1986,711.084,609.814,749.989,,682.775,,,679.387,
1987,725.308,610.655,750.819,,683.501,,,680.201,
1988,671.774,611.515,751.676,,684.24,,,681.046,
1989,562.477,612.396,752.559,,684.992,,,681.921,
1990,730.177,613.295,753.467,,685.756,,,682.824,
1991,780.726,614.214,754.401,,686.533,,,683.757,
1992,768.745,615.151,755.36,,687.322,,,684.717,
1993,692.237,616.106,756.342,,688.122,,,685.705,
1994,645.947,617.08,757.348,,688.934,,,686.721,
1995,699.265,618.071,758.377,,689.756,,,687.763,
1996,698.158,619.08,759.428,,690.59,,,688.832,
1997,599.812,620.106,760.501,,691.434,,,689.927,
1998,652.453,621.148,761.594,,692.288,,,691.048,
1999,825.798,622.208,762.709,,693.153,,,692.193,
2000,675.009,623.283,763.843,,694.027,,,693.364,
2001,768.353,624.374,764.996,,694.91,,,694.558,
2002,519.948,625.481,766.168,,695.803,,,695.776,
2003,607.671,626.604,767.359,,696.705,,,697.018,
2004,723.047,627.741,768.567,,697.615,,,698.283,
2005,773.827,628.893,769.792,,698.533,,,699.57,
2006,655.502,630.06,771.033,,699.46,,,700.879,
2007,742.029,,,633.841,700.394,772.29,631.241,702.21,770.105
2008,715.69,,,634.87,701.336,773.562,632.435,703.562,771.828
2009,707.391,,,635.9,702.285,774.849,633.643,704.934,773.583
2010,629.453,,,636.93,703.241,776.15,634.864,706.327,775.368
2011,599.8,,,637.96,704.204,777.465,636.098,707.74,777.183
2012,684.235,,,638.989,705.173,778.792,637.345,709.172,779.026
2013,724.309,,,640.018,706.148,780.132,638.604,710.623,780.898
2014,,,,641.045,707.129,781.483,639.875,712.093,782.796
2015,,,,642.07,708.116,782.846,641.158,713.581,784.719
2016,,,,643.093,709.108,784.219,642.452,715.086,786.668
2017,,,,644.113,710.105,785.602,643.757,716.608,788.641
2018,,,,645.13,711.107,786.994,645.073,718.148,790.637
2019,,,,646.143,712.113,788.396,646.4,719.703,792.656
2020,,,,647.152,713.123,789.805,647.736,721.275,794.695
2021,,,,648.156,714.137,791.222,649.083,722.861,796.755
2022,,,,649.155,715.155,792.646,650.439,724.463,798.835
2023,,,,650.149,716.176,794.077,651.805,726.08,800.933
2024,,,,651.137,717.201,795.513,653.179,727.71,803.048
2025,,,,652.119,718.228,796.955,654.562,729.354,805.181
2026,,,,653.094,719.257,798.401,655.954,731.011,807.329
2027,,,,654.061,720.289,799.852,657.353,732.682,809.492
2028,,,,655.021,721.323,801.306,658.761,734.364,811.67
2029,,,,655.973,722.358,802.763,660.176,736.058,813.86
