Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-2.299,-3.007,-0.96,,-2.044,,,-2.044,
1951,-0.697,-2.997,-0.965,,-2.044,,,-2.041,
1952,-0.256,-2.986,-0.968,,-2.043,,,-2.038,
1953,-0.081,-2.975,-0.971,,-2.042,,,-2.034,
1954,-1.401,-2.963,-0.972,,-2.039,,,-2.029,
1955,-0.767,-2.95,-0.973,,-2.034,,,-2.023,
1956,-2.786,-2.936,-0.972,,-2.029,,,-2.016,
1957,-1.869,-2.922,-0.97,,-2.023,,,-2.009,
1958,-1.122,-2.907,-0.967,,-2.016,,,-2,
1959,-2.174,-2.891,-0.963,,-2.007,,,-1.991,
1960,-1.069,-2.875,-0.959,,-1.998,,,-1.981,
1961,-0.928,-2.858,-0.953,,-1.988,,,-1.971,
1962,-2.059,-2.84,-0.946,,-1.976,,,-1.959,
1963,-2.18,-2.822,-0.938,,-1.964,,,-1.947,
1964,-2.222,-2.803,-0.929,,-1.95,,,-1.934,
1965,-3.401,-2.784,-0.919,,-1.936,,,-1.92,
1966,-0.799,-2.765,-0.908,,-1.921,,,-1.905,
1967,-2.189,-2.746,-0.896,,-1.905,,,-1.89,
1968,-1.259,-2.727,-0.883,,-1.888,,,-1.874,
1969,-1.263,-2.708,-0.87,,-1.87,,,-1.857,
1970,-1.926,-2.687,-0.855,,-1.851,,,-1.839,
1971,-1.64,-2.666,-0.839,,-1.831,,,-1.82,
1972,-3.693,-2.644,-0.822,,-1.811,,,-1.801,
1973,-0.394,-2.622,-0.802,,-1.79,,,-1.781,
1974,-3.032,-2.599,-0.781,,-1.768,,,-1.76,
1975,-1.188,-2.575,-0.758,,-1.745,,,-1.738,
1976,-2.388,-2.55,-0.735,,-1.721,,,-1.716,
1977,-0.764,-2.525,-0.71,,-1.697,,,-1.692,
1978,-2.599,-2.5,-0.685,,-1.672,,,-1.668,
1979,-0.918,-2.473,-0.659,,-1.646,,,-1.644,
