Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,874.727,785.544,989.415,,875.939,,,880.44,
1951,910.043,785.555,987.306,,875.619,,,879.594,
1952,1024.28,785.595,985.297,,875.34,,,878.81,
1953,871.308,785.663,983.388,,875.101,,,878.088,
1954,826.677,785.758,981.576,,874.901,,,877.427,
1955,871.988,785.881,979.861,,874.74,,,876.825,
1956,904.724,786.031,978.242,,874.618,,,876.283,
1957,864.989,786.207,976.718,,874.533,,,875.8,
1958,843.061,786.41,975.287,,874.486,,,875.375,
1959,874.739,786.638,973.948,,874.476,,,875.007,
1960,883.497,786.891,972.7,,874.502,,,874.695,
1961,694.501,787.169,971.543,,874.564,,,874.44,
1962,687.096,787.189,970.474,,874.662,,,874.239,
1963,701.761,786.944,969.732,,874.794,,,874.093,
1964,1106.116,786.758,969.362,,874.96,,,874.001,
1965,923.058,786.63,969.045,,875.16,,,873.961,
1966,1032.303,786.56,968.781,,875.393,,,873.974,
1967,828.607,786.547,968.567,,875.658,,,874.039,
1968,865.735,786.589,968.405,,875.956,,,874.154,
1969,933.673,786.686,968.292,,876.285,,,874.319,
1970,836.306,786.836,968.228,,876.645,,,874.534,
1971,900.704,787.04,968.213,,877.036,,,874.797,
1972,774.656,787.296,968.245,,877.456,,,875.108,
1973,964.046,787.603,968.325,,877.906,,,875.466,
1974,912.986,787.96,968.45,,878.385,,,875.871,
1975,821.805,788.366,968.621,,878.892,,,876.322,
1976,837.054,788.821,968.836,,879.427,,,876.818,
1977,861.105,789.323,969.095,,879.989,,,877.358,
1978,889.521,789.872,969.397,,880.578,,,877.941,
1979,989.008,790.466,969.742,,881.193,,,878.568,
1980,848.884,791.106,970.128,,881.834,,,879.237,
1981,770.423,791.789,970.555,,882.5,,,879.947,
1982,898.966,792.515,971.022,,883.19,,,880.698,
1983,940.05,793.283,971.528,,883.904,,,881.489,
1984,815.045,794.092,972.073,,884.642,,,882.32,
1985,796.524,794.942,972.655,,885.403,,,883.189,
1986,849.415,795.83,973.275,,886.187,,,884.096,
1987,811.454,796.758,973.931,,886.992,,,885.04,
1988,908.844,797.722,974.622,,887.819,,,886.02,
1989,803.324,798.724,975.348,,888.667,,,887.037,
1990,990.634,799.761,976.108,,889.534,,,888.088,
1991,816.922,800.832,976.901,,890.422,,,889.174,
1992,949.944,801.938,977.726,,891.329,,,890.293,
1993,1012.755,803.077,978.584,,892.255,,,891.445,
1994,1000.886,804.247,979.472,,893.199,,,892.629,
1995,1136.993,805.449,980.39,,894.16,,,893.845,
1996,1177.796,806.682,981.338,,895.139,,,895.091,
1997,917.613,807.943,982.315,,896.134,,,896.367,
1998,968.353,809.233,983.319,,897.145,,,897.673,
1999,1096.162,810.55,984.35,,898.172,,,899.007,
2000,874.893,811.894,985.408,,899.214,,,900.369,
2001,915.428,813.264,986.492,,900.27,,,901.758,
2002,600.393,814.659,987.6,,901.34,,,903.174,
2003,922.814,815.72,989.2,,902.423,,,904.615,
2004,679.93,816.67,990.84,,903.52,,,906.081,
2005,553.334,817.626,992.52,,904.628,,,907.572,
2006,549.372,818.588,994.24,,905.749,,,909.086,
2007,743.131,,,819.556,906.88,993.488,821.971,910.623,995.997
2008,827.201,,,820.529,908.023,994.729,823.496,912.182,997.791
2009,709.386,,,821.507,909.175,995.99,825.039,913.762,999.621
2010,745.393,,,822.49,910.337,997.27,826.599,915.363,1001.485
2011,729.396,,,823.476,911.509,998.568,828.176,916.984,1003.382
2012,805.018,,,824.466,912.688,999.883,829.768,918.624,1005.311
2013,787.139,,,825.459,913.876,1001.215,831.376,920.283,1007.271
2014,,,,826.454,915.072,1002.562,832.997,921.959,1009.262
2015,,,,827.452,916.274,1003.925,834.632,923.653,1011.281
2016,,,,828.452,917.483,1005.302,836.278,925.362,1013.327
2017,,,,829.453,918.698,1006.692,837.936,927.088,1015.401
2018,,,,830.455,919.918,1008.094,839.604,928.828,1017.499
2019,,,,831.457,921.143,1009.509,841.281,930.583,1019.622
2020,,,,832.46,922.372,1010.935,842.967,932.351,1021.767
2021,,,,833.463,923.605,1012.372,844.66,934.132,1023.935
2022,,,,834.465,924.841,1013.818,846.36,935.925,1026.123
2023,,,,835.466,926.08,1015.273,848.066,937.729,1028.331
2024,,,,836.465,927.321,1016.736,849.776,939.544,1030.558
2025,,,,837.463,928.564,1018.206,851.491,941.369,1032.802
2026,,,,838.458,929.808,1019.684,853.208,943.203,1035.062
2027,,,,839.45,931.053,1021.167,854.928,945.046,1037.338
2028,,,,840.44,932.297,1022.655,856.649,946.896,1039.627
2029,,,,841.425,933.541,1024.147,858.37,948.753,1041.929
2030,,,,842.407,934.784,1025.644,860.09,950.617,1044.243
2031,,,,843.384,936.025,1027.143,861.809,952.486,1046.568
2032,,,,844.357,937.265,1028.644,863.526,954.36,1048.902
2033,,,,845.324,938.501,1030.146,865.239,956.238,1051.244
2034,,,,846.285,939.735,1031.649,866.948,958.12,1053.594
2035,,,,847.241,940.965,1033.152,868.652,960.004,1055.949
2036,,,,848.19,942.19,1034.654,870.35,961.891,1058.31
2037,,,,849.132,943.411,1036.154,872.041,963.778,1060.674
2038,,,,850.066,944.627,1037.652,873.724,965.667,1063.041
2039,,,,850.993,945.836,1039.146,875.398,967.555,1065.409
2040,,,,851.912,947.039,1040.637,877.062,969.442,1067.778
2041,,,,852.822,948.236,1042.122,878.716,971.328,1070.146
2042,,,,853.724,949.425,1043.603,880.358,973.211,1072.512
2043,,,,854.615,950.606,1045.077,881.988,975.091,1074.875
2044,,,,855.497,951.778,1046.544,883.605,976.968,1077.234
2045,,,,856.369,952.942,1048.003,885.208,978.84,1079.587
2046,,,,857.23,954.096,1049.453,886.795,980.707,1081.935
2047,,,,858.08,955.239,1050.895,888.366,982.568,1084.274
2048,,,,858.918,956.372,1052.326,889.92,984.423,1086.605
2049,,,,859.744,957.494,1053.746,891.457,986.27,1088.926
2050,,,,860.559,958.605,1055.155,892.975,988.109,1091.236
2051,,,,861.36,959.703,1056.552,894.473,989.94,1093.534
2052,,,,862.148,960.788,1057.935,895.95,991.76,1095.818
2053,,,,862.923,961.86,1059.305,897.406,993.571,1098.089
2054,,,,863.683,962.918,1060.66,898.84,995.371,1100.343
2055,,,,864.429,963.962,1062,900.25,997.159,1102.581
2056,,,,865.16,964.99,1063.323,901.636,998.935,1104.802
2057,,,,865.876,966.004,1064.63,902.997,1000.698,1107.003
2058,,,,866.577,967.001,1065.918,904.332,1002.447,1109.184
2059,,,,867.261,967.982,1067.189,905.64,1004.181,1111.344
2060,,,,867.929,968.946,1068.44,906.92,1005.901,1113.482
2061,,,,868.579,969.892,1069.672,908.172,1007.604,1115.596
2062,,,,869.213,970.82,1070.883,909.393,1009.291,1117.686
2063,,,,869.828,971.73,1072.072,910.585,1010.96,1119.75
2064,,,,870.426,972.62,1073.239,911.744,1012.611,1121.787
2065,,,,871.005,973.491,1074.383,912.872,1014.244,1123.796
2066,,,,871.564,974.341,1075.504,913.966,1015.857,1125.776
2067,,,,872.105,975.171,1076.599,915.026,1017.449,1127.725
2068,,,,872.625,975.979,1077.67,916.051,1019.021,1129.643
2069,,,,873.125,976.766,1078.715,917.039,1020.571,1131.529
2070,,,,873.605,977.53,1079.733,917.991,1022.099,1133.381
2071,,,,874.063,978.271,1080.723,918.905,1023.603,1135.198
2072,,,,874.5,978.988,1081.685,919.781,1025.084,1136.979
2073,,,,874.915,979.682,1082.619,920.616,1026.54,1138.724
2074,,,,875.307,980.351,1083.522,921.411,1027.971,1140.429
2075,,,,875.677,980.995,1084.395,922.165,1029.376,1142.096
2076,,,,876.024,981.614,1085.236,922.877,1030.754,1143.722
2077,,,,876.347,982.206,1086.046,923.545,1032.105,1145.306
2078,,,,876.646,982.772,1086.822,924.169,1033.428,1146.848
2079,,,,876.92,983.311,1087.565,924.747,1034.721,1148.346
2080,,,,877.17,983.822,1088.274,925.28,1035.986,1149.798
2081,,,,877.394,984.304,1088.947,925.766,1037.22,1151.205
2082,,,,877.593,984.758,1089.585,926.204,1038.423,1152.564
2083,,,,877.765,985.183,1090.186,926.594,1039.594,1153.875
2084,,,,877.911,985.578,1090.75,926.933,1040.733,1155.136
2085,,,,878.03,985.942,1091.275,927.223,1041.838,1156.346
2086,,,,878.122,986.275,1091.762,927.461,1042.91,1157.505
2087,,,,878.185,986.577,1092.208,927.646,1043.947,1158.611
2088,,,,878.221,986.847,1092.615,927.778,1044.949,1159.662
2089,,,,878.228,987.085,1092.98,927.856,1045.915,1160.659
2090,,,,878.206,987.289,1093.304,927.879,1046.844,1161.599
2091,,,,878.154,987.46,1093.584,927.846,1047.736,1162.481
2092,,,,878.073,987.596,1093.822,927.757,1048.589,1163.305
2093,,,,877.961,987.698,1094.015,927.609,1049.404,1164.069
2094,,,,877.819,987.765,1094.163,927.403,1050.179,1164.772
2095,,,,877.645,987.796,1094.265,927.137,1050.913,1165.412
2096,,,,877.44,987.791,1094.321,926.81,1051.607,1165.99
2097,,,,877.203,987.749,1094.33,926.423,1052.259,1166.504
2098,,,,876.933,987.67,1094.29,925.972,1052.868,1166.952
2099,,,,876.631,987.553,1094.202,925.459,1053.434,1167.333
2100,,,,876.296,987.397,1094.064,924.882,1053.956,1167.647
