Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-1.756,-2.072,0.038,,-1.019,,,-1.04,
1951,0.11,-2.064,0.034,,-1.025,,,-1.039,
1952,0.476,-2.055,0.032,,-1.029,,,-1.038,
1953,0.67,-2.046,0.03,,-1.033,,,-1.036,
1954,-0.646,-2.035,0.03,,-1.034,,,-1.033,
1955,0.221,-2.024,0.031,,-1.035,,,-1.029,
1956,-1.763,-2.012,0.032,,-1.034,,,-1.024,
1957,-0.882,-1.999,0.035,,-1.032,,,-1.019,
1958,-0.475,-1.986,0.038,,-1.029,,,-1.012,
1959,-1.416,-1.972,0.043,,-1.024,,,-1.005,
1960,-0.514,-1.957,0.049,,-1.018,,,-0.996,
1961,-0.308,-1.941,0.055,,-1.012,,,-0.987,
1962,-1.068,-1.925,0.063,,-1.004,,,-0.977,
1963,-1.108,-1.908,0.071,,-0.994,,,-0.966,
1964,-0.945,-1.891,0.081,,-0.984,,,-0.955,
1965,-2.278,-1.872,0.091,,-0.973,,,-0.942,
1966,-0.237,-1.853,0.103,,-0.96,,,-0.929,
1967,-0.966,-1.836,0.115,,-0.946,,,-0.915,
1968,-0.113,-1.819,0.129,,-0.932,,,-0.9,
1969,-0.211,-1.802,0.143,,-0.916,,,-0.884,
1970,-0.868,-1.784,0.158,,-0.899,,,-0.867,
1971,-0.421,-1.765,0.175,,-0.882,,,-0.85,
1972,-2.303,-1.746,0.192,,-0.863,,,-0.831,
1973,0.761,-1.725,0.213,,-0.843,,,-0.812,
1974,-1.871,-1.704,0.236,,-0.823,,,-0.792,
1975,0.072,-1.682,0.26,,-0.801,,,-0.771,
1976,-1.665,-1.66,0.285,,-0.779,,,-0.75,
1977,0.207,-1.636,0.311,,-0.755,,,-0.727,
1978,-1.717,-1.612,0.337,,-0.731,,,-0.704,
1979,-0.532,-1.587,0.365,,-0.706,,,-0.68,
1980,-1.461,-1.561,0.393,,-0.68,,,-0.655,
1981,0.845,-1.535,0.422,,-0.654,,,-0.629,
1982,-1.172,-1.507,0.451,,-0.626,,,-0.603,
1983,-0.167,-1.48,0.482,,-0.598,,,-0.575,
1984,-0.074,-1.451,0.513,,-0.569,,,-0.547,
1985,-1.3,-1.421,0.545,,-0.539,,,-0.518,
1986,-0.989,-1.391,0.577,,-0.508,,,-0.489,
1987,0.787,-1.361,0.61,,-0.477,,,-0.458,
1988,-0.696,-1.329,0.644,,-0.445,,,-0.427,
1989,-1.857,-1.297,0.678,,-0.413,,,-0.395,
1990,-0.481,-1.264,0.713,,-0.38,,,-0.362,
1991,-0.361,-1.23,0.749,,-0.346,,,-0.329,
1992,-1.816,-1.196,0.785,,-0.311,,,-0.295,
1993,-1.018,-1.161,0.822,,-0.276,,,-0.259,
1994,-0.591,-1.126,0.859,,-0.24,,,-0.224,
1995,-0.191,-1.09,0.897,,-0.204,,,-0.187,
1996,-0.494,-1.053,0.936,,-0.167,,,-0.15,
1997,-0.765,-1.015,0.975,,-0.13,,,-0.111,
1998,1.947,-0.977,1.014,,-0.092,,,-0.073,
1999,1.549,-0.944,1.054,,-0.054,,,-0.033,
2000,0.188,-0.91,1.095,,-0.015,,,0.007,
2001,1.833,-0.876,1.136,,0.024,,,0.049,
2002,-0.216,-0.841,1.177,,0.063,,,0.09,
2003,-0.23,-0.807,1.219,,0.103,,,0.133,
2004,-0.789,-0.772,1.261,,0.144,,,0.176,
2005,1.063,-0.737,1.303,,0.185,,,0.221,
2006,2.152,-0.702,1.346,,0.226,,,0.265,
2007,0.385,,,-0.667,0.267,1.389,-0.607,0.311,1.376
2008,0.496,,,-0.631,0.309,1.433,-0.563,0.357,1.425
2009,0.296,,,-0.596,0.351,1.477,-0.519,0.404,1.476
2010,2.707,,,-0.56,0.394,1.521,-0.474,0.452,1.527
2011,0.896,,,-0.524,0.436,1.566,-0.428,0.5,1.58
2012,1.852,,,-0.488,0.479,1.611,-0.382,0.55,1.633
2013,0.132,,,-0.452,0.523,1.656,-0.335,0.599,1.687
2014,,,,-0.416,0.566,1.701,-0.288,0.65,1.742
2015,,,,-0.38,0.609,1.747,-0.24,0.701,1.797
2016,,,,-0.343,0.653,1.793,-0.192,0.753,1.854
2017,,,,-0.307,0.697,1.839,-0.143,0.806,1.911
2018,,,,-0.271,0.741,1.885,-0.094,0.859,1.969
2019,,,,-0.234,0.785,1.931,-0.044,0.913,2.028
2020,,,,-0.198,0.83,1.978,0.007,0.968,2.088
2021,,,,-0.162,0.874,2.024,0.057,1.024,2.148
2022,,,,-0.125,0.918,2.071,0.109,1.08,2.21
2023,,,,-0.089,0.963,2.118,0.16,1.137,2.272
2024,,,,-0.053,1.007,2.165,0.212,1.194,2.335
2025,,,,-0.016,1.052,2.212,0.265,1.252,2.398
2026,,,,0.02,1.096,2.26,0.318,1.311,2.463
2027,,,,0.056,1.141,2.307,0.371,1.371,2.528
2028,,,,0.092,1.185,2.354,0.425,1.431,2.595
2029,,,,0.128,1.229,2.402,0.48,1.492,2.661
2030,,,,0.164,1.274,2.449,0.534,1.554,2.729
2031,,,,0.2,1.318,2.496,0.59,1.616,2.798
2032,,,,0.235,1.362,2.544,0.645,1.679,2.867
2033,,,,0.271,1.406,2.591,0.701,1.742,2.937
2034,,,,0.306,1.45,2.638,0.757,1.806,3.008
2035,,,,0.341,1.493,2.685,0.814,1.871,3.08
2036,,,,0.376,1.537,2.732,0.871,1.937,3.152
2037,,,,0.411,1.58,2.779,0.929,2.003,3.225
2038,,,,0.446,1.623,2.826,0.987,2.07,3.299
2039,,,,0.48,1.665,2.873,1.045,2.137,3.374
2040,,,,0.514,1.708,2.919,1.103,2.205,3.449
2041,,,,0.548,1.75,2.966,1.162,2.274,3.525
2042,,,,0.582,1.792,3.012,1.222,2.343,3.602
2043,,,,0.615,1.833,3.058,1.281,2.413,3.68
2044,,,,0.649,1.875,3.104,1.341,2.484,3.759
