Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,0.339,-0.534,1.371,,0.368,,,0.394,
1951,0.901,-0.527,1.366,,0.367,,,0.395,
1952,1.71,-0.52,1.363,,0.368,,,0.396,
1953,1.997,-0.511,1.36,,0.37,,,0.399,
1954,0.805,-0.502,1.358,,0.373,,,0.402,
1955,1.283,-0.492,1.358,,0.378,,,0.406,
1956,0.19,-0.481,1.358,,0.383,,,0.411,
1957,0.776,-0.47,1.359,,0.389,,,0.416,
1958,1.091,-0.457,1.362,,0.397,,,0.423,
1959,0.823,-0.444,1.365,,0.405,,,0.43,
1960,1.555,-0.43,1.369,,0.414,,,0.438,
1961,1.685,-0.415,1.374,,0.425,,,0.447,
1962,0.684,-0.399,1.38,,0.436,,,0.457,
1963,0.643,-0.383,1.387,,0.449,,,0.467,
1964,0.569,-0.365,1.396,,0.462,,,0.479,
1965,0.152,-0.347,1.405,,0.476,,,0.491,
1966,2.182,-0.329,1.415,,0.492,,,0.504,
1967,0.607,-0.309,1.425,,0.508,,,0.517,
1968,1.04,-0.289,1.437,,0.525,,,0.532,
1969,1.614,-0.269,1.45,,0.543,,,0.547,
1970,0.625,-0.247,1.464,,0.561,,,0.563,
1971,0.715,-0.225,1.478,,0.581,,,0.58,
1972,-0.983,-0.203,1.494,,0.601,,,0.598,
1973,1.629,-0.179,1.511,,0.623,,,0.617,
1974,-0.255,-0.155,1.529,,0.645,,,0.636,
1975,1.083,-0.131,1.55,,0.668,,,0.656,
1976,-0.031,-0.106,1.571,,0.691,,,0.677,
1977,1.302,-0.08,1.593,,0.715,,,0.698,
1978,0.327,-0.054,1.616,,0.741,,,0.721,
1979,2.019,-0.027,1.64,,0.766,,,0.744,
1980,0.214,0,1.665,,0.793,,,0.768,
1981,2.176,0.027,1.69,,0.82,,,0.792,
1982,0.241,0.056,1.716,,0.848,,,0.818,
1983,1.769,0.085,1.744,,0.876,,,0.844,
1984,0.979,0.114,1.772,,0.905,,,0.871,
1985,0.255,0.144,1.8,,0.935,,,0.899,
1986,0.16,0.174,1.83,,0.966,,,0.927,
1987,1.769,0.204,1.86,,0.997,,,0.956,
1988,0.993,0.235,1.891,,1.028,,,0.986,
1989,0.239,0.266,1.923,,1.06,,,1.017,
1990,1.205,0.298,1.955,,1.093,,,1.048,
1991,0.961,0.33,1.988,,1.126,,,1.081,
1992,0.018,0.363,2.022,,1.16,,,1.114,
1993,0.222,0.395,2.056,,1.194,,,1.147,
1994,0.775,0.429,2.091,,1.229,,,1.182,
1995,1.446,0.462,2.127,,1.264,,,1.217,
1996,1.389,0.496,2.163,,1.299,,,1.253,
1997,0.482,0.53,2.2,,1.335,,,1.289,
1998,2.75,0.564,2.237,,1.372,,,1.326,
1999,3.132,0.599,2.275,,1.409,,,1.364,
2000,1.551,0.634,2.313,,1.446,,,1.403,
2001,2.762,0.669,2.352,,1.484,,,1.442,
2002,1.236,0.704,2.391,,1.521,,,1.483,
2003,1.153,0.739,2.431,,1.56,,,1.523,
2004,0.84,0.775,2.471,,1.598,,,1.565,
2005,2.026,0.811,2.512,,1.637,,,1.607,
2006,2.9,0.847,2.558,,1.677,,,1.65,
2007,1.324,,,0.883,1.716,2.594,0.945,1.694,2.604
2008,1.778,,,0.919,1.756,2.636,0.987,1.738,2.651
2009,1.605,,,0.956,1.796,2.678,1.03,1.783,2.699
2010,3.991,,,0.992,1.836,2.721,1.073,1.829,2.748
2011,2.113,,,1.029,1.877,2.764,1.117,1.875,2.798
2012,2.962,,,1.066,1.917,2.807,1.161,1.923,2.848
2013,1.785,,,1.102,1.958,2.85,1.206,1.97,2.9
2014,,,,1.139,1.999,2.894,1.251,2.019,2.952
2015,,,,1.176,2.04,2.938,1.297,2.068,3.004
2016,,,,1.213,2.082,2.982,1.343,2.118,3.058
2017,,,,1.25,2.123,3.027,1.39,2.168,3.113
2018,,,,1.287,2.165,3.072,1.437,2.219,3.168
2019,,,,1.324,2.206,3.116,1.484,2.271,3.224
2020,,,,1.36,2.248,3.161,1.532,2.324,3.281
2021,,,,1.397,2.29,3.207,1.58,2.377,3.338
2022,,,,1.434,2.332,3.252,1.629,2.431,3.397
2023,,,,1.471,2.373,3.297,1.678,2.485,3.456
2024,,,,1.507,2.415,3.343,1.728,2.54,3.516
2025,,,,1.544,2.457,3.389,1.778,2.596,3.577
2026,,,,1.58,2.499,3.434,1.828,2.653,3.638
2027,,,,1.616,2.541,3.48,1.879,2.71,3.7
2028,,,,1.652,2.582,3.526,1.93,2.767,3.763
2029,,,,1.688,2.624,3.572,1.982,2.826,3.827
2030,,,,1.724,2.666,3.618,2.034,2.885,3.892
2031,,,,1.76,2.707,3.663,2.087,2.944,3.957
2032,,,,1.795,2.749,3.709,2.139,3.005,4.023
2033,,,,1.83,2.79,3.755,2.193,3.066,4.09
2034,,,,1.865,2.831,3.801,2.246,3.127,4.157
2035,,,,1.9,2.872,3.846,2.3,3.189,4.226
2036,,,,1.935,2.913,3.892,2.354,3.252,4.295
2037,,,,1.969,2.953,3.937,2.409,3.316,4.365
2038,,,,2.003,2.993,3.982,2.464,3.38,4.435
2039,,,,2.037,3.034,4.027,2.519,3.444,4.506
2040,,,,2.07,3.073,4.072,2.575,3.51,4.578
2041,,,,2.103,3.113,4.117,2.631,3.575,4.651
2042,,,,2.136,3.152,4.162,2.687,3.642,4.724
2043,,,,2.168,3.192,4.206,2.744,3.709,4.799
2044,,,,2.2,3.23,4.25,2.801,3.777,4.873
2045,,,,2.232,3.269,4.294,2.859,3.845,4.949
2046,,,,2.263,3.307,4.337,2.916,3.914,5.025
2047,,,,2.294,3.345,4.381,2.974,3.983,5.102
2048,,,,2.324,3.382,4.424,3.033,4.054,5.18
2049,,,,2.354,3.419,4.466,3.091,4.124,5.258
2050,,,,2.384,3.456,4.508,3.15,4.196,5.337
2051,,,,2.413,3.492,4.55,3.21,4.267,5.417
2052,,,,2.441,3.528,4.592,3.269,4.34,5.498
2053,,,,2.469,3.563,4.633,3.329,4.413,5.579
2054,,,,2.497,3.598,4.674,3.389,4.487,5.661
2055,,,,2.524,3.632,4.714,3.45,4.561,5.743
2056,,,,2.551,3.666,4.754,3.51,4.636,5.826
2057,,,,2.577,3.699,4.793,3.571,4.711,5.91
2058,,,,2.602,3.732,4.832,3.633,4.787,5.995
2059,,,,2.627,3.765,4.871,3.694,4.863,6.08
2060,,,,2.652,3.796,4.909,3.756,4.94,6.166
2061,,,,2.675,3.828,4.946,3.818,5.018,6.253
2062,,,,2.698,3.858,4.983,3.88,5.096,6.34
2063,,,,2.721,3.888,5.019,3.943,5.175,6.428
2064,,,,2.743,3.918,5.055,4.005,5.254,6.516
2065,,,,2.764,3.946,5.09,4.068,5.334,6.606
2066,,,,2.785,3.975,5.125,4.132,5.414,6.696
2067,,,,2.804,4.002,5.159,4.195,5.495,6.786
2068,,,,2.824,4.029,5.192,4.259,5.577,6.877
2069,,,,2.842,4.055,5.224,4.323,5.659,6.969
2070,,,,2.86,4.08,5.256,4.387,5.741,7.061
2071,,,,2.877,4.105,5.287,4.451,5.824,7.155
2072,,,,2.893,4.129,5.318,4.516,5.908,7.248
2073,,,,2.909,4.152,5.348,4.58,5.992,7.343
2074,,,,2.923,4.174,5.377,4.645,6.077,7.438
2075,,,,2.937,4.196,5.405,4.711,6.162,7.533
2076,,,,2.95,4.217,5.432,4.776,6.248,7.629
2077,,,,2.963,4.237,5.459,4.841,6.334,7.726
2078,,,,2.974,4.256,5.485,4.907,6.421,7.824
2079,,,,2.985,4.274,5.51,4.973,6.508,7.922
2080,,,,2.995,4.291,5.534,5.039,6.596,8.02
2081,,,,3.004,4.308,5.557,5.105,6.684,8.12
2082,,,,3.012,4.323,5.579,5.172,6.773,8.219
2083,,,,3.019,4.338,5.601,5.238,6.862,8.32
2084,,,,3.025,4.352,5.621,5.305,6.952,8.421
2085,,,,3.03,4.365,5.641,5.372,7.042,8.523
2086,,,,3.035,4.376,5.659,5.439,7.133,8.625
2087,,,,3.038,4.387,5.677,5.506,7.224,8.728
2088,,,,3.04,4.397,5.694,5.573,7.316,8.831
2089,,,,3.042,4.406,5.709,5.641,7.408,8.935
2090,,,,3.042,4.414,5.724,5.708,7.501,9.04
2091,,,,3.042,4.421,5.737,5.776,7.594,9.145
