Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1119.453,883.455,1151.093,,1025.727,,,1028.774,
1951,1051.953,883.699,1148.718,,1024.573,,,1027.302,
1952,1008.686,883.963,1146.46,,1023.481,,,1025.906,
1953,968.784,884.247,1144.319,,1022.449,,,1024.582,
1954,1205.616,884.549,1142.292,,1021.478,,,1023.332,
1955,951.645,884.87,1140.379,,1020.565,,,1022.153,
1956,908.451,885.21,1138.578,,1019.71,,,1021.045,
1957,1002.837,885.568,1136.888,,1018.914,,,1020.008,
1958,1043.972,885.944,1135.306,,1018.173,,,1019.04,
1959,943.876,886.338,1133.833,,1017.49,,,1018.141,
1960,990.05,886.727,1132.466,,1016.861,,,1017.31,
1961,825.224,886.653,1131.204,,1016.287,,,1016.546,
1962,894.885,886.632,1130.309,,1015.767,,,1015.848,
1963,965.48,886.663,1129.628,,1015.3,,,1015.215,
1964,983.974,886.745,1129.026,,1014.886,,,1014.648,
1965,832.077,886.877,1128.5,,1014.523,,,1014.144,
1966,1066.213,887.059,1128.05,,1014.211,,,1013.703,
1967,924.678,887.29,1127.675,,1013.949,,,1013.325,
1968,877.163,887.569,1127.372,,1013.737,,,1013.008,
1969,1045.191,887.896,1127.143,,1013.573,,,1012.752,
1970,945.429,888.268,1126.984,,1013.458,,,1012.556,
1971,1005.617,888.687,1126.894,,1013.389,,,1012.418,
1972,975.69,889.151,1126.874,,1013.367,,,1012.339,
1973,1132.061,889.659,1126.921,,1013.391,,,1012.318,
1974,974.538,890.21,1127.034,,1013.46,,,1012.353,
1975,866.796,890.804,1127.212,,1013.573,,,1012.444,
1976,1160.327,891.44,1127.455,,1013.729,,,1012.59,
1977,956.288,892.117,1127.76,,1013.928,,,1012.79,
1978,935.293,892.834,1128.126,,1014.169,,,1013.044,
1979,1094.418,893.591,1128.553,,1014.452,,,1013.35,
1980,1074.63,894.387,1129.039,,1014.775,,,1013.708,
1981,1112.495,895.22,1129.583,,1015.137,,,1014.118,
1982,1033.224,896.091,1130.184,,1015.539,,,1014.577,
1983,1214.487,896.998,1130.841,,1015.979,,,1015.086,
1984,878.147,897.941,1131.552,,1016.457,,,1015.644,
1985,962.433,898.919,1132.317,,1016.971,,,1016.249,
1986,1068.448,899.931,1133.133,,1017.522,,,1016.901,
1987,866.514,900.976,1134.001,,1018.107,,,1017.6,
1988,1129.605,902.054,1134.918,,1018.728,,,1018.344,
1989,887.221,903.163,1135.884,,1019.382,,,1019.133,
1990,1017.122,904.304,1136.898,,1020.069,,,1019.965,
1991,929.602,905.475,1137.957,,1020.789,,,1020.841,
1992,1129.396,906.675,1139.062,,1021.54,,,1021.758,
1993,1076.106,907.904,1140.211,,1022.322,,,1022.718,
1994,1125.062,909.16,1141.402,,1023.134,,,1023.717,
1995,1188.161,910.03,1142.635,,1023.976,,,1024.757,
1996,1240.823,910.889,1143.908,,1024.846,,,1025.835,
1997,1026.36,911.757,1145.221,,1025.744,,,1026.952,
1998,1094.325,912.631,1146.571,,1026.67,,,1028.106,
1999,1018.759,913.512,1147.958,,1027.621,,,1029.297,
2000,1034.449,914.4,1149.381,,1028.599,,,1030.523,
2001,950.099,915.294,1150.839,,1029.601,,,1031.784,
2002,724.512,916.195,1152.585,,1030.627,,,1033.08,
2003,1080.622,917.101,1154.468,,1031.677,,,1034.409,
2004,906.978,918.013,1156.396,,1032.75,,,1035.77,
2005,967.781,918.931,1158.367,,1033.845,,,1037.164,
2006,1020.206,919.853,1160.38,,1034.96,,,1038.588,
2007,964.098,,,920.78,1036.097,1160.241,927.682,1040.042,1162.433
2008,1102.306,,,921.712,1037.253,1161.906,929.247,1041.526,1164.526
2009,932.099,,,922.648,1038.428,1163.597,930.829,1043.038,1166.656
2010,929.325,,,923.588,1039.621,1165.312,932.426,1044.578,1168.823
2011,1013.728,,,924.532,1040.832,1167.049,934.038,1046.145,1171.024
2012,946.874,,,925.479,1042.059,1168.808,935.664,1047.739,1173.259
2013,976.035,,,926.43,1043.302,1170.587,937.303,1049.357,1175.526
2014,,,,927.383,1044.561,1172.385,938.954,1051,1177.824
2015,,,,928.339,1045.835,1174.202,940.617,1052.667,1180.152
2016,,,,929.297,1047.122,1176.035,942.29,1054.356,1182.507
2017,,,,930.258,1048.422,1177.884,943.974,1056.068,1184.888
2018,,,,931.22,1049.734,1179.747,945.667,1057.801,1187.295
2019,,,,932.184,1051.058,1181.623,947.368,1059.555,1189.725
2020,,,,933.149,1052.393,1183.512,949.077,1061.328,1192.178
2021,,,,934.115,1053.738,1185.411,950.792,1063.121,1194.652
2022,,,,935.082,1055.092,1187.32,952.514,1064.931,1197.145
2023,,,,936.05,1056.455,1189.238,954.241,1066.759,1199.656
2024,,,,937.017,1057.826,1191.163,955.973,1068.603,1202.184
2025,,,,937.985,1059.203,1193.094,957.709,1070.463,1204.727
2026,,,,938.952,1060.587,1195.031,959.447,1072.338,1207.284
2027,,,,939.919,1061.977,1196.971,961.188,1074.227,1209.853
2028,,,,940.885,1063.372,1198.914,962.93,1076.129,1212.434
2029,,,,941.85,1064.771,1200.858,964.673,1078.044,1215.024
2030,,,,942.814,1066.173,1202.803,966.416,1079.97,1217.623
2031,,,,943.775,1067.577,1204.747,968.158,1081.907,1220.228
2032,,,,944.735,1068.984,1206.689,969.898,1083.855,1222.839
2033,,,,945.693,1070.392,1208.627,971.636,1085.812,1225.454
2034,,,,946.648,1071.8,1210.561,973.371,1087.777,1228.072
2035,,,,947.601,1073.208,1212.49,975.101,1089.75,1230.691
2036,,,,948.55,1074.615,1214.412,976.827,1091.729,1233.309
2037,,,,949.497,1076.02,1216.326,978.548,1093.715,1235.927
