Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,2.557,1.276,3.427,,2.266,,,2.257,
1951,3.119,1.278,3.413,,2.261,,,2.257,
1952,3.547,1.282,3.401,,2.258,,,2.258,
1953,4.347,1.286,3.395,,2.256,,,2.26,
1954,2.537,1.291,3.39,,2.256,,,2.262,
1955,3.083,1.297,3.386,,2.257,,,2.266,
1956,1.921,1.304,3.383,,2.258,,,2.27,
1957,2.849,1.313,3.381,,2.262,,,2.275,
1958,2.117,1.322,3.38,,2.266,,,2.282,
1959,2.525,1.332,3.38,,2.272,,,2.289,
1960,3.279,1.343,3.382,,2.278,,,2.296,
1961,3.347,1.355,3.384,,2.286,,,2.305,
1962,2.391,1.368,3.387,,2.296,,,2.315,
1963,2.293,1.381,3.391,,2.306,,,2.325,
1964,3.048,1.393,3.397,,2.317,,,2.336,
1965,2.131,1.404,3.403,,2.33,,,2.348,
1966,3.235,1.417,3.41,,2.343,,,2.361,
1967,2.133,1.43,3.419,,2.358,,,2.375,
1968,2.568,1.444,3.428,,2.373,,,2.39,
1969,3.128,1.459,3.438,,2.39,,,2.405,
1970,2.306,1.475,3.45,,2.407,,,2.421,
1971,2.432,1.492,3.462,,2.426,,,2.438,
1972,1.376,1.51,3.475,,2.445,,,2.456,
1973,3.81,1.529,3.489,,2.466,,,2.475,
1974,2.184,1.549,3.505,,2.487,,,2.494,
1975,3.076,1.57,3.521,,2.509,,,2.515,
1976,1.528,1.592,3.538,,2.533,,,2.536,
1977,2.79,1.614,3.556,,2.557,,,2.558,
1978,1.795,1.638,3.575,,2.582,,,2.58,
1979,3.281,1.662,3.595,,2.607,,,2.604,
1980,1.863,1.688,3.616,,2.634,,,2.628,
1981,3.441,1.714,3.638,,2.661,,,2.653,
1982,2.304,1.741,3.661,,2.689,,,2.679,
1983,3.374,1.769,3.686,,2.718,,,2.706,
1984,3.203,1.797,3.714,,2.747,,,2.733,
1985,2.172,1.827,3.742,,2.778,,,2.761,
1986,2.519,1.857,3.771,,2.809,,,2.79,
1987,3.634,1.888,3.801,,2.84,,,2.82,
1988,2.916,1.92,3.832,,2.873,,,2.85,
1989,1.719,1.953,3.864,,2.906,,,2.881,
1990,3.597,1.986,3.897,,2.939,,,2.913,
1991,3.388,2.02,3.93,,2.973,,,2.946,
1992,1.95,2.055,3.964,,3.008,,,2.979,
1993,2.288,2.091,3.999,,3.043,,,3.013,
1994,2.521,2.127,4.035,,3.079,,,3.048,
1995,3.264,2.165,4.071,,3.116,,,3.084,
1996,2.875,2.202,4.108,,3.153,,,3.12,
1997,2.162,2.241,4.146,,3.19,,,3.157,
1998,4.898,2.28,4.184,,3.228,,,3.195,
1999,4.261,2.32,4.223,,3.266,,,3.233,
2000,2.979,2.36,4.263,,3.305,,,3.273,
2001,4.349,2.402,4.303,,3.344,,,3.312,
2002,3.976,2.439,4.343,,3.384,,,3.353,
2003,2.869,2.475,4.385,,3.424,,,3.394,
2004,2.63,2.511,4.426,,3.464,,,3.436,
2005,3.997,2.548,4.468,,3.505,,,3.479,
2006,4.821,2.585,4.511,,3.546,,,3.522,
2007,3.251,,,2.622,3.587,4.554,2.662,3.566,4.529
2008,3.386,,,2.66,3.629,4.598,2.707,3.611,4.575
2009,3.228,,,2.697,3.67,4.641,2.753,3.657,4.622
2010,5.381,,,2.735,3.713,4.686,2.8,3.703,4.67
2011,4.371,,,2.773,3.755,4.73,2.847,3.749,4.718
2012,4.826,,,2.811,3.797,4.775,2.894,3.797,4.768
2013,3.578,,,2.849,3.84,4.821,2.943,3.845,4.818
2014,,,,2.887,3.883,4.866,2.991,3.894,4.869
2015,,,,2.925,3.926,4.912,3.041,3.943,4.921
2016,,,,2.964,3.969,4.958,3.09,3.993,4.973
2017,,,,3.002,4.013,5.005,3.14,4.044,5.027
2018,,,,3.041,4.056,5.051,3.191,4.095,5.081
2019,,,,3.079,4.1,5.098,3.242,4.147,5.136
2020,,,,3.117,4.143,5.145,3.294,4.2,5.192
2021,,,,3.156,4.187,5.192,3.346,4.253,5.248
2022,,,,3.194,4.231,5.239,3.398,4.307,5.306
2023,,,,3.233,4.274,5.287,3.451,4.362,5.364
2024,,,,3.271,4.318,5.334,3.504,4.417,5.423
2025,,,,3.309,4.361,5.382,3.558,4.472,5.482
2026,,,,3.347,4.405,5.429,3.612,4.529,5.543
2027,,,,3.385,4.449,5.477,3.667,4.586,5.604
2028,,,,3.423,4.492,5.524,3.721,4.643,5.666
2029,,,,3.461,4.535,5.572,3.777,4.702,5.729
2030,,,,3.499,4.579,5.62,3.832,4.76,5.792
2031,,,,3.536,4.622,5.667,3.888,4.82,5.856
2032,,,,3.573,4.664,5.715,3.944,4.88,5.921
2033,,,,3.61,4.707,5.762,4.001,4.94,5.987
2034,,,,3.647,4.75,5.809,4.058,5.001,6.053
2035,,,,3.684,4.792,5.856,4.115,5.063,6.121
2036,,,,3.72,4.834,5.903,4.172,5.125,6.188
2037,,,,3.756,4.876,5.95,4.23,5.188,6.257
2038,,,,3.792,4.917,5.996,4.288,5.252,6.326
2039,,,,3.828,4.959,6.042,4.346,5.316,6.396
2040,,,,3.863,5,6.088,4.405,5.38,6.467
2041,,,,3.898,5.04,6.134,4.463,5.446,6.539
2042,,,,3.932,5.081,6.18,4.522,5.511,6.611
2043,,,,3.967,5.121,6.225,4.581,5.577,6.684
2044,,,,4,5.16,6.27,4.641,5.644,6.757
2045,,,,4.034,5.199,6.314,4.7,5.712,6.831
2046,,,,4.067,5.238,6.358,4.76,5.779,6.906
2047,,,,4.1,5.276,6.402,4.82,5.848,6.982
2048,,,,4.132,5.314,6.445,4.88,5.917,7.058
2049,,,,4.164,5.351,6.488,4.94,5.986,7.135
2050,,,,4.195,5.388,6.53,5,6.056,7.213
2051,,,,4.226,5.425,6.572,5.061,6.127,7.291
2052,,,,4.256,5.46,6.614,5.121,6.198,7.37
2053,,,,4.286,5.496,6.655,5.182,6.269,7.449
2054,,,,4.316,5.53,6.695,5.243,6.341,7.529
2055,,,,4.344,5.564,6.735,5.304,6.414,7.61
2056,,,,4.373,5.598,6.774,5.365,6.487,7.692
2057,,,,4.4,5.631,6.813,5.426,6.561,7.774
2058,,,,4.427,5.663,6.851,5.487,6.635,7.857
2059,,,,4.454,5.695,6.888,5.548,6.709,7.94
2060,,,,4.48,5.725,6.925,5.609,6.784,8.024
2061,,,,4.505,5.756,6.96,5.67,6.86,8.109
2062,,,,4.53,5.785,6.996,5.732,6.936,8.194
2063,,,,4.554,5.814,7.03,5.793,7.012,8.28
2064,,,,4.577,5.842,7.064,5.854,7.089,8.367
2065,,,,4.6,5.869,7.097,5.915,7.167,8.454
2066,,,,4.621,5.895,7.129,5.977,7.245,8.541
2067,,,,4.643,5.921,7.161,6.038,7.323,8.63
2068,,,,4.663,5.946,7.191,6.099,7.402,8.719
2069,,,,4.683,5.97,7.221,6.16,7.481,8.808
2070,,,,4.702,5.993,7.25,6.221,7.561,8.898
2071,,,,4.72,6.015,7.278,6.282,7.641,8.989
2072,,,,4.737,6.036,7.305,6.343,7.721,9.08
2073,,,,4.754,6.056,7.331,6.403,7.802,9.172
2074,,,,4.769,6.076,7.356,6.464,7.884,9.264
2075,,,,4.784,6.094,7.38,6.524,7.966,9.357
2076,,,,4.798,6.112,7.403,6.585,8.048,9.451
2077,,,,4.811,6.128,7.425,6.645,8.131,9.545
2078,,,,4.823,6.144,7.446,6.705,8.214,9.64
2079,,,,4.835,6.158,7.466,6.765,8.298,9.735
2080,,,,4.845,6.171,7.485,6.825,8.382,9.831
2081,,,,4.855,6.184,7.503,6.884,8.466,9.927
2082,,,,4.863,6.195,7.52,6.944,8.551,10.024
2083,,,,4.871,6.205,7.535,7.003,8.636,10.121
2084,,,,4.877,6.214,7.549,7.062,8.722,10.219
2085,,,,4.883,6.222,7.563,7.12,8.808,10.317
2086,,,,4.887,6.228,7.574,7.179,8.894,10.416
2087,,,,4.891,6.234,7.585,7.237,8.981,10.516
2088,,,,4.893,6.238,7.595,7.295,9.068,10.616
2089,,,,4.895,6.241,7.603,7.353,9.156,10.716
2090,,,,4.895,6.243,7.61,7.41,9.244,10.817
2091,,,,4.894,6.244,7.615,7.468,9.332,10.919
2092,,,,4.892,6.243,7.619,7.524,9.421,11.021
2093,,,,4.889,6.241,7.622,7.581,9.51,11.123
2094,,,,4.885,6.238,7.624,7.637,9.599,11.226
2095,,,,4.88,6.233,7.624,7.693,9.689,11.329
2096,,,,4.873,6.227,7.622,7.749,9.779,11.433
2097,,,,4.866,6.219,7.619,7.804,9.87,11.538
2098,,,,4.857,6.211,7.615,7.859,9.96,11.643
2099,,,,4.847,6.201,7.609,7.913,10.052,11.748
2100,,,,4.835,6.189,7.602,7.967,10.143,11.854
