Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1008.475,886.659,1123.542,,1013.609,,,1018.23,
1951,1121.234,886.394,1122.289,,1013.103,,,1017.314,
1952,1147.945,886.167,1121.128,,1012.641,,,1016.454,
1953,896.918,885.978,1120.058,,1012.224,,,1015.648,
1954,1253.348,885.825,1119.077,,1011.849,,,1014.896,
1955,966.553,885.709,1118.185,,1011.518,,,1014.197,
1956,949.516,885.628,1117.708,,1011.228,,,1013.551,
1957,1042.958,885.582,1117.363,,1010.98,,,1012.958,
1958,1075.42,885.571,1117.071,,1010.774,,,1012.416,
1959,1047.528,885.594,1116.832,,1010.607,,,1011.925,
1960,1003.991,885.651,1116.645,,1010.48,,,1011.485,
1961,890.449,885.741,1116.509,,1010.393,,,1011.095,
1962,930.772,885.863,1116.424,,1010.344,,,1010.754,
1963,908.807,886.017,1116.388,,1010.333,,,1010.462,
1964,877.403,885.97,1116.401,,1010.359,,,1010.219,
1965,1036.625,885.922,1116.462,,1010.422,,,1010.023,
1966,967.038,885.927,1116.571,,1010.521,,,1009.874,
1967,1107.701,885.984,1116.726,,1010.656,,,1009.772,
1968,903.169,886.092,1116.927,,1010.825,,,1009.716,
1969,985.166,886.25,1117.172,,1011.029,,,1009.705,
1970,957.385,886.458,1117.462,,1011.267,,,1009.74,
1971,1004.432,886.714,1117.796,,1011.538,,,1009.818,
1972,1244.95,887.018,1118.172,,1011.842,,,1009.94,
1973,1071.504,887.369,1118.59,,1012.177,,,1010.106,
1974,1046.716,887.766,1119.049,,1012.544,,,1010.314,
1975,961.944,888.208,1119.549,,1012.941,,,1010.564,
1976,1131.641,888.694,1120.088,,1013.369,,,1010.855,
1977,996.361,889.224,1120.666,,1013.826,,,1011.187,
1978,952.689,889.797,1121.282,,1014.312,,,1011.56,
1979,1070.537,890.411,1121.935,,1014.826,,,1011.972,
1980,955.141,891.067,1122.625,,1015.368,,,1012.424,
1981,1112.699,891.762,1123.35,,1015.938,,,1012.914,
1982,883.217,892.497,1124.11,,1016.533,,,1013.442,
1983,1139.724,893.27,1124.905,,1017.155,,,1014.008,
1984,963.926,894.08,1125.733,,1017.802,,,1014.61,
1985,942.681,894.927,1126.594,,1018.474,,,1015.249,
1986,1065.241,895.811,1127.838,,1019.169,,,1015.924,
1987,944.03,896.729,1129.145,,1019.889,,,1016.634,
1988,1025.743,897.681,1130.501,,1020.631,,,1017.378,
1989,1003.467,898.667,1131.905,,1021.396,,,1018.157,
1990,1053.924,899.685,1133.356,,1022.182,,,1018.969,
1991,977.084,900.734,1134.853,,1022.989,,,1019.814,
1992,992.535,901.815,1136.394,,1023.817,,,1020.691,
1993,1086.354,902.796,1137.978,,1024.665,,,1021.6,
1994,1023.186,903.672,1139.605,,1025.532,,,1022.54,
1995,1007.577,904.562,1141.272,,1026.418,,,1023.511,
1996,1177.678,905.466,1142.979,,1027.322,,,1024.512,
1997,950.62,906.383,1144.725,,1028.243,,,1025.542,
1998,940.668,907.314,1146.508,,1029.181,,,1026.601,
1999,1067.88,908.257,1148.328,,1030.136,,,1027.689,
