Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,2.612,1.343,3.573,,2.353,,,2.339,
1951,3.206,1.346,3.558,,2.349,,,2.339,
1952,3.79,1.35,3.545,,2.346,,,2.34,
1953,4.514,1.355,3.536,,2.344,,,2.342,
1954,2.706,1.361,3.532,,2.344,,,2.345,
1955,3.37,1.368,3.528,,2.345,,,2.349,
1956,2.129,1.376,3.525,,2.347,,,2.353,
1957,3.047,1.385,3.524,,2.35,,,2.359,
1958,2.407,1.394,3.523,,2.355,,,2.365,
1959,2.868,1.405,3.523,,2.361,,,2.372,
1960,3.481,1.417,3.525,,2.368,,,2.38,
1961,3.524,1.429,3.527,,2.376,,,2.389,
1962,2.646,1.442,3.53,,2.385,,,2.399,
1963,2.314,1.457,3.535,,2.396,,,2.41,
1964,3.237,1.468,3.54,,2.407,,,2.421,
1965,2.187,1.479,3.547,,2.42,,,2.434,
1966,3.233,1.491,3.554,,2.434,,,2.447,
1967,2.263,1.504,3.562,,2.448,,,2.461,
1968,2.753,1.518,3.571,,2.464,,,2.476,
1969,3.173,1.534,3.582,,2.481,,,2.492,
1970,2.339,1.55,3.593,,2.499,,,2.508,
1971,2.608,1.567,3.605,,2.518,,,2.525,
1972,1.523,1.585,3.618,,2.537,,,2.544,
1973,3.933,1.604,3.632,,2.558,,,2.563,
1974,2.196,1.624,3.647,,2.58,,,2.582,
1975,3.191,1.645,3.663,,2.602,,,2.603,
1976,1.607,1.666,3.68,,2.626,,,2.624,
1977,2.963,1.689,3.698,,2.65,,,2.646,
1978,1.767,1.713,3.717,,2.675,,,2.669,
1979,3.141,1.737,3.737,,2.701,,,2.693,
1980,1.792,1.763,3.758,,2.728,,,2.718,
1981,3.386,1.789,3.779,,2.755,,,2.743,
1982,2.337,1.816,3.802,,2.783,,,2.769,
1983,3.446,1.844,3.825,,2.812,,,2.796,
1984,3.267,1.873,3.851,,2.842,,,2.824,
1985,2.283,1.902,3.879,,2.873,,,2.852,
1986,2.801,1.933,3.908,,2.904,,,2.881,
1987,3.807,1.964,3.938,,2.936,,,2.911,
1988,3.058,1.996,3.968,,2.968,,,2.942,
1989,1.772,2.029,4,,3.001,,,2.974,
1990,3.816,2.062,4.032,,3.035,,,3.006,
1991,3.613,2.097,4.065,,3.07,,,3.039,
1992,2.005,2.132,4.099,,3.105,,,3.072,
1993,2.416,2.168,4.133,,3.14,,,3.107,
1994,2.565,2.204,4.168,,3.176,,,3.142,
1995,3.283,2.242,4.204,,3.213,,,3.178,
1996,2.941,2.28,4.241,,3.25,,,3.215,
1997,2.228,2.318,4.278,,3.287,,,3.252,
1998,5.219,2.358,4.316,,3.326,,,3.29,
1999,4.416,2.398,4.354,,3.364,,,3.329,
2000,3.165,2.439,4.393,,3.403,,,3.368,
2001,4.537,2.475,4.433,,3.442,,,3.408,
2002,4.15,2.511,4.473,,3.482,,,3.449,
2003,3.037,2.547,4.514,,3.522,,,3.491,
2004,2.848,2.583,4.555,,3.563,,,3.533,
2005,4.312,2.62,4.597,,3.604,,,3.576,
2006,5.076,2.656,4.639,,3.645,,,3.62,
2007,3.61,,,2.693,3.686,4.681,2.742,3.664,4.657
2008,3.672,,,2.73,3.728,4.724,2.787,3.709,4.702
2009,3.427,,,2.767,3.77,4.768,2.834,3.755,4.749
2010,5.555,,,2.804,3.812,4.812,2.881,3.801,4.796
2011,4.633,,,2.842,3.855,4.856,2.928,3.848,4.844
2012,5.106,,,2.88,3.897,4.9,2.976,3.896,4.892
2013,3.698,,,2.917,3.94,4.945,3.024,3.944,4.942
2014,,,,2.955,3.983,4.99,3.073,3.993,4.992
2015,,,,2.993,4.026,5.036,3.123,4.043,5.044
2016,,,,3.031,4.07,5.081,3.173,4.093,5.095
2017,,,,3.069,4.113,5.127,3.223,4.144,5.148
2018,,,,3.107,4.157,5.174,3.274,4.196,5.202
2019,,,,3.145,4.2,5.22,3.326,4.248,5.256
2020,,,,3.183,4.244,5.266,3.378,4.301,5.311
2021,,,,3.221,4.288,5.313,3.43,4.354,5.367
2022,,,,3.259,4.331,5.36,3.483,4.408,5.424
2023,,,,3.297,4.375,5.407,3.536,4.463,5.482
2024,,,,3.335,4.419,5.454,3.589,4.518,5.54
2025,,,,3.373,4.462,5.501,3.643,4.574,5.599
2026,,,,3.411,4.506,5.548,3.698,4.631,5.659
2027,,,,3.449,4.549,5.595,3.753,4.688,5.719
2028,,,,3.486,4.593,5.642,3.808,4.746,5.781
2029,,,,3.524,4.636,5.69,3.863,4.804,5.843
2030,,,,3.561,4.679,5.737,3.919,4.863,5.906
2031,,,,3.599,4.722,5.784,3.975,4.923,5.969
2032,,,,3.636,4.765,5.831,4.032,4.983,6.034
2033,,,,3.673,4.808,5.878,4.089,5.043,6.099
2034,,,,3.709,4.85,5.925,4.146,5.105,6.165
2035,,,,3.746,4.893,5.971,4.203,5.166,6.231
2036,,,,3.782,4.935,6.018,4.261,5.229,6.299
2037,,,,3.818,4.976,6.064,4.319,5.292,6.367
2038,,,,3.854,5.018,6.11,4.377,5.355,6.436
2039,,,,3.889,5.059,6.156,4.436,5.42,6.505
2040,,,,3.924,5.1,6.202,4.495,5.484,6.575
2041,,,,3.959,5.14,6.247,4.554,5.549,6.646
2042,,,,3.994,5.18,6.292,4.613,5.615,6.718
2043,,,,4.028,5.22,6.337,4.672,5.682,6.79
2044,,,,4.062,5.26,6.382,4.732,5.748,6.864
2045,,,,4.096,5.299,6.426,4.792,5.816,6.937
2046,,,,4.129,5.337,6.47,4.852,5.884,7.012
2047,,,,4.162,5.375,6.513,4.912,5.952,7.087
2048,,,,4.194,5.413,6.556,4.972,6.021,7.163
2049,,,,4.226,5.45,6.599,5.032,6.091,7.24
2050,,,,4.258,5.486,6.641,5.093,6.161,7.317
2051,,,,4.289,5.523,6.682,5.154,6.231,7.395
2052,,,,4.32,5.558,6.724,5.215,6.302,7.473
2053,,,,4.35,5.593,6.764,5.276,6.374,7.553
2054,,,,4.38,5.627,6.804,5.337,6.446,7.633
2055,,,,4.409,5.661,6.844,5.398,6.518,7.713
2056,,,,4.438,5.694,6.883,5.459,6.591,7.795
2057,,,,4.466,5.727,6.921,5.52,6.665,7.877
2058,,,,4.493,5.759,6.959,5.582,6.739,7.959
2059,,,,4.52,5.79,6.996,5.643,6.813,8.042
2060,,,,4.547,5.821,7.033,5.704,6.888,8.126
2061,,,,4.573,5.85,7.069,5.766,6.964,8.211
2062,,,,4.598,5.879,7.104,5.827,7.039,8.296
2063,,,,4.623,5.908,7.138,5.888,7.116,8.382
2064,,,,4.647,5.935,7.172,5.95,7.193,8.469
2065,,,,4.67,5.962,7.205,6.011,7.27,8.556
2066,,,,4.693,5.988,7.237,6.073,7.348,8.643
2067,,,,4.715,6.013,7.269,6.134,7.426,8.732
2068,,,,4.736,6.037,7.299,6.195,7.504,8.821
2069,,,,4.757,6.061,7.329,6.256,7.584,8.91
2070,,,,4.777,6.083,7.358,6.317,7.663,9.001
2071,,,,4.796,6.105,7.386,6.378,7.743,9.091
2072,,,,4.815,6.126,7.413,6.439,7.823,9.183
2073,,,,4.832,6.145,7.439,6.5,7.904,9.275
2074,,,,4.849,6.164,7.464,6.561,7.985,9.368
2075,,,,4.865,6.182,7.488,6.621,8.067,9.461
2076,,,,4.881,6.199,7.511,6.682,8.149,9.555
2077,,,,4.895,6.215,7.534,6.742,8.232,9.649
2078,,,,4.909,6.229,7.555,6.802,8.314,9.744
2079,,,,4.921,6.243,7.575,6.862,8.398,9.84
2080,,,,4.933,6.256,7.594,6.922,8.481,9.936
2081,,,,4.944,6.267,7.612,6.981,8.565,10.033
2082,,,,4.955,6.278,7.629,7.041,8.65,10.13
2083,,,,4.964,6.287,7.645,7.1,8.735,10.228
2084,,,,4.972,6.295,7.659,7.159,8.82,10.326
2085,,,,4.979,6.302,7.672,7.218,8.906,10.425
2086,,,,4.986,6.308,7.685,7.276,8.992,10.525
2087,,,,4.991,6.313,7.696,7.334,9.078,10.625
2088,,,,4.996,6.316,7.705,7.392,9.165,10.726
2089,,,,4.999,6.318,7.714,7.45,9.252,10.827
2090,,,,5.001,6.319,7.721,7.507,9.339,10.929
2091,,,,5.003,6.319,7.727,7.564,9.427,11.031
2092,,,,5.003,6.317,7.732,7.621,9.515,11.134
2093,,,,5.003,6.314,7.735,7.677,9.604,11.237
2094,,,,5.001,6.31,7.737,7.733,9.693,11.341
2095,,,,4.998,6.304,7.737,7.789,9.782,11.446
2096,,,,4.994,6.297,7.736,7.845,9.872,11.551
2097,,,,4.989,6.289,7.734,7.9,9.962,11.656
2098,,,,4.983,6.279,7.73,7.954,10.052,11.762
2099,,,,4.975,6.268,7.725,8.009,10.142,11.869
2100,,,,4.967,6.255,7.718,8.062,10.233,11.976
