Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1012.221,886.289,1121.273,,1007.456,,,1012.327,
1951,1151.927,886.226,1120.057,,1007.33,,,1011.845,
1952,1159.06,886.194,1118.93,,1007.236,,,1011.4,
1953,901.67,886.193,1117.89,,1007.175,,,1010.992,
1954,1205.274,886.222,1116.937,,1007.146,,,1010.619,
1955,959.013,886.28,1116.069,,1007.148,,,1010.281,
1956,1027.551,886.367,1115.286,,1007.181,,,1009.978,
1957,1053.126,886.483,1114.586,,1007.245,,,1009.711,
1958,1043.862,886.627,1113.968,,1007.339,,,1009.478,
1959,1039.45,886.799,1113.582,,1007.463,,,1009.279,
1960,1028.725,886.998,1113.476,,1007.616,,,1009.114,
1961,958.639,887.223,1113.417,,1007.797,,,1008.983,
1962,891.918,887.475,1113.406,,1008.007,,,1008.886,
1963,887.958,887.753,1113.44,,1008.244,,,1008.821,
1964,913.116,887.87,1113.519,,1008.509,,,1008.789,
1965,1066.836,887.989,1113.643,,1008.8,,,1008.79,
1966,962.439,888.15,1113.81,,1009.118,,,1008.823,
1967,1169.574,888.352,1114.021,,1009.461,,,1008.888,
1968,916.55,888.595,1114.273,,1009.83,,,1008.985,
1969,977.124,888.878,1114.568,,1010.224,,,1009.113,
1970,986.123,889.2,1114.903,,1010.641,,,1009.273,
1971,975.558,889.56,1115.278,,1011.083,,,1009.463,
1972,1252.795,889.959,1115.692,,1011.549,,,1009.683,
1973,1080.36,890.395,1116.145,,1012.037,,,1009.934,
1974,1083.328,890.868,1116.636,,1012.548,,,1010.214,
1975,925.855,891.376,1117.165,,1013.08,,,1010.525,
1976,1080.484,891.92,1117.729,,1013.634,,,1010.864,
1977,967.629,892.499,1118.33,,1014.21,,,1011.233,
1978,882.171,893.112,1118.965,,1014.805,,,1011.63,
1979,1061.538,893.758,1119.635,,1015.421,,,1012.056,
1980,1005.961,894.438,1120.338,,1016.057,,,1012.51,
1981,1064.536,895.149,1121.074,,1016.711,,,1012.992,
1982,914.521,895.892,1121.842,,1017.384,,,1013.502,
1983,1049.741,896.665,1122.642,,1018.076,,,1014.038,
1984,1023.701,897.469,1123.472,,1018.785,,,1014.602,
1985,960.278,898.303,1124.332,,1019.511,,,1015.193,
1986,1062.8,899.165,1125.221,,1020.254,,,1015.81,
1987,967.101,900.056,1126.433,,1021.013,,,1016.453,
1988,1092.312,900.974,1127.731,,1021.788,,,1017.122,
1989,1033.159,901.919,1129.074,,1022.579,,,1017.816,
1990,1068.98,902.891,1130.462,,1023.384,,,1018.536,
1991,954.174,903.888,1131.894,,1024.203,,,1019.28,
1992,1025.765,904.909,1133.368,,1025.037,,,1020.05,
1993,1084.792,905.741,1134.883,,1025.883,,,1020.843,
1994,1005.429,906.584,1136.438,,1026.743,,,1021.661,
1995,996.458,907.438,1138.032,,1027.615,,,1022.503,
1996,1057.4,908.302,1139.663,,1028.499,,,1023.368,
