Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-0.887,-2.192,-0.287,,-1.157,,,-1.163,
1951,0.54,-2.18,-0.295,,-1.16,,,-1.163,
1952,1.046,-2.168,-0.302,,-1.161,,,-1.163,
1953,0.342,-2.154,-0.308,,-1.162,,,-1.161,
1954,-0.371,-2.141,-0.312,,-1.161,,,-1.159,
1955,0.783,-2.126,-0.315,,-1.159,,,-1.155,
1956,-0.595,-2.111,-0.317,,-1.156,,,-1.151,
1957,-0.897,-2.095,-0.318,,-1.152,,,-1.146,
1958,0.75,-2.079,-0.318,,-1.147,,,-1.14,
1959,-0.425,-2.062,-0.317,,-1.14,,,-1.133,
1960,0.841,-2.045,-0.314,,-1.133,,,-1.125,
1961,0.042,-2.027,-0.31,,-1.125,,,-1.117,
1962,-0.458,-2.008,-0.306,,-1.115,,,-1.107,
1963,-0.268,-1.989,-0.3,,-1.105,,,-1.097,
1964,-0.848,-1.972,-0.293,,-1.093,,,-1.086,
1965,-0.728,-1.955,-0.282,,-1.081,,,-1.073,
1966,1.105,-1.938,-0.268,,-1.068,,,-1.06,
1967,-0.589,-1.92,-0.254,,-1.054,,,-1.047,
1968,-0.292,-1.901,-0.238,,-1.038,,,-1.032,
1969,0.867,-1.881,-0.221,,-1.022,,,-1.016,
1970,-0.305,-1.861,-0.203,,-1.005,,,-1,
1971,-0.238,-1.84,-0.185,,-0.988,,,-0.983,
1972,-3.439,-1.818,-0.165,,-0.969,,,-0.965,
1973,0.058,-1.796,-0.144,,-0.949,,,-0.946,
1974,-1.906,-1.772,-0.123,,-0.929,,,-0.926,
1975,-1.173,-1.749,-0.101,,-0.908,,,-0.906,
1976,-1.223,-1.724,-0.077,,-0.886,,,-0.885,
1977,0.23,-1.699,-0.053,,-0.863,,,-0.862,
1978,-1.322,-1.674,-0.028,,-0.839,,,-0.84,
1979,0.84,-1.648,-0.002,,-0.815,,,-0.816,
1980,-0.575,-1.621,0.024,,-0.79,,,-0.791,
1981,1.363,-1.593,0.052,,-0.764,,,-0.766,
1982,-1.711,-1.566,0.08,,-0.738,,,-0.74,
1983,-0.187,-1.537,0.109,,-0.711,,,-0.713,
1984,-1.03,-1.508,0.139,,-0.683,,,-0.686,
1985,-0.83,-1.479,0.169,,-0.654,,,-0.657,
1986,-1.209,-1.449,0.2,,-0.625,,,-0.628,
1987,0.559,-1.419,0.232,,-0.596,,,-0.598,
1988,-0.556,-1.388,0.265,,-0.565,,,-0.567,
