Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,890.388,960.055,1174.182,,1061.038,,,1060.809,
1951,938.548,959.066,1172.888,,1059.466,,,1059.45,
1952,889.423,958.135,1171.664,,1057.985,,,1058.169,
1953,1053.187,957.261,1170.509,,1056.593,,,1056.964,
1954,1011.598,956.444,1169.423,,1055.29,,,1055.834,
1955,867.749,955.683,1168.404,,1054.074,,,1054.779,
1956,873.325,954.977,1167.453,,1052.944,,,1053.797,
1957,877.88,954.327,1166.568,,1051.898,,,1052.889,
1958,1164.155,953.731,1165.75,,1050.936,,,1052.052,
1959,850.104,953.189,1164.998,,1050.057,,,1051.288,
1960,954.152,952.7,1164.31,,1049.258,,,1050.594,
1961,908.416,952.084,1163.688,,1048.539,,,1049.97,
1962,973.535,951.209,1163.129,,1047.899,,,1049.415,
1963,1133.624,950.41,1162.635,,1047.336,,,1048.929,
1964,993.807,949.685,1162.203,,1046.849,,,1048.51,
1965,1067.766,949.034,1161.833,,1046.438,,,1048.159,
1966,1058.457,948.454,1161.526,,1046.1,,,1047.874,
1967,983.262,947.945,1161.28,,1045.835,,,1047.654,
1968,1196.654,947.506,1161.095,,1045.641,,,1047.498,
1969,1154.319,947.135,1160.97,,1045.517,,,1047.407,
1970,1069.666,946.832,1160.905,,1045.462,,,1047.379,
1971,1255.979,946.594,1160.9,,1045.475,,,1047.413,
1972,1133.225,946.421,1160.953,,1045.555,,,1047.508,
1973,1030.357,946.312,1161.52,,1045.699,,,1047.665,
1974,995.002,946.265,1162.226,,1045.908,,,1047.881,
1975,1065.71,946.279,1162.995,,1046.18,,,1048.157,
1976,1181.282,946.353,1163.826,,1046.514,,,1048.492,
1977,1168.932,946.486,1164.718,,1046.908,,,1048.884,
1978,1110.43,946.677,1165.669,,1047.361,,,1049.333,
1979,1171.499,946.924,1166.678,,1047.872,,,1049.838,
1980,1133.668,947.225,1167.743,,1048.441,,,1050.399,
1981,1142.804,947.581,1168.863,,1049.064,,,1051.015,
1982,1128.399,947.99,1170.037,,1049.743,,,1051.685,
1983,1221.32,948.45,1171.263,,1050.474,,,1052.407,
1984,1003.665,948.96,1172.54,,1051.257,,,1053.183,
1985,926.503,949.52,1173.866,,1052.092,,,1054.01,
1986,928.23,950.127,1175.24,,1052.975,,,1054.887,
1987,1013.454,950.781,1176.66,,1053.908,,,1055.815,
1988,1055.087,951.481,1178.126,,1054.887,,,1056.793,
1989,1131.792,952.225,1179.635,,1055.912,,,1057.819,
1990,1098.349,953.012,1181.187,,1056.982,,,1058.892,
1991,959.469,953.841,1182.78,,1058.096,,,1060.013,
1992,975.681,954.71,1184.412,,1059.252,,,1061.181,
1993,1126.762,955.619,1186.083,,1060.449,,,1062.393,
1994,1248.732,956.566,1187.79,,1061.686,,,1063.651,
1995,962.349,957.551,1189.532,,1062.961,,,1064.953,
1996,1019.209,958.571,1191.308,,1064.274,,,1066.298,
1997,873.02,959.625,1193.117,,1065.624,,,1067.685,
1998,1058.853,960.714,1194.957,,1067.008,,,1069.114,
1999,1071.524,961.834,1196.826,,1068.426,,,1070.584,
2000,1011.928,962.986,1198.724,,1069.877,,,1072.095,
2001,951.429,964.167,1200.648,,1071.359,,,1073.645,
2002,550.908,965.377,1202.598,,1072.872,,,1075.233,
2003,1069.918,966.614,1204.572,,1074.413,,,1076.859,
2004,1030.374,967.877,1206.569,,1075.983,,,1078.523,
2005,1001.578,969.166,1208.587,,1077.579,,,1080.223,
2006,961.945,970.478,1210.624,,1079.2,,,1081.959,
2007,952.973,,,971.813,1080.845,1212.68,978.541,1083.729,1195.629
2008,955.696,,,973.169,1082.514,1214.754,979.893,1085.534,1197.438
2009,942.905,,,974.546,1084.204,1216.842,981.268,1087.372,1199.286
2010,1010.921,,,975.941,1085.914,1218.945,982.665,1089.242,1201.172
2011,1080.067,,,977.354,1087.644,1221.061,984.086,1091.145,1203.095
2012,955.577,,,978.784,1089.393,1223.188,985.527,1093.078,1205.056
2013,1037.878,,,980.229,1091.157,1225.325,986.99,1095.042,1207.053
2014,,,,981.688,1092.938,1227.47,988.474,1097.035,1209.087
2015,,,,983.16,1094.733,1229.623,989.977,1099.057,1211.156
2016,,,,984.644,1096.542,1231.781,991.5,1101.107,1213.26
2017,,,,986.138,1098.362,1233.944,993.041,1103.184,1215.399
2018,,,,987.642,1100.194,1236.11,994.6,1105.288,1217.571
2019,,,,989.154,1102.035,1238.277,996.177,1107.417,1219.777
2020,,,,990.673,1103.884,1240.444,997.771,1109.572,1222.016
2021,,,,992.197,1105.741,1242.61,999.381,1111.75,1224.287
2022,,,,993.726,1107.603,1244.774,1001.006,1113.952,1226.59
2023,,,,995.259,1109.471,1246.933,1002.647,1116.177,1228.925
2024,,,,996.793,1111.342,1249.086,1004.302,1118.424,1231.29
2025,,,,998.328,1113.215,1251.233,1005.971,1120.691,1233.685
2026,,,,999.863,1115.09,1253.372,1007.653,1122.979,1236.109
2027,,,,1001.397,1116.964,1255.5,1009.348,1125.287,1238.563
2028,,,,1002.927,1118.838,1257.618,1011.055,1127.613,1241.046
2029,,,,1004.454,1120.708,1259.723,1012.773,1129.958,1243.557
2030,,,,1005.976,1122.576,1261.814,1014.502,1132.32,1246.094
2031,,,,1007.491,1124.438,1263.89,1016.241,1134.698,1248.659
2032,,,,1008.999,1126.294,1265.949,1017.99,1137.092,1251.251
2033,,,,1010.498,1128.143,1267.989,1019.748,1139.502,1253.868
2034,,,,1011.987,1129.983,1270.01,1021.514,1141.925,1256.511
2035,,,,1013.465,1131.814,1272.011,1023.288,1144.362,1259.178
