Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-1.475,-2.159,-0.267,,-1.253,,,-1.22,
1951,-0.605,-2.151,-0.274,,-1.253,,,-1.22,
1952,0.206,-2.141,-0.281,,-1.252,,,-1.22,
1953,0.349,-2.131,-0.286,,-1.249,,,-1.218,
1954,-0.734,-2.121,-0.29,,-1.246,,,-1.215,
1955,0.128,-2.109,-0.293,,-1.241,,,-1.212,
1956,-1.51,-2.097,-0.295,,-1.236,,,-1.207,
1957,-0.918,-2.085,-0.296,,-1.229,,,-1.202,
1958,-0.244,-2.074,-0.295,,-1.221,,,-1.196,
1959,-0.732,-2.061,-0.294,,-1.213,,,-1.189,
1960,0.053,-2.047,-0.292,,-1.203,,,-1.182,
1961,0.029,-2.033,-0.288,,-1.193,,,-1.173,
1962,-1.406,-2.018,-0.283,,-1.181,,,-1.163,
1963,-1.47,-2.002,-0.278,,-1.169,,,-1.153,
1964,-1.821,-1.986,-0.271,,-1.156,,,-1.142,
1965,-2.203,-1.968,-0.263,,-1.142,,,-1.13,
1966,0.281,-1.95,-0.254,,-1.126,,,-1.117,
1967,-1.442,-1.931,-0.244,,-1.111,,,-1.104,
1968,-0.685,-1.912,-0.233,,-1.094,,,-1.089,
1969,-0.236,-1.891,-0.221,,-1.076,,,-1.074,
1970,-1.469,-1.871,-0.207,,-1.058,,,-1.058,
1971,-1.133,-1.849,-0.191,,-1.038,,,-1.041,
1972,-2.896,-1.827,-0.173,,-1.018,,,-1.023,
1973,0.284,-1.804,-0.155,,-0.997,,,-1.004,
1974,-1.875,-1.78,-0.135,,-0.976,,,-0.985,
1975,-0.56,-1.756,-0.115,,-0.953,,,-0.965,
1976,-1.508,-1.731,-0.093,,-0.93,,,-0.944,
1977,-0.062,-1.706,-0.07,,-0.906,,,-0.922,
1978,-1.304,-1.68,-0.047,,-0.882,,,-0.899,
1979,0.573,-1.653,-0.023,,-0.856,,,-0.876,
1980,-1.056,-1.626,0.003,,-0.831,,,-0.852,
1981,0.975,-1.599,0.029,,-0.804,,,-0.827,
1982,-1.451,-1.57,0.056,,-0.777,,,-0.801,
1983,-0.003,-1.542,0.084,,-0.749,,,-0.775,
1984,-0.693,-1.513,0.113,,-0.72,,,-0.747,
1985,-1.395,-1.483,0.142,,-0.691,,,-0.719,
1986,-1.56,-1.453,0.173,,-0.661,,,-0.69,
1987,0.232,-1.423,0.204,,-0.631,,,-0.661,
1988,-0.61,-1.392,0.236,,-0.6,,,-0.63,
1989,-1.386,-1.361,0.268,,-0.569,,,-0.599,
1990,-0.806,-1.329,0.302,,-0.537,,,-0.567,
1991,-0.863,-1.297,0.336,,-0.504,,,-0.534,
1992,-1.981,-1.264,0.371,,-0.471,,,-0.501,
1993,-1.633,-1.232,0.406,,-0.438,,,-0.467,
1994,-1.134,-1.198,0.442,,-0.404,,,-0.432,
1995,-0.463,-1.165,0.479,,-0.37,,,-0.396,
1996,-0.378,-1.131,0.516,,-0.335,,,-0.359,
1997,-1.065,-1.097,0.554,,-0.299,,,-0.322,
1998,1.413,-1.063,0.593,,-0.264,,,-0.284,
1999,1.617,-1.028,0.632,,-0.228,,,-0.246,
2000,0.116,-0.993,0.671,,-0.191,,,-0.206,
2001,1.252,-0.958,0.712,,-0.154,,,-0.166,
2002,-0.718,-0.923,0.752,,-0.117,,,-0.125,
2003,-0.206,-0.887,0.793,,-0.079,,,-0.084,
2004,-0.626,-0.851,0.835,,-0.042,,,-0.041,
2005,0.544,-0.815,0.877,,-0.003,,,0.002,
2006,1.608,-0.779,0.92,,0.035,,,0.046,
2007,-0.208,,,-0.743,0.074,0.963,-0.683,0.09,0.963
2008,0.395,,,-0.706,0.113,1.006,-0.641,0.135,1.012
2009,0.453,,,-0.67,0.152,1.05,-0.599,0.181,1.062
2010,2.986,,,-0.633,0.192,1.094,-0.556,0.228,1.113
2011,0.479,,,-0.596,0.232,1.138,-0.513,0.275,1.164
2012,1.404,,,-0.56,0.272,1.183,-0.47,0.323,1.217
2013,0.258,,,-0.523,0.312,1.228,-0.425,0.372,1.27
2014,,,,-0.486,0.352,1.274,-0.381,0.421,1.324
2015,,,,-0.449,0.393,1.319,-0.336,0.471,1.379
2016,,,,-0.412,0.434,1.365,-0.29,0.522,1.435
2017,,,,-0.375,0.475,1.411,-0.244,0.573,1.491
2018,,,,-0.338,0.516,1.458,-0.198,0.625,1.549
2019,,,,-0.301,0.557,1.504,-0.151,0.678,1.607
2020,,,,-0.264,0.598,1.551,-0.104,0.731,1.666
2021,,,,-0.227,0.639,1.598,-0.056,0.785,1.726
2022,,,,-0.19,0.681,1.645,-0.008,0.84,1.786
2023,,,,-0.153,0.722,1.692,0.041,0.896,1.848
2024,,,,-0.117,0.763,1.74,0.09,0.952,1.91
2025,,,,-0.08,0.805,1.787,0.139,1.009,1.973
2026,,,,-0.044,0.846,1.834,0.189,1.066,2.037
2027,,,,-0.007,0.888,1.882,0.239,1.124,2.101
2028,,,,0.029,0.929,1.93,0.29,1.183,2.166
2029,,,,0.065,0.971,1.977,0.341,1.242,2.232
2030,,,,0.101,1.012,2.025,0.392,1.302,2.299
2031,,,,0.136,1.053,2.072,0.444,1.363,2.367
2032,,,,0.172,1.095,2.12,0.496,1.424,2.435
2033,,,,0.207,1.136,2.168,0.549,1.486,2.504
2034,,,,0.242,1.177,2.215,0.602,1.548,2.574
2035,,,,0.277,1.218,2.262,0.655,1.612,2.644
2036,,,,0.311,1.258,2.31,0.709,1.675,2.715
2037,,,,0.345,1.299,2.357,0.763,1.74,2.787
2038,,,,0.379,1.34,2.404,0.818,1.805,2.86
2039,,,,0.413,1.38,2.451,0.872,1.87,2.933
2040,,,,0.446,1.42,2.497,0.928,1.937,3.007
2041,,,,0.479,1.46,2.544,0.983,2.003,3.082
2042,,,,0.512,1.499,2.59,1.039,2.071,3.158
2043,,,,0.544,1.539,2.636,1.096,2.139,3.234
2044,,,,0.576,1.578,2.682,1.152,2.208,3.311
2045,,,,0.607,1.617,2.727,1.209,2.277,3.388
2046,,,,0.638,1.655,2.773,1.267,2.347,3.466
2047,,,,0.669,1.694,2.817,1.324,2.417,3.545
2048,,,,0.699,1.732,2.862,1.382,2.488,3.625
2049,,,,0.728,1.769,2.906,1.441,2.56,3.705
2050,,,,0.758,1.807,2.95,1.499,2.632,3.786
2051,,,,0.786,1.844,2.994,1.558,2.705,3.868
2052,,,,0.815,1.88,3.037,1.618,2.778,3.95
2053,,,,0.842,1.916,3.08,1.678,2.852,4.033
2054,,,,0.87,1.952,3.122,1.737,2.927,4.116
2055,,,,0.896,1.987,3.164,1.798,3.002,4.2
2056,,,,0.922,2.022,3.205,1.858,3.077,4.285
2057,,,,0.948,2.057,3.246,1.919,3.154,4.371
2058,,,,0.973,2.091,3.287,1.98,3.23,4.457
2059,,,,0.997,2.125,3.327,2.042,3.308,4.543
2060,,,,1.021,2.158,3.366,2.104,3.386,4.63
2061,,,,1.044,2.19,3.405,2.166,3.464,4.718
2062,,,,1.067,2.222,3.443,2.228,3.543,4.807
2063,,,,1.089,2.254,3.481,2.291,3.622,4.896
2064,,,,1.11,2.285,3.518,2.354,3.702,4.986
2065,,,,1.13,2.315,3.554,2.417,3.783,5.076
2066,,,,1.15,2.345,3.59,2.48,3.864,5.167
2067,,,,1.169,2.374,3.625,2.544,3.946,5.258
