Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1074.09,872.354,1113.601,,995.992,,,996.467,
1951,957.802,872.212,1111.257,,994.743,,,995.088,
1952,994.861,872.108,1109.026,,993.563,,,993.788,
1953,952.364,872.04,1106.906,,992.45,,,992.568,
1954,1117.248,872.01,1104.896,,991.405,,,991.425,
1955,879.9,872.014,1102.995,,990.427,,,990.359,
1956,924.369,872.055,1101.201,,989.514,,,989.369,
1957,933.286,872.13,1099.514,,988.665,,,988.454,
1958,945.393,872.239,1097.932,,987.88,,,987.614,
1959,919.231,872.382,1096.453,,987.158,,,986.847,
1960,961.843,872.558,1095.078,,986.498,,,986.153,
1961,764.453,872.505,1093.803,,985.898,,,985.53,
1962,860.01,872.368,1092.629,,985.359,,,984.978,
1963,822.334,872.291,1091.554,,984.88,,,984.495,
1964,1034.687,872.27,1090.852,,984.459,,,984.082,
1965,904.766,872.307,1090.663,,984.095,,,983.736,
1966,1081.565,872.399,1090.533,,983.788,,,983.457,
1967,946.786,872.547,1090.463,,983.537,,,983.245,
1968,962.18,872.749,1090.45,,983.341,,,983.098,
1969,1099.804,873.004,1090.494,,983.199,,,983.015,
1970,1024.583,873.312,1090.594,,983.11,,,982.995,
1971,1014.45,873.672,1090.75,,983.073,,,983.038,
1972,973.034,874.082,1090.96,,983.088,,,983.143,
1973,1101.521,874.542,1091.223,,983.154,,,983.308,
1974,1013.411,875.052,1091.538,,983.269,,,983.533,
1975,816.017,875.61,1091.906,,983.433,,,983.817,
1976,1133.959,876.215,1092.323,,983.645,,,984.159,
1977,954.147,876.866,1092.791,,983.904,,,984.558,
1978,917.402,877.564,1093.307,,984.209,,,985.014,
1979,1185.83,878.306,1093.871,,984.559,,,985.524,
1980,1063.71,879.092,1094.482,,984.954,,,986.089,
1981,1017.226,879.922,1095.14,,985.393,,,986.707,
1982,968.86,880.793,1095.842,,985.874,,,987.378,
1983,1154.274,881.707,1096.589,,986.398,,,988.101,
1984,884.733,882.66,1097.379,,986.962,,,988.874,
1985,916.342,883.654,1098.211,,987.566,,,989.697,
1986,962.69,884.686,1099.085,,988.209,,,990.569,
1987,876.457,885.756,1100,,988.891,,,991.489,
1988,1048.38,886.864,1100.954,,989.61,,,992.457,
1989,823.881,888.008,1101.947,,990.366,,,993.47,
1990,981.471,889.187,1102.979,,991.158,,,994.529,
1991,840.804,890.401,1104.047,,991.984,,,995.632,
1992,1044.977,891.649,1105.151,,992.844,,,996.779,
1993,1092.74,892.929,1106.29,,993.738,,,997.968,
1994,1181.993,894.242,1107.464,,994.663,,,999.199,
1995,1329.928,895.245,1108.67,,995.62,,,1000.47,
1996,1283.121,896.241,1109.91,,996.608,,,1001.782,
1997,959.554,897.25,1111.181,,997.625,,,1003.132,
1998,1076.349,898.271,1112.482,,998.671,,,1004.521,
1999,1066.739,899.304,1113.813,,999.744,,,1005.947,
2000,997.794,900.347,1115.173,,1000.845,,,1007.409,
2001,969.306,901.4,1116.561,,1001.972,,,1008.906,
2002,650.704,902.463,1117.976,,1003.124,,,1010.438,
2003,1021.278,903.535,1119.417,,1004.3,,,1012.003,
2004,732.23,904.616,1120.883,,1005.5,,,1013.601,
2005,739.279,905.704,1122.374,,1006.722,,,1015.231,
2006,805.283,906.8,1123.888,,1007.966,,,1016.892,
2007,788.093,,,907.903,1009.231,1125.424,913.832,1018.582,1123.844
2008,949.467,,,909.013,1010.516,1126.982,915.503,1020.302,1125.968
2009,789.006,,,910.128,1011.82,1128.56,917.194,1022.049,1128.135
2010,876.914,,,911.248,1013.143,1130.158,918.903,1023.824,1130.343
2011,913.724,,,912.373,1014.482,1131.775,920.629,1025.625,1132.593
2012,926.682,,,913.502,1015.839,1133.41,922.372,1027.452,1134.881
2013,867.018,,,914.635,1017.21,1135.061,924.131,1029.302,1137.208
2014,,,,915.771,1018.597,1136.729,925.905,1031.177,1139.572
2015,,,,916.909,1019.997,1138.412,927.693,1033.074,1141.972
2016,,,,918.048,1021.411,1140.109,929.495,1034.993,1144.407
2017,,,,919.19,1022.836,1141.82,931.308,1036.933,1146.875
2018,,,,920.332,1024.273,1143.543,933.134,1038.893,1149.375
2019,,,,921.474,1025.72,1145.278,934.97,1040.872,1151.906
2020,,,,922.616,1027.176,1147.023,936.815,1042.869,1154.467
2021,,,,923.757,1028.642,1148.778,938.67,1044.883,1157.057
2022,,,,924.896,1030.115,1150.541,940.533,1046.913,1159.673
2023,,,,926.034,1031.594,1152.313,942.403,1048.959,1162.316
2024,,,,927.168,1033.08,1154.092,944.279,1051.02,1164.984
2025,,,,928.3,1034.571,1155.876,946.161,1053.094,1167.676
2026,,,,929.428,1036.066,1157.666,948.048,1055.181,1170.39
2027,,,,930.552,1037.565,1159.46,949.939,1057.279,1173.125
2028,,,,931.671,1039.066,1161.258,951.832,1059.389,1175.88
2029,,,,932.784,1040.569,1163.057,953.728,1061.508,1178.654
2030,,,,933.892,1042.072,1164.859,955.625,1063.637,1181.446
2031,,,,934.993,1043.576,1166.661,957.523,1065.774,1184.254
2032,,,,936.087,1045.078,1168.462,959.42,1067.918,1187.078
2033,,,,937.173,1046.578,1170.263,961.315,1070.068,1189.915
2034,,,,938.251,1048.076,1172.061,963.209,1072.224,1192.765
2035,,,,939.321,1049.57,1173.857,965.1,1074.385,1195.627
2036,,,,940.381,1051.06,1175.648,966.986,1076.549,1198.498
2037,,,,941.432,1052.544,1177.435,968.869,1078.716,1201.38
2038,,,,942.471,1054.022,1179.216,970.745,1080.885,1204.268
2039,,,,943.501,1055.493,1180.99,972.615,1083.054,1207.164
2040,,,,944.518,1056.956,1182.756,974.478,1085.224,1210.065
2041,,,,945.523,1058.41,1184.515,976.333,1087.393,1212.97
2042,,,,946.516,1059.854,1186.263,978.179,1089.56,1215.879
2043,,,,947.496,1061.288,1188.002,980.015,1091.724,1218.789
2044,,,,948.462,1062.71,1189.729,981.84,1093.885,1221.7
2045,,,,949.413,1064.12,1191.444,983.654,1096.041,1224.61
2046,,,,950.35,1065.517,1193.146,985.455,1098.192,1227.518
2047,,,,951.271,1066.899,1194.834,987.243,1100.337,1230.424
2048,,,,952.177,1068.267,1196.508,989.017,1102.474,1233.325
2049,,,,953.065,1069.619,1198.166,990.777,1104.604,1236.22
2050,,,,953.937,1070.954,1199.806,992.52,1106.724,1239.109
2051,,,,954.791,1072.271,1201.43,994.247,1108.834,1241.99
2052,,,,955.627,1073.57,1203.035,995.956,1110.934,1244.862
2053,,,,956.444,1074.849,1204.62,997.646,1113.021,1247.724
2054,,,,957.242,1076.109,1206.186,999.318,1115.097,1250.574
2055,,,,958.019,1077.347,1207.729,1000.97,1117.158,1253.411
2056,,,,958.777,1078.563,1209.251,1002.6,1119.205,1256.234
2057,,,,959.513,1079.757,1210.75,1004.209,1121.237,1259.042
2058,,,,960.228,1080.926,1212.225,1005.795,1123.253,1261.834
2059,,,,960.921,1082.071,1213.675,1007.358,1125.251,1264.608
2060,,,,961.591,1083.191,1215.1,1008.896,1127.231,1267.363
2061,,,,962.238,1084.284,1216.497,1010.409,1129.192,1270.099
2062,,,,962.861,1085.35,1217.868,1011.896,1131.134,1272.812
2063,,,,963.459,1086.388,1219.209,1013.357,1133.054,1275.504
2064,,,,964.033,1087.397,1220.521,1014.789,1134.953,1278.172
2065,,,,964.581,1088.376,1221.803,1016.193,1136.83,1280.814
2066,,,,965.104,1089.325,1223.054,1017.567,1138.682,1283.431
2067,,,,965.599,1090.242,1224.273,1018.911,1140.511,1286.021
2068,,,,966.068,1091.126,1225.458,1020.224,1142.314,1288.581
2069,,,,966.509,1091.977,1226.61,1021.505,1144.091,1291.112
2070,,,,966.922,1092.794,1227.727,1022.753,1145.84,1293.612
2071,,,,967.305,1093.576,1228.808,1023.967,1147.562,1296.08
2072,,,,967.66,1094.321,1229.852,1025.146,1149.255,1298.515
2073,,,,967.984,1095.03,1230.859,1026.291,1150.918,1300.914
2074,,,,968.278,1095.702,1231.828,1027.398,1152.55,1303.278
2075,,,,968.542,1096.334,1232.757,1028.469,1154.15,1305.605
2076,,,,968.773,1096.928,1233.645,1029.502,1155.718,1307.894
2077,,,,968.972,1097.48,1234.493,1030.496,1157.253,1310.143
2078,,,,969.139,1097.992,1235.298,1031.45,1158.753,1312.351
2079,,,,969.272,1098.462,1236.06,1032.363,1160.218,1314.518
2080,,,,969.371,1098.888,1236.779,1033.235,1161.646,1316.641
2081,,,,969.437,1099.271,1237.452,1034.065,1163.038,1318.72
2082,,,,969.467,1099.609,1238.08,1034.852,1164.391,1320.754
2083,,,,969.461,1099.902,1238.661,1035.594,1165.706,1322.74
2084,,,,969.42,1100.148,1239.195,1036.292,1166.981,1324.679
2085,,,,969.342,1100.347,1239.68,1036.944,1168.215,1326.568
2086,,,,969.227,1100.498,1240.115,1037.55,1169.407,1328.408
2087,,,,969.074,1100.599,1240.501,1038.108,1170.557,1330.195
2088,,,,968.882,1100.651,1240.835,1038.618,1171.664,1331.929
2089,,,,968.652,1100.651,1241.117,1039.079,1172.726,1333.61
2090,,,,968.383,1100.6,1241.346,1039.49,1173.743,1335.235
2091,,,,968.073,1100.497,1241.521,1039.849,1174.714,1336.804
