Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1.16,0.133,2.264,,1.114,,,1.089,
1951,1.993,0.138,2.254,,1.109,,,1.091,
1952,2.512,0.144,2.249,,1.106,,,1.094,
1953,3.069,0.151,2.245,,1.104,,,1.098,
1954,1.346,0.158,2.243,,1.104,,,1.102,
1955,1.838,0.167,2.241,,1.105,,,1.107,
1956,0.61,0.176,2.24,,1.107,,,1.113,
1957,1.573,0.187,2.24,,1.11,,,1.12,
1958,1.308,0.198,2.241,,1.115,,,1.127,
1959,1.22,0.21,2.243,,1.12,,,1.136,
1960,2.254,0.223,2.246,,1.127,,,1.145,
1961,2.317,0.236,2.25,,1.135,,,1.155,
1962,1.374,0.251,2.255,,1.144,,,1.165,
1963,1.118,0.266,2.261,,1.155,,,1.177,
1964,1.677,0.28,2.268,,1.166,,,1.189,
1965,0.689,0.291,2.276,,1.178,,,1.202,
1966,2.257,0.304,2.285,,1.192,,,1.216,
1967,1.023,0.318,2.295,,1.207,,,1.23,
1968,1.444,0.332,2.305,,1.222,,,1.246,
1969,2.021,0.348,2.317,,1.239,,,1.262,
1970,1.227,0.364,2.33,,1.256,,,1.279,
1971,1.388,0.381,2.343,,1.275,,,1.296,
1972,0.086,0.4,2.358,,1.295,,,1.315,
1973,2.748,0.419,2.373,,1.315,,,1.334,
1974,0.782,0.439,2.389,,1.336,,,1.354,
1975,1.82,0.46,2.407,,1.359,,,1.375,
1976,0.372,0.482,2.425,,1.382,,,1.396,
1977,1.881,0.504,2.444,,1.406,,,1.418,
1978,0.624,0.528,2.464,,1.431,,,1.441,
1979,2.149,0.553,2.485,,1.457,,,1.465,
1980,0.727,0.578,2.507,,1.483,,,1.489,
1981,2.48,0.604,2.531,,1.51,,,1.514,
1982,1.171,0.631,2.557,,1.538,,,1.54,
1983,2.37,0.659,2.584,,1.567,,,1.567,
1984,2.045,0.688,2.612,,1.597,,,1.594,
1985,0.832,0.717,2.64,,1.627,,,1.622,
1986,1.283,0.747,2.67,,1.658,,,1.651,
1987,2.579,0.778,2.7,,1.69,,,1.68,
1988,1.784,0.81,2.731,,1.722,,,1.711,
1989,0.581,0.843,2.763,,1.755,,,1.741,
1990,2.292,0.876,2.795,,1.788,,,1.773,
1991,1.961,0.91,2.828,,1.823,,,1.806,
1992,0.728,0.945,2.862,,1.857,,,1.839,
1993,1.163,0.98,2.897,,1.893,,,1.872,
1994,1.355,1.017,2.932,,1.928,,,1.907,
1995,2.085,1.053,2.968,,1.965,,,1.942,
1996,1.779,1.091,3.005,,2.002,,,1.978,
1997,1.042,1.129,3.042,,2.039,,,2.015,
1998,3.835,1.168,3.08,,2.077,,,2.052,
1999,3.387,1.208,3.118,,2.115,,,2.09,
2000,2.067,1.248,3.157,,2.154,,,2.129,
2001,3.465,1.289,3.196,,2.193,,,2.168,
2002,2.533,1.328,3.236,,2.233,,,2.208,
2003,1.793,1.364,3.276,,2.273,,,2.249,
2004,1.379,1.399,3.317,,2.313,,,2.291,
