Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1011.682,855.546,1086.55,,992.231,,,992.495,
1951,1106.672,855.89,1084.957,,990.835,,,991.004,
1952,1174.939,856.251,1083.464,,989.507,,,989.585,
1953,925.413,856.631,1082.068,,988.246,,,988.238,
1954,1216.766,857.029,1080.769,,987.05,,,986.961,
1955,1030.603,857.444,1079.566,,985.92,,,985.754,
1956,987.098,857.876,1078.456,,984.855,,,984.616,
1957,1071.146,858.326,1077.439,,983.853,,,983.547,
1958,1055.401,858.792,1076.513,,982.913,,,982.545,
1959,1058.083,859.275,1075.833,,982.036,,,981.61,
1960,1007.47,859.774,1075.487,,981.219,,,980.741,
1961,893.528,860.26,1075.192,,980.462,,,979.937,
1962,869.791,860.505,1074.947,,979.765,,,979.197,
1963,858.081,860.788,1074.75,,979.126,,,978.521,
1964,968.518,861.109,1074.601,,978.544,,,977.908,
1965,1011.113,861.467,1074.501,,978.02,,,977.356,
1966,1067.642,861.861,1074.447,,977.551,,,976.866,
1967,1041.549,862.291,1074.439,,977.136,,,976.436,
1968,920.464,862.757,1074.477,,976.776,,,976.066,
1969,981.917,863.258,1074.56,,976.47,,,975.755,
1970,973.592,863.792,1074.687,,976.215,,,975.502,
1971,1023.124,864.361,1074.857,,976.012,,,975.306,
1972,1108.474,864.962,1075.071,,975.86,,,975.167,
1973,1091.968,865.596,1075.326,,975.757,,,975.083,
1974,1104.031,866.261,1075.623,,975.704,,,975.054,
1975,973.304,866.958,1075.961,,975.698,,,975.079,
1976,1063.024,867.686,1076.339,,975.74,,,975.158,
1977,914.362,868.443,1076.756,,975.828,,,975.289,
1978,917.904,869.23,1077.212,,975.962,,,975.472,
1979,988.662,870.046,1077.706,,976.14,,,975.705,
1980,920.619,870.89,1078.237,,976.362,,,975.989,
1981,1001.673,871.762,1078.806,,976.627,,,976.323,
1982,879.865,872.661,1079.41,,976.934,,,976.705,
1983,1036.387,873.586,1080.049,,977.282,,,977.134,
1984,936.262,874.538,1080.724,,977.671,,,977.611,
1985,959.145,875.514,1081.432,,978.099,,,978.134,
1986,1076.561,876.516,1082.522,,978.565,,,978.702,
1987,900.595,877.541,1083.691,,979.07,,,979.315,
1988,1053.936,878.591,1084.914,,979.611,,,979.972,
1989,971.834,879.663,1086.188,,980.189,,,980.672,
1990,1058.378,880.757,1087.512,,980.802,,,981.414,
1991,928.385,881.63,1088.886,,981.449,,,982.198,
1992,984.473,882.49,1090.308,,982.129,,,983.022,
1993,1024.973,883.356,1091.776,,982.842,,,983.886,
1994,969.631,884.228,1093.29,,983.587,,,984.789,
1995,955.229,885.106,1094.848,,984.363,,,985.731,
