Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-1.399,-2.586,-0.66,,-1.608,,,-1.582,
1951,-0.077,-2.574,-0.669,,-1.609,,,-1.583,
1952,0.299,-2.562,-0.677,,-1.608,,,-1.583,
1953,0.074,-2.55,-0.684,,-1.607,,,-1.582,
1954,-0.853,-2.536,-0.689,,-1.604,,,-1.581,
1955,0.365,-2.522,-0.694,,-1.6,,,-1.578,
1956,-1.488,-2.508,-0.697,,-1.595,,,-1.574,
1957,-1.262,-2.493,-0.699,,-1.59,,,-1.57,
1958,-0.131,-2.477,-0.7,,-1.583,,,-1.564,
1959,-0.87,-2.461,-0.699,,-1.575,,,-1.558,
1960,0.199,-2.444,-0.698,,-1.567,,,-1.551,
1961,-0.487,-2.427,-0.695,,-1.557,,,-1.543,
1962,-1.168,-2.409,-0.691,,-1.547,,,-1.534,
1963,-1.221,-2.393,-0.687,,-1.535,,,-1.524,
1964,-1.557,-2.378,-0.681,,-1.523,,,-1.514,
1965,-1.806,-2.363,-0.673,,-1.51,,,-1.502,
1966,0.378,-2.346,-0.665,,-1.496,,,-1.49,
1967,-1.184,-2.329,-0.656,,-1.481,,,-1.476,
1968,-0.719,-2.311,-0.646,,-1.465,,,-1.462,
1969,0.051,-2.292,-0.632,,-1.449,,,-1.447,
1970,-0.967,-2.273,-0.616,,-1.431,,,-1.432,
1971,-0.979,-2.252,-0.6,,-1.413,,,-1.415,
1972,-3.553,-2.231,-0.582,,-1.394,,,-1.398,
1973,-0.348,-2.209,-0.564,,-1.374,,,-1.379,
1974,-2.399,-2.187,-0.544,,-1.354,,,-1.36,
1975,-1.429,-2.164,-0.524,,-1.333,,,-1.34,
1976,-1.747,-2.14,-0.502,,-1.311,,,-1.319,
1977,-0.387,-2.115,-0.48,,-1.288,,,-1.298,
1978,-1.996,-2.09,-0.456,,-1.265,,,-1.275,
1979,0.257,-2.064,-0.432,,-1.24,,,-1.252,
1980,-1.306,-2.037,-0.406,,-1.216,,,-1.228,
1981,0.714,-2.01,-0.38,,-1.19,,,-1.203,
1982,-2.147,-1.983,-0.353,,-1.164,,,-1.178,
1983,-0.776,-1.954,-0.325,,-1.138,,,-1.151,
1984,-1.317,-1.926,-0.296,,-1.11,,,-1.124,
1985,-1.351,-1.896,-0.267,,-1.082,,,-1.096,
1986,-1.648,-1.867,-0.236,,-1.054,,,-1.068,
1987,-0.14,-1.836,-0.205,,-1.025,,,-1.038,
1988,-0.981,-1.805,-0.173,,-0.995,,,-1.008,
1989,-1.468,-1.774,-0.141,,-0.965,,,-0.977,
1990,-1.442,-1.742,-0.107,,-0.934,,,-0.945,
1991,-1.66,-1.71,-0.073,,-0.903,,,-0.912,
1992,-2.053,-1.678,-0.038,,-0.871,,,-0.879,
1993,-1.849,-1.645,-0.003,,-0.839,,,-0.845,
1994,-1.385,-1.612,0.034,,-0.806,,,-0.81,
1995,-0.796,-1.578,0.071,,-0.773,,,-0.775,
1996,-0.006,-1.544,0.108,,-0.739,,,-0.738,
1997,-1.262,-1.51,0.146,,-0.705,,,-0.701,
1998,0.514,-1.475,0.185,,-0.671,,,-0.664,
1999,1.259,-1.44,0.224,,-0.636,,,-0.625,
2000,0.137,-1.405,0.264,,-0.601,,,-0.586,
2001,0.654,-1.369,0.304,,-0.565,,,-0.546,
2002,-1.095,-1.334,0.345,,-0.529,,,-0.506,
2003,-0.086,-1.298,0.386,,-0.492,,,-0.464,
2004,0.153,-1.262,0.428,,-0.456,,,-0.422,
2005,0.409,-1.225,0.47,,-0.419,,,-0.38,
2006,1.24,-1.189,0.513,,-0.381,,,-0.336,
2007,-0.478,,,-1.152,-0.343,0.556,-1.072,-0.292,0.546
2008,0.195,,,-1.115,-0.305,0.599,-1.032,-0.247,0.595
2009,0.044,,,-1.078,-0.267,0.643,-0.991,-0.202,0.644
2010,2.624,,,-1.041,-0.229,0.687,-0.95,-0.156,0.695
2011,0.393,,,-1.004,-0.19,0.732,-0.909,-0.109,0.747
2012,1.159,,,-0.967,-0.151,0.777,-0.867,-0.062,0.799
2013,0.126,,,-0.93,-0.112,0.822,-0.824,-0.013,0.852
2014,,,,-0.892,-0.072,0.868,-0.782,0.035,0.906
2015,,,,-0.855,-0.033,0.914,-0.739,0.085,0.961
2016,,,,-0.818,0.007,0.96,-0.695,0.135,1.017
2017,,,,-0.78,0.047,1.006,-0.651,0.186,1.073
2018,,,,-0.743,0.087,1.052,-0.607,0.237,1.13
2019,,,,-0.706,0.127,1.099,-0.562,0.289,1.188
2020,,,,-0.669,0.167,1.146,-0.517,0.342,1.247
2021,,,,-0.631,0.208,1.193,-0.472,0.395,1.306
