Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,883.066,875.172,1090.751,,992.329,,,997.093,
1951,960.001,874.974,1089.245,,990.2,,,994.608,
1952,932.113,874.805,1087.825,,988.175,,,992.232,
1953,986.912,874.665,1086.491,,986.253,,,989.963,
1954,1093.209,874.553,1085.242,,984.433,,,987.801,
1955,850.433,874.47,1084.077,,982.712,,,985.744,
1956,888.048,874.414,1082.994,,981.09,,,983.791,
1957,843.298,874.385,1081.992,,979.566,,,981.941,
1958,1069.005,874.383,1081.135,,978.137,,,980.192,
1959,790.561,874.407,1080.539,,976.803,,,978.544,
1960,849.157,874.458,1080.002,,975.561,,,976.995,
1961,842.663,874.535,1079.524,,974.412,,,975.543,
1962,857.224,874.637,1079.105,,973.353,,,974.188,
1963,1033.788,874.58,1078.743,,972.382,,,972.929,
1964,960.564,874.15,1078.438,,971.499,,,971.763,
1965,1021.316,873.779,1078.19,,970.702,,,970.691,
1966,1129.413,873.467,1077.998,,969.99,,,969.71,
1967,870.975,873.212,1077.862,,969.36,,,968.82,
1968,1099.342,873.013,1077.781,,968.813,,,968.018,
1969,1115.501,872.87,1077.754,,968.346,,,967.305,
1970,926.245,872.781,1077.781,,967.959,,,966.678,
1971,1082.894,872.747,1077.862,,967.648,,,966.137,
1972,1046.844,872.766,1077.995,,967.415,,,965.68,
1973,1025.648,872.837,1078.181,,967.256,,,965.306,
1974,878.86,872.96,1078.419,,967.17,,,965.014,
1975,950.187,873.134,1078.707,,967.156,,,964.802,
1976,1215.015,873.357,1079.047,,967.214,,,964.669,
1977,957.582,873.63,1079.436,,967.34,,,964.615,
1978,940.703,873.951,1079.875,,967.534,,,964.637,
1979,1049.791,874.32,1080.363,,967.795,,,964.735,
1980,1042.821,874.736,1080.9,,968.12,,,964.908,
1981,1037.758,875.197,1081.484,,968.51,,,965.153,
1982,995.253,875.704,1082.116,,968.961,,,965.471,
1983,1189.871,876.255,1082.795,,969.474,,,965.859,
1984,839.735,876.849,1083.52,,970.046,,,966.316,
1985,815.626,877.486,1084.29,,970.676,,,966.841,
1986,884.188,878.165,1085.106,,971.362,,,967.434,
1987,938.438,878.885,1085.967,,972.104,,,968.092,
1988,938.277,879.646,1086.871,,972.9,,,968.815,
1989,935.877,880.445,1087.819,,973.748,,,969.6,
1990,988.331,881.284,1088.81,,974.647,,,970.448,
1991,895.53,882.16,1089.844,,975.596,,,971.357,
1992,940.405,883.073,1090.919,,976.593,,,972.325,
1993,1017.017,884.023,1092.036,,977.637,,,973.351,
1994,1111.352,885.008,1093.194,,978.726,,,974.435,
1995,922.992,886.028,1094.392,,979.859,,,975.574,
1996,1010.922,887.081,1095.63,,981.035,,,976.768,
1997,813.089,888.167,1096.906,,982.253,,,978.015,
1998,1086.71,889.286,1098.222,,983.51,,,979.314,
1999,1094.803,890.436,1099.575,,984.805,,,980.664,
2000,971.291,891.616,1100.966,,986.138,,,982.064,
2001,944.891,892.826,1102.395,,987.506,,,983.512,
2002,583.51,894.065,1103.859,,988.909,,,985.008,
2003,1094.806,895.333,1105.359,,990.344,,,986.549,
2004,926.708,896.627,1106.895,,991.811,,,988.135,
2005,1069.259,897.948,1108.466,,993.308,,,989.764,
2006,1034.682,899.035,1110.07,,994.833,,,991.436,
2007,993.254,,,899.92,996.386,1110.312,900.667,993.149,1111.709
2008,1052.452,,,900.814,997.964,1111.941,902.063,994.901,1113.38
2009,916.222,,,901.716,999.567,1113.591,903.482,996.692,1115.085
