Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,5.768,4.603,6.675,,5.542,,,5.545,
1951,6.154,4.606,6.665,,5.538,,,5.545,
1952,6.695,4.609,6.655,,5.536,,,5.545,
1953,7.558,4.613,6.647,,5.535,,,5.547,
1954,5.675,4.618,6.64,,5.535,,,5.55,
1955,6.189,4.624,6.634,,5.537,,,5.553,
1956,5.332,4.631,6.629,,5.539,,,5.558,
1957,6.384,4.64,6.625,,5.543,,,5.563,
1958,5.311,4.649,6.623,,5.549,,,5.569,
1959,6.208,4.659,6.621,,5.555,,,5.576,
1960,6.22,4.67,6.621,,5.563,,,5.584,
1961,6.156,4.682,6.622,,5.571,,,5.593,
1962,5.333,4.694,6.623,,5.581,,,5.603,
1963,5.373,4.708,6.626,,5.592,,,5.613,
1964,6.407,4.723,6.63,,5.604,,,5.625,
1965,5.673,4.738,6.635,,5.617,,,5.637,
1966,6.245,4.754,6.642,,5.631,,,5.65,
1967,5.671,4.769,6.649,,5.646,,,5.665,
1968,5.549,4.785,6.657,,5.662,,,5.679,
1969,6.029,4.801,6.667,,5.679,,,5.695,
1970,5.566,4.819,6.677,,5.697,,,5.712,
1971,5.692,4.837,6.689,,5.716,,,5.729,
1972,5.008,4.856,6.701,,5.736,,,5.747,
1973,7.075,4.876,6.715,,5.757,,,5.767,
1974,5.621,4.897,6.729,,5.779,,,5.786,
1975,6.64,4.919,6.745,,5.802,,,5.807,
1976,5.101,4.941,6.761,,5.825,,,5.829,
1977,6.238,4.965,6.779,,5.85,,,5.851,
1978,5.137,4.989,6.798,,5.875,,,5.874,
1979,6.534,5.014,6.817,,5.901,,,5.898,
1980,5.292,5.04,6.838,,5.928,,,5.923,
1981,6.446,5.066,6.86,,5.956,,,5.948,
1982,5.691,5.094,6.885,,5.984,,,5.975,
1983,6.569,5.122,6.911,,6.013,,,6.002,
1984,6.164,5.151,6.938,,6.043,,,6.03,
1985,5.523,5.18,6.966,,6.073,,,6.058,
1986,5.807,5.211,6.995,,6.104,,,6.088,
1987,6.323,5.242,7.025,,6.136,,,6.118,
1988,6.311,5.273,7.055,,6.169,,,6.149,
1989,5.276,5.306,7.087,,6.202,,,6.18,
1990,7.13,5.339,7.119,,6.236,,,6.213,
1991,6.927,5.373,7.152,,6.27,,,6.246,
1992,5.25,5.407,7.186,,6.305,,,6.28,
1993,5.405,5.442,7.221,,6.34,,,6.314,
1994,5.53,5.478,7.256,,6.376,,,6.35,
1995,6.398,5.515,7.292,,6.413,,,6.386,
1996,6.212,5.549,7.329,,6.45,,,6.423,
1997,5.551,5.583,7.366,,6.487,,,6.46,
1998,8.003,5.618,7.404,,6.525,,,6.498,
1999,7.703,5.653,7.443,,6.563,,,6.537,
2000,6.058,5.688,7.482,,6.602,,,6.577,
2001,7.396,5.723,7.522,,6.641,,,6.617,
2002,7.539,5.759,7.563,,6.681,,,6.658,
2003,5.962,5.795,7.604,,6.721,,,6.7,
2004,5.931,5.831,7.645,,6.761,,,6.742,
2005,6.893,5.868,7.687,,6.801,,,6.785,
2006,7.858,5.904,7.73,,6.842,,,6.829,
2007,6.258,,,5.941,6.883,7.773,6,6.873,7.751
2008,6.566,,,5.978,6.925,7.816,6.044,6.918,7.797
2009,6.254,,,6.015,6.967,7.86,6.088,6.964,7.844
2010,8.041,,,6.053,7.009,7.904,6.133,7.01,7.892
2011,7.599,,,6.09,7.051,7.949,6.179,7.057,7.94
2012,8.155,,,6.128,7.093,7.994,6.225,7.105,7.99
2013,6.777,,,6.166,7.136,8.039,6.271,7.153,8.04
