Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1046.841,891.683,1145.337,,1019.301,,,1022.426,
1951,1088.138,891.405,1144.404,,1018.707,,,1021.804,
1952,1081.318,891.165,1143.535,,1018.167,,,1021.23,
1953,928.31,890.962,1142.729,,1017.682,,,1020.705,
1954,1312.172,890.795,1141.986,,1017.248,,,1020.226,
1955,890.024,890.664,1141.305,,1016.867,,,1019.795,
1956,906.33,890.568,1140.685,,1016.537,,,1019.41,
1957,968.121,890.507,1140.125,,1016.257,,,1019.07,
1958,1043.025,890.481,1139.624,,1016.027,,,1018.776,
1959,945.633,890.488,1139.182,,1015.845,,,1018.527,
1960,934.16,890.529,1138.797,,1015.712,,,1018.322,
1961,928.654,890.602,1138.469,,1015.625,,,1018.161,
1962,984.981,890.708,1138.399,,1015.586,,,1018.043,
1963,968.507,890.845,1138.385,,1015.591,,,1017.967,
1964,779.638,891.013,1138.426,,1015.642,,,1017.934,
1965,916.28,891.212,1138.52,,1015.737,,,1017.942,
1966,907.078,891.441,1138.667,,1015.874,,,1017.991,
1967,888.213,891.7,1138.867,,1016.055,,,1018.081,
1968,927.052,891.987,1139.118,,1016.277,,,1018.211,
1969,996.945,892.303,1139.42,,1016.54,,,1018.38,
1970,908.699,892.647,1139.773,,1016.843,,,1018.588,
1971,997.042,893.018,1140.174,,1017.186,,,1018.835,
1972,1244.777,893.417,1140.624,,1017.567,,,1019.12,
1973,1145.277,893.841,1141.123,,1017.985,,,1019.442,
1974,1084.762,894.292,1141.668,,1018.441,,,1019.8,
1975,1031.456,894.63,1142.261,,1018.933,,,1020.195,
1976,1187.705,894.971,1142.899,,1019.46,,,1020.626,
1977,1049.8,895.341,1143.582,,1020.022,,,1021.092,
1978,983.582,895.74,1144.31,,1020.618,,,1021.593,
1979,1003.455,896.167,1145.081,,1021.247,,,1022.128,
1980,903.855,896.622,1145.896,,1021.908,,,1022.697,
1981,1097.609,897.104,1146.753,,1022.601,,,1023.299,
1982,900.768,897.613,1147.652,,1023.324,,,1023.934,
1983,1217.515,898.148,1148.591,,1024.077,,,1024.6,
1984,905.842,898.71,1149.571,,1024.86,,,1025.299,
1985,985.247,899.297,1150.591,,1025.67,,,1026.028,
1986,1108.344,899.909,1151.649,,1026.508,,,1026.788,
1987,922.322,900.546,1152.745,,1027.373,,,1027.577,
1988,866.298,901.208,1153.879,,1028.264,,,1028.397,
1989,929.41,901.894,1155.05,,1029.18,,,1029.245,
1990,1200.801,902.603,1156.256,,1030.121,,,1030.121,
1991,937.479,903.335,1157.498,,1031.085,,,1031.026,
1992,956.187,904.09,1158.774,,1032.072,,,1031.958,
1993,1182.629,904.868,1160.085,,1033.081,,,1032.916,
1994,1056.683,905.667,1161.428,,1034.111,,,1033.901,
1995,1088.646,906.488,1162.804,,1035.162,,,1034.912,
1996,1161.27,907.33,1164.212,,1036.232,,,1035.948,
1997,1029.391,908.193,1165.651,,1037.322,,,1037.008,
1998,981.946,909.075,1167.12,,1038.429,,,1038.093,
1999,987.768,909.978,1168.619,,1039.554,,,1039.202,
2000,1132.719,910.9,1170.146,,1040.695,,,1040.333,
2001,854.518,911.842,1171.702,,1041.852,,,1041.487,
