Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-7.112,-7.84,-5.72,,-6.967,,,-6.937,
1951,-6.033,-7.838,-5.741,,-6.966,,,-6.934,
1952,-5.162,-7.834,-5.76,,-6.964,,,-6.931,
1953,-5.919,-7.83,-5.778,,-6.961,,,-6.927,
1954,-6.651,-7.824,-5.794,,-6.957,,,-6.922,
1955,-4.382,-7.818,-5.809,,-6.951,,,-6.916,
1956,-7.492,-7.81,-5.821,,-6.944,,,-6.909,
1957,-6.883,-7.801,-5.832,,-6.937,,,-6.901,
1958,-5.359,-7.791,-5.841,,-6.927,,,-6.892,
1959,-6.491,-7.78,-5.849,,-6.917,,,-6.882,
1960,-5.431,-7.768,-5.854,,-6.906,,,-6.872,
1961,-5.344,-7.755,-5.858,,-6.893,,,-6.86,
1962,-6.363,-7.741,-5.861,,-6.88,,,-6.848,
1963,-6.6,-7.726,-5.862,,-6.865,,,-6.834,
1964,-7.253,-7.71,-5.861,,-6.85,,,-6.82,
1965,-7.093,-7.693,-5.858,,-6.833,,,-6.805,
1966,-4.69,-7.675,-5.854,,-6.816,,,-6.789,
1967,-7.249,-7.656,-5.848,,-6.797,,,-6.772,
1968,-5.324,-7.637,-5.841,,-6.777,,,-6.754,
1969,-5.706,-7.616,-5.828,,-6.757,,,-6.735,
1970,-6.516,-7.595,-5.81,,-6.735,,,-6.715,
1971,-6.282,-7.573,-5.791,,-6.713,,,-6.695,
1972,-9.779,-7.55,-5.771,,-6.689,,,-6.673,
1973,-5.332,-7.526,-5.75,,-6.665,,,-6.651,
1974,-7.041,-7.501,-5.727,,-6.64,,,-6.627,
1975,-6.26,-7.476,-5.703,,-6.614,,,-6.603,
1976,-7.518,-7.45,-5.678,,-6.587,,,-6.578,
1977,-5.008,-7.423,-5.651,,-6.559,,,-6.552,
1978,-7.887,-7.395,-5.624,,-6.531,,,-6.526,
1979,-6.028,-7.367,-5.595,,-6.501,,,-6.498,
1980,-5.866,-7.338,-5.566,,-6.471,,,-6.469,
1981,-4.427,-7.309,-5.535,,-6.441,,,-6.44,
1982,-7.58,-7.279,-5.503,,-6.409,,,-6.409,
1983,-7.275,-7.248,-5.47,,-6.377,,,-6.378,
1984,-6.562,-7.217,-5.436,,-6.344,,,-6.346,
1985,-5.601,-7.185,-5.402,,-6.31,,,-6.313,
1986,-7.007,-7.152,-5.366,,-6.275,,,-6.28,
1987,-6.017,-7.119,-5.329,,-6.24,,,-6.245,
1988,-6.44,-7.086,-5.291,,-6.204,,,-6.209,
1989,-7.73,-7.052,-5.253,,-6.168,,,-6.173,
1990,-7.524,-7.017,-5.213,,-6.131,,,-6.136,
1991,-6.897,-6.982,-5.173,,-6.093,,,-6.098,
1992,-8.603,-6.946,-5.132,,-6.055,,,-6.059,
1993,-7.403,-6.911,-5.09,,-6.017,,,-6.019,
1994,-6.417,-6.874,-5.047,,-5.977,,,-5.979,
1995,-5.358,-6.838,-5.004,,-5.937,,,-5.937,
1996,-4.92,-6.801,-4.96,,-5.897,,,-5.895,
1997,-5.65,-6.763,-4.915,,-5.856,,,-5.852,
1998,-4.482,-6.725,-4.869,,-5.815,,,-5.808,
1999,-4.082,-6.687,-4.823,,-5.773,,,-5.763,
2000,-4.713,-6.649,-4.776,,-5.731,,,-5.718,
2001,-3.983,-6.61,-4.729,,-5.688,,,-5.671,
2002,-6.818,-6.571,-4.681,,-5.645,,,-5.624,
2003,-4.462,-6.532,-4.632,,-5.601,,,-5.576,
2004,-5.71,-6.492,-4.583,,-5.557,,,-5.527,
2005,-4.315,-6.453,-4.533,,-5.513,,,-5.477,
2006,-3.144,-6.413,-4.483,,-5.468,,,-5.427,
2007,-5.646,,,-6.373,-5.423,-4.432,-6.314,-5.375,-4.453
2008,-5.249,,,-6.333,-5.378,-4.381,-6.269,-5.323,-4.392
2009,-5.171,,,-6.292,-5.333,-4.33,-6.223,-5.27,-4.331
2010,-1.641,,,-6.252,-5.287,-4.278,-6.176,-5.216,-4.268
2011,-5.051,,,-6.211,-5.24,-4.225,-6.129,-5.162,-4.204
2012,-4.2,,,-6.171,-5.194,-4.173,-6.082,-5.106,-4.14
2013,-5.309,,,-6.13,-5.147,-4.12,-6.034,-5.05,-4.074
2014,,,,-6.089,-5.101,-4.066,-5.986,-4.993,-4.007
2015,,,,-6.048,-5.053,-4.013,-5.937,-4.935,-3.939
2016,,,,-6.008,-5.006,-3.959,-5.888,-4.877,-3.871
2017,,,,-5.967,-4.959,-3.905,-5.838,-4.817,-3.801
2018,,,,-5.926,-4.911,-3.85,-5.788,-4.757,-3.73
2019,,,,-5.885,-4.863,-3.796,-5.737,-4.696,-3.658
2020,,,,-5.845,-4.815,-3.741,-5.686,-4.635,-3.586
2021,,,,-5.804,-4.768,-3.686,-5.635,-4.572,-3.512
2022,,,,-5.764,-4.719,-3.631,-5.583,-4.509,-3.438
2023,,,,-5.723,-4.671,-3.576,-5.53,-4.445,-3.362
2024,,,,-5.683,-4.623,-3.521,-5.478,-4.38,-3.286
2025,,,,-5.643,-4.575,-3.465,-5.425,-4.314,-3.209
2026,,,,-5.603,-4.527,-3.41,-5.371,-4.248,-3.131
2027,,,,-5.563,-4.478,-3.355,-5.317,-4.181,-3.052
2028,,,,-5.523,-4.43,-3.299,-5.263,-4.113,-2.972
2029,,,,-5.484,-4.382,-3.244,-5.208,-4.044,-2.892
2030,,,,-5.445,-4.334,-3.189,-5.153,-3.974,-2.81
2031,,,,-5.406,-4.285,-3.134,-5.098,-3.904,-2.728
2032,,,,-5.368,-4.237,-3.079,-5.042,-3.833,-2.645
2033,,,,-5.329,-4.189,-3.024,-4.986,-3.761,-2.562
2034,,,,-5.291,-4.142,-2.969,-4.93,-3.689,-2.477
2035,,,,-5.254,-4.094,-2.915,-4.873,-3.616,-2.392
2036,,,,-5.217,-4.046,-2.86,-4.816,-3.542,-2.306
2037,,,,-5.18,-3.999,-2.806,-4.759,-3.467,-2.219
2038,,,,-5.143,-3.951,-2.752,-4.701,-3.391,-2.132
2039,,,,-5.107,-3.904,-2.699,-4.643,-3.315,-2.044
2040,,,,-5.071,-3.857,-2.645,-4.585,-3.238,-1.955
2041,,,,-5.036,-3.811,-2.592,-4.527,-3.16,-1.865
2042,,,,-5.001,-3.764,-2.539,-4.468,-3.082,-1.775
2043,,,,-4.967,-3.718,-2.487,-4.409,-3.003,-1.684
2044,,,,-4.933,-3.672,-2.435,-4.349,-2.923,-1.593
