Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-6.454,-6.79,-4.79,,-6.019,,,-6.039,
1951,-4.94,-6.781,-4.806,,-6.013,,,-6.029,
1952,-4.174,-6.772,-4.82,,-6.007,,,-6.018,
1953,-4.757,-6.762,-4.833,,-5.999,,,-6.006,
1954,-5.484,-6.751,-4.844,,-5.991,,,-5.994,
1955,-3.608,-6.739,-4.854,,-5.981,,,-5.981,
1956,-6.503,-6.727,-4.862,,-5.971,,,-5.967,
1957,-5.477,-6.714,-4.868,,-5.959,,,-5.953,
1958,-4.442,-6.7,-4.874,,-5.946,,,-5.938,
1959,-5.528,-6.686,-4.877,,-5.933,,,-5.923,
1960,-4.595,-6.671,-4.88,,-5.918,,,-5.907,
1961,-4.371,-6.655,-4.88,,-5.903,,,-5.89,
1962,-5.652,-6.641,-4.88,,-5.886,,,-5.872,
1963,-5.764,-6.627,-4.878,,-5.869,,,-5.854,
1964,-6.275,-6.611,-4.874,,-5.85,,,-5.835,
1965,-6.687,-6.595,-4.869,,-5.831,,,-5.815,
1966,-3.707,-6.578,-4.863,,-5.811,,,-5.795,
1967,-5.867,-6.559,-4.855,,-5.79,,,-5.774,
1968,-4.483,-6.54,-4.846,,-5.768,,,-5.752,
1969,-4.694,-6.52,-4.835,,-5.746,,,-5.73,
1970,-5.628,-6.499,-4.821,,-5.722,,,-5.707,
1971,-5.4,-6.478,-4.803,,-5.698,,,-5.683,
1972,-8.531,-6.455,-4.784,,-5.673,,,-5.659,
1973,-3.98,-6.432,-4.763,,-5.647,,,-5.634,
1974,-6.296,-6.408,-4.742,,-5.621,,,-5.608,
1975,-5.349,-6.384,-4.719,,-5.593,,,-5.581,
1976,-6.383,-6.358,-4.695,,-5.565,,,-5.554,
1977,-4.136,-6.332,-4.67,,-5.536,,,-5.526,
1978,-6.404,-6.305,-4.643,,-5.507,,,-5.498,
