Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,662.912,535.646,678.126,,624.393,,,628.078,
1951,635.618,537.026,678.07,,624.252,,,627.738,
1952,668.76,538.392,678.058,,624.149,,,627.438,
1953,547.43,539.746,678.087,,624.083,,,627.177,
1954,488.763,541.088,678.159,,624.055,,,626.955,
1955,498.607,542.417,678.273,,624.062,,,626.771,
1956,561.375,543.734,678.428,,624.105,,,626.627,
1957,548.952,545.039,678.624,,624.183,,,626.52,
1958,683.01,546.333,678.86,,624.296,,,626.451,
1959,635.85,547.614,679.137,,624.443,,,626.42,
1960,604.257,548.883,679.454,,624.623,,,626.426,
1961,427.474,550.141,679.81,,624.837,,,626.469,
1962,411.99,551.388,680.206,,625.083,,,626.548,
1963,595.154,552.622,680.64,,625.361,,,626.664,
1964,638.126,553.846,681.112,,625.67,,,626.815,
1965,679.808,555.058,681.623,,626.01,,,627.002,
1966,642.837,556.259,682.171,,626.381,,,627.225,
1967,595.581,557.449,682.871,,626.781,,,627.482,
1968,639.279,558.629,683.79,,627.211,,,627.774,
1969,646.941,559.797,684.725,,627.669,,,628.101,
1970,538.134,560.954,685.675,,628.155,,,628.462,
1971,633.38,562.101,686.64,,628.67,,,628.856,
1972,557.618,563.238,687.619,,629.211,,,629.284,
1973,661.733,564.364,688.613,,629.779,,,629.745,
1974,573.356,565.479,689.621,,630.372,,,630.239,
1975,631.248,566.585,690.642,,630.992,,,630.765,
1976,604.388,567.68,691.677,,631.636,,,631.324,
1977,673.214,568.765,692.726,,632.305,,,631.915,
1978,696.015,569.841,693.787,,632.998,,,632.537,
1979,735.614,570.906,694.861,,633.714,,,633.19,
1980,676.388,571.962,695.947,,634.453,,,633.874,
1981,724.556,573.009,697.045,,635.214,,,634.589,
1982,745.615,574.045,698.155,,635.997,,,635.334,
1983,681.211,575.073,699.277,,636.801,,,636.11,
1984,647.455,576.091,700.409,,637.626,,,636.915,
1985,567.974,577.1,701.553,,638.471,,,637.749,
1986,620.907,578.1,702.707,,639.335,,,638.612,
1987,667.118,579.09,703.872,,640.219,,,639.505,
1988,571.039,580.072,705.046,,641.121,,,640.425,
1989,613.631,581.046,706.231,,642.041,,,641.374,
1990,653.204,582.01,707.424,,642.979,,,642.351,
1991,542.029,582.966,708.627,,643.934,,,643.355,
1992,656.608,583.914,709.839,,644.904,,,644.386,
1993,611.852,584.853,711.059,,645.891,,,645.445,
1994,568.981,585.783,712.288,,646.893,,,646.53,
1995,659.515,586.706,713.525,,647.91,,,647.641,
1996,664.846,587.621,714.769,,648.942,,,648.778,
1997,604.478,588.527,716.021,,649.987,,,649.941,
1998,681.636,589.426,717.284,,651.045,,,651.129,
1999,786.331,590.317,718.86,,652.115,,,652.342,
2000,717.771,591.201,720.46,,653.198,,,653.58,
2001,700.669,592.077,722.084,,654.292,,,654.842,
2002,370.643,592.945,723.733,,655.398,,,656.128,
2003,700.525,593.806,725.405,,656.514,,,657.438,
2004,749.529,594.66,727.1,,657.64,,,658.772,
2005,714.367,595.507,728.818,,658.775,,,660.128,
2006,705.828,596.347,730.558,,659.919,,,661.508,
2007,732.333,,,597.18,661.072,728.884,600.353,662.91,732.321
2008,698.68,,,598.006,662.232,730.199,601.42,664.334,734.104
2009,704.165,,,598.825,663.4,731.517,602.494,665.78,735.91
2010,644.482,,,599.638,664.574,732.839,603.575,667.248,737.736
2011,579.363,,,600.444,665.755,734.165,604.663,668.737,739.583
2012,674.042,,,601.244,666.941,735.493,605.758,670.247,741.449
2013,620.528,,,602.037,668.132,736.825,606.861,671.778,743.336
2014,,,,602.824,669.328,738.159,607.973,673.329,745.242
2015,,,,603.605,670.528,739.495,609.093,674.9,747.166
2016,,,,604.381,671.732,740.833,610.222,676.491,749.11
2017,,,,605.15,672.938,742.173,611.36,678.101,751.071
2018,,,,605.913,674.147,743.514,612.509,679.73,753.051
2019,,,,606.671,675.358,744.856,613.667,681.378,755.048
2020,,,,607.423,676.57,746.199,614.836,683.045,757.062
2021,,,,608.17,677.784,747.543,616.016,684.729,759.093
