Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-6.941,-7.757,-5.544,,-6.889,,,-6.858,
1951,-5.936,-7.754,-5.566,,-6.887,,,-6.855,
1952,-5.404,-7.75,-5.587,,-6.883,,,-6.851,
1953,-6.046,-7.745,-5.605,,-6.879,,,-6.845,
1954,-6.474,-7.739,-5.623,,-6.874,,,-6.839,
1955,-4.249,-7.731,-5.638,,-6.867,,,-6.833,
1956,-7.096,-7.723,-5.652,,-6.86,,,-6.825,
1957,-6.377,-7.714,-5.664,,-6.851,,,-6.816,
1958,-5.086,-7.704,-5.674,,-6.841,,,-6.807,
1959,-6.379,-7.692,-5.683,,-6.831,,,-6.796,
1960,-5.559,-7.68,-5.69,,-6.819,,,-6.785,
1961,-5.712,-7.667,-5.695,,-6.806,,,-6.773,
1962,-6.86,-7.653,-5.699,,-6.793,,,-6.76,
1963,-6.527,-7.638,-5.702,,-6.778,,,-6.746,
1964,-7.447,-7.622,-5.702,,-6.762,,,-6.732,
1965,-6.896,-7.605,-5.701,,-6.746,,,-6.716,
1966,-4.923,-7.588,-5.699,,-6.728,,,-6.7,
1967,-6.991,-7.569,-5.695,,-6.71,,,-6.683,
1968,-5.608,-7.55,-5.689,,-6.691,,,-6.665,
1969,-5.707,-7.53,-5.682,,-6.671,,,-6.646,
1970,-6.696,-7.509,-5.674,,-6.65,,,-6.626,
1971,-6.703,-7.487,-5.663,,-6.628,,,-6.606,
1972,-9.378,-7.465,-5.646,,-6.605,,,-6.584,
1973,-5.18,-7.442,-5.629,,-6.582,,,-6.562,
1974,-6.879,-7.418,-5.61,,-6.558,,,-6.539,
1975,-6.308,-7.394,-5.59,,-6.532,,,-6.516,
1976,-7.652,-7.368,-5.568,,-6.507,,,-6.491,
1977,-5.346,-7.342,-5.546,,-6.48,,,-6.466,
1978,-7.848,-7.316,-5.522,,-6.453,,,-6.439,
1979,-5.946,-7.289,-5.497,,-6.425,,,-6.412,
1980,-5.843,-7.261,-5.471,,-6.396,,,-6.384,
1981,-4.437,-7.233,-5.444,,-6.367,,,-6.356,
1982,-7.464,-7.204,-5.416,,-6.336,,,-6.326,
1983,-7.551,-7.174,-5.387,,-6.306,,,-6.296,
1984,-7.208,-7.144,-5.357,,-6.274,,,-6.265,
1985,-5.554,-7.113,-5.325,,-6.242,,,-6.233,
1986,-6.811,-7.082,-5.293,,-6.21,,,-6.2,
1987,-5.762,-7.051,-5.26,,-6.176,,,-6.167,
1988,-6.49,-7.018,-5.226,,-6.142,,,-6.132,
1989,-7.487,-6.986,-5.191,,-6.108,,,-6.097,
1990,-7.272,-6.953,-5.155,,-6.073,,,-6.061,
1991,-6.784,-6.919,-5.118,,-6.037,,,-6.025,
1992,-8.099,-6.886,-5.081,,-6.001,,,-5.987,
1993,-7.109,-6.851,-5.042,,-5.965,,,-5.949,
1994,-6.054,-6.817,-5.003,,-5.928,,,-5.91,
1995,-5.527,-6.782,-4.963,,-5.89,,,-5.87,
1996,-4.864,-6.746,-4.922,,-5.852,,,-5.83,
1997,-5.704,-6.711,-4.881,,-5.813,,,-5.789,
1998,-4.529,-6.675,-4.839,,-5.774,,,-5.746,
1999,-4.257,-6.638,-4.796,,-5.735,,,-5.704,
2000,-4.61,-6.602,-4.752,,-5.695,,,-5.66,
2001,-4.268,-6.565,-4.708,,-5.655,,,-5.616,
2002,-6.716,-6.528,-4.664,,-5.615,,,-5.571,
2003,-4.149,-6.491,-4.618,,-5.574,,,-5.525,
2004,-5.27,-6.453,-4.572,,-5.532,,,-5.478,
2005,-4.234,-6.415,-4.525,,-5.491,,,-5.431,
2006,-2.904,-6.378,-4.471,,-5.449,,,-5.383,
2007,-5.04,,,-6.34,-5.407,-4.432,-6.292,-5.334,-4.415
2008,-5.065,,,-6.301,-5.364,-4.384,-6.248,-5.284,-4.359
2009,-5.196,,,-6.263,-5.321,-4.335,-6.204,-5.234,-4.302
2010,-1.252,,,-6.225,-5.278,-4.287,-6.16,-5.183,-4.243
2011,-4.972,,,-6.186,-5.235,-4.238,-6.115,-5.131,-4.184
2012,-3.88,,,-6.148,-5.191,-4.188,-6.069,-5.078,-4.124
2013,-4.926,,,-6.109,-5.148,-4.138,-6.023,-5.025,-4.062
2014,,,,-6.07,-5.104,-4.088,-5.977,-4.971,-4
2015,,,,-6.032,-5.06,-4.038,-5.93,-4.916,-3.937
2016,,,,-5.993,-5.015,-3.987,-5.883,-4.861,-3.873
2017,,,,-5.954,-4.971,-3.936,-5.835,-4.804,-3.808
2018,,,,-5.916,-4.926,-3.885,-5.787,-4.747,-3.742
2019,,,,-5.877,-4.882,-3.833,-5.738,-4.69,-3.675
2020,,,,-5.839,-4.837,-3.781,-5.689,-4.631,-3.608
2021,,,,-5.8,-4.792,-3.73,-5.64,-4.572,-3.539
2022,,,,-5.762,-4.747,-3.678,-5.59,-4.513,-3.47
2023,,,,-5.724,-4.702,-3.626,-5.539,-4.452,-3.4
2024,,,,-5.686,-4.657,-3.573,-5.488,-4.391,-3.329
2025,,,,-5.648,-4.611,-3.521,-5.437,-4.329,-3.257
2026,,,,-5.61,-4.566,-3.469,-5.386,-4.266,-3.184
2027,,,,-5.572,-4.521,-3.417,-5.334,-4.203,-3.111
2028,,,,-5.535,-4.476,-3.364,-5.281,-4.139,-3.037
2029,,,,-5.498,-4.431,-3.312,-5.229,-4.074,-2.962
2030,,,,-5.461,-4.386,-3.26,-5.175,-4.009,-2.886
2031,,,,-5.424,-4.341,-3.208,-5.122,-3.943,-2.81
2032,,,,-5.388,-4.296,-3.156,-5.068,-3.876,-2.733
2033,,,,-5.352,-4.251,-3.104,-5.014,-3.809,-2.655
2034,,,,-5.316,-4.206,-3.052,-4.959,-3.741,-2.577
2035,,,,-5.28,-4.161,-3,-4.904,-3.672,-2.498
2036,,,,-5.245,-4.117,-2.949,-4.849,-3.602,-2.418
2037,,,,-5.21,-4.073,-2.897,-4.794,-3.532,-2.338
2038,,,,-5.176,-4.028,-2.846,-4.738,-3.461,-2.256
2039,,,,-5.142,-3.984,-2.796,-4.682,-3.39,-2.175
2040,,,,-5.108,-3.94,-2.745,-4.625,-3.318,-2.092
2041,,,,-5.075,-3.897,-2.695,-4.568,-3.245,-2.009
2042,,,,-5.042,-3.853,-2.645,-4.511,-3.171,-1.926
2043,,,,-5.01,-3.81,-2.596,-4.454,-3.097,-1.842
2044,,,,-4.978,-3.767,-2.547,-4.396,-3.022,-1.757
2045,,,,-4.946,-3.724,-2.498,-4.338,-2.947,-1.672
2046,,,,-4.915,-3.682,-2.45,-4.28,-2.871,-1.586
2047,,,,-4.885,-3.64,-2.402,-4.222,-2.794,-1.5
2048,,,,-4.855,-3.598,-2.354,-4.163,-2.717,-1.413
2049,,,,-4.826,-3.557,-2.308,-4.104,-2.638,-1.326
2050,,,,-4.797,-3.516,-2.261,-4.045,-2.56,-1.238
2051,,,,-4.769,-3.475,-2.215,-3.985,-2.48,-1.15
2052,,,,-4.742,-3.434,-2.17,-3.926,-2.4,-1.061
2053,,,,-4.715,-3.394,-2.125,-3.866,-2.32,-0.972
2054,,,,-4.688,-3.355,-2.081,-3.806,-2.238,-0.882
2055,,,,-4.663,-3.316,-2.038,-3.745,-2.157,-0.792
2056,,,,-4.638,-3.277,-1.995,-3.685,-2.074,-0.702
2057,,,,-4.614,-3.238,-1.953,-3.624,-1.991,-0.611
2058,,,,-4.59,-3.201,-1.912,-3.563,-1.907,-0.52
2059,,,,-4.567,-3.163,-1.871,-3.502,-1.823,-0.428
2060,,,,-4.545,-3.126,-1.831,-3.441,-1.738,-0.336
2061,,,,-4.524,-3.09,-1.792,-3.379,-1.652,-0.244
2062,,,,-4.504,-3.054,-1.753,-3.317,-1.566,-0.152
2063,,,,-4.484,-3.019,-1.716,-3.256,-1.479,-0.059
2064,,,,-4.465,-2.984,-1.679,-3.194,-1.391,0.035
2065,,,,-4.447,-2.95,-1.643,-3.132,-1.303,0.128
2066,,,,-4.43,-2.916,-1.608,-3.069,-1.215,0.222
2067,,,,-4.414,-2.883,-1.574,-3.007,-1.125,0.316
2068,,,,-4.398,-2.851,-1.541,-2.944,-1.035,0.41
2069,,,,-4.383,-2.819,-1.509,-2.882,-0.945,0.505
2070,,,,-4.37,-2.788,-1.478,-2.819,-0.854,0.6
2071,,,,-4.357,-2.757,-1.448,-2.756,-0.762,0.695
2072,,,,-4.345,-2.727,-1.419,-2.693,-0.67,0.79
2073,,,,-4.335,-2.698,-1.39,-2.63,-0.577,0.886
2074,,,,-4.325,-2.67,-1.363,-2.567,-0.484,0.981
2075,,,,-4.316,-2.642,-1.338,-2.503,-0.39,1.077
2076,,,,-4.308,-2.615,-1.313,-2.44,-0.295,1.173
2077,,,,-4.301,-2.589,-1.289,-2.377,-0.2,1.269
