Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,636.097,487.14,649.814,,571.04,,,568.722,
1951,588.427,488.373,649.836,,571.127,,,569.038,
1952,597.159,489.601,649.886,,571.245,,,569.373,
1953,487.122,490.826,649.964,,571.392,,,569.728,
1954,429.201,492.046,650.071,,571.569,,,570.103,
1955,541.316,493.263,650.207,,571.774,,,570.497,
1956,533.04,494.475,650.37,,572.008,,,570.911,
1957,562.064,495.683,650.561,,572.269,,,571.345,
1958,758.138,496.886,650.781,,572.559,,,571.798,
1959,626.218,498.085,651.028,,572.875,,,572.27,
1960,491.219,499.28,651.304,,573.218,,,572.762,
1961,349.018,500.471,651.607,,573.587,,,573.273,
1962,464.826,501.657,651.938,,573.982,,,573.803,
1963,583.948,502.838,652.296,,574.402,,,574.353,
1964,551.055,504.015,652.682,,574.848,,,574.922,
1965,568.318,505.187,653.096,,575.318,,,575.51,
1966,487.01,506.355,653.537,,575.812,,,576.117,
1967,509.067,507.269,654.006,,576.33,,,576.744,
1968,545.105,508.055,654.725,,576.872,,,577.389,
1969,536.402,508.845,655.479,,577.436,,,578.054,
1970,530.637,509.641,656.253,,578.023,,,578.737,
1971,572.263,510.443,657.047,,578.632,,,579.44,
1972,488.685,511.25,657.86,,579.263,,,580.161,
1973,630.132,512.063,658.693,,579.915,,,580.901,
1974,549.049,512.882,659.544,,580.588,,,581.66,
1975,578.157,513.707,660.413,,581.281,,,582.438,
1976,579.997,514.539,661.301,,581.994,,,583.235,
1977,586.006,515.378,662.205,,582.727,,,584.05,
1978,587.928,516.223,663.127,,583.479,,,584.884,
1979,646.077,517.076,664.065,,584.25,,,585.737,
1980,615.609,517.935,665.02,,585.039,,,586.608,
1981,650.978,518.802,665.99,,585.846,,,587.498,
1982,585.16,519.676,666.976,,586.67,,,588.406,
1983,558.913,520.559,667.977,,587.512,,,589.333,
1984,624.165,521.449,668.992,,588.37,,,590.278,
1985,710.069,522.347,670.022,,589.245,,,591.242,
1986,575.917,523.254,671.065,,590.135,,,592.224,
1987,648.657,524.169,672.122,,591.041,,,593.224,
1988,658.817,525.092,673.192,,591.962,,,594.242,
1989,602.755,526.025,674.274,,592.898,,,595.279,
1990,543.122,526.966,675.368,,593.847,,,596.334,
1991,465.185,527.917,676.475,,594.811,,,597.407,
1992,514.907,528.877,677.592,,595.787,,,598.498,
1993,570.167,529.847,678.721,,596.777,,,599.607,
1994,586.936,530.826,679.86,,597.779,,,600.734,
1995,617.674,531.816,681.009,,598.793,,,601.879,
1996,648.645,532.815,682.168,,599.819,,,603.042,
1997,691.022,533.825,683.336,,600.856,,,604.223,
1998,653.192,534.845,684.513,,601.904,,,605.422,
1999,777.034,535.876,685.699,,602.963,,,606.638,
2000,668.376,536.918,686.893,,604.031,,,607.873,
2001,627.007,537.971,688.094,,605.109,,,609.125,
2002,323.01,539.035,689.303,,606.196,,,610.395,
2003,709.746,540.11,690.519,,607.292,,,611.682,
2004,737.137,541.198,691.741,,608.396,,,612.987,
2005,742.452,542.296,692.969,,609.508,,,614.31,
2006,706.646,543.407,694.203,,610.628,,,615.65,
2007,693.062,,,549.809,611.755,695.442,544.53,617.007,694.406
2008,740.814,,,550.75,612.888,696.686,545.666,618.382,695.937
2009,644.178,,,551.684,614.027,697.935,546.813,619.775,697.493
2010,670.035,,,552.612,615.173,699.187,547.974,621.185,699.073
2011,579.836,,,553.534,616.324,700.443,549.147,622.612,700.677
2012,689.276,,,554.449,617.479,701.703,550.334,624.056,702.306
2013,623.919,,,555.359,618.64,702.965,551.533,625.518,703.959
2014,,,,556.261,619.804,704.229,552.747,626.996,705.636
2015,,,,557.157,620.973,705.496,553.973,628.492,707.337
2016,,,,558.047,622.144,706.764,555.214,630.005,709.061
2017,,,,558.93,623.319,708.034,556.468,631.536,710.81
2018,,,,559.807,624.496,709.304,557.737,633.083,712.583
2019,,,,560.677,625.675,710.575,559.02,634.647,714.379
2020,,,,561.541,626.856,711.845,560.317,636.228,716.199
