Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-8.773,-9.359,-7.27,,-8.562,,,-8.504,
1951,-7.956,-9.354,-7.291,,-8.554,,,-8.497,
1952,-7.006,-9.349,-7.31,,-8.546,,,-8.488,
1953,-7.599,-9.342,-7.327,,-8.537,,,-8.479,
1954,-8.299,-9.333,-7.342,,-8.526,,,-8.468,
1955,-6.303,-9.324,-7.356,,-8.514,,,-8.457,
1956,-8.951,-9.314,-7.367,,-8.502,,,-8.445,
1957,-8.704,-9.302,-7.377,,-8.488,,,-8.432,
1958,-7.249,-9.29,-7.385,,-8.473,,,-8.419,
1959,-8.46,-9.277,-7.392,,-8.457,,,-8.404,
1960,-6.702,-9.262,-7.396,,-8.44,,,-8.388,
1961,-7.093,-9.247,-7.399,,-8.422,,,-8.372,
1962,-8.137,-9.23,-7.4,,-8.403,,,-8.355,
1963,-8.624,-9.213,-7.4,,-8.383,,,-8.337,
1964,-8.686,-9.194,-7.397,,-8.362,,,-8.318,
1965,-8.856,-9.175,-7.393,,-8.34,,,-8.298,
1966,-6.273,-9.155,-7.388,,-8.317,,,-8.277,
1967,-9.201,-9.134,-7.38,,-8.293,,,-8.256,
1968,-6.694,-9.112,-7.358,,-8.268,,,-8.233,
1969,-7.026,-9.089,-7.334,,-8.242,,,-8.21,
1970,-7.561,-9.065,-7.309,,-8.216,,,-8.186,
1971,-6.767,-9.041,-7.283,,-8.189,,,-8.161,
1972,-11.41,-9.016,-7.256,,-8.16,,,-8.135,
1973,-7.068,-8.991,-7.228,,-8.131,,,-8.108,
1974,-8.778,-8.967,-7.199,,-8.101,,,-8.081,
1975,-7.6,-8.942,-7.169,,-8.071,,,-8.053,
1976,-9.392,-8.916,-7.138,,-8.039,,,-8.023,
1977,-6.598,-8.889,-7.106,,-8.007,,,-7.993,
1978,-9.909,-8.862,-7.073,,-7.974,,,-7.962,
1979,-7.981,-8.834,-7.038,,-7.94,,,-7.931,
1980,-7.215,-8.805,-7.003,,-7.906,,,-7.898,
1981,-6.285,-8.775,-6.967,,-7.871,,,-7.865,
1982,-9.006,-8.744,-6.93,,-7.835,,,-7.83,
1983,-9.167,-8.713,-6.893,,-7.798,,,-7.795,
1984,-8.117,-8.68,-6.854,,-7.761,,,-7.759,
1985,-6.679,-8.647,-6.814,,-7.723,,,-7.723,
1986,-8.541,-8.613,-6.774,,-7.685,,,-7.685,
1987,-7.423,-8.579,-6.733,,-7.646,,,-7.647,
1988,-7.656,-8.543,-6.691,,-7.606,,,-7.607,
1989,-9.299,-8.507,-6.648,,-7.566,,,-7.567,
1990,-9.244,-8.47,-6.605,,-7.525,,,-7.526,
1991,-8.126,-8.433,-6.561,,-7.484,,,-7.485,
1992,-10.054,-8.394,-6.516,,-7.442,,,-7.442,
1993,-8.805,-8.355,-6.47,,-7.4,,,-7.399,
1994,-8.03,-8.316,-6.424,,-7.357,,,-7.354,
1995,-6.88,-8.275,-6.377,,-7.314,,,-7.309,
1996,-6.553,-8.234,-6.329,,-7.27,,,-7.264,
1997,-6.955,-8.193,-6.281,,-7.226,,,-7.217,
1998,-5.784,-8.15,-6.232,,-7.181,,,-7.169,
1999,-5.549,-8.107,-6.183,,-7.136,,,-7.121,
2000,-6.274,-8.063,-6.133,,-7.091,,,-7.072,
2001,-5.269,-8.019,-6.083,,-7.045,,,-7.022,
2002,-7.993,-7.974,-6.032,,-6.998,,,-6.971,
2003,-6.038,-7.932,-5.98,,-6.952,,,-6.92,
2004,-7.431,-7.891,-5.929,,-6.905,,,-6.868,
2005,-5.881,-7.849,-5.876,,-6.858,,,-6.814,
2006,-4.683,-7.807,-5.823,,-6.81,,,-6.76,
2007,-7.417,,,-7.765,-6.762,-5.77,-7.739,-6.706,-5.857
2008,-6.883,,,-7.723,-6.714,-5.717,-7.691,-6.65,-5.792
2009,-6.562,,,-7.68,-6.666,-5.663,-7.642,-6.594,-5.726
2010,-3.432,,,-7.638,-6.617,-5.608,-7.592,-6.537,-5.658
2011,-6.852,,,-7.595,-6.568,-5.554,-7.541,-6.479,-5.59
2012,-6.275,,,-7.552,-6.519,-5.499,-7.49,-6.42,-5.52
2013,-7.703,,,-7.51,-6.47,-5.443,-7.439,-6.36,-5.449
2014,,,,-7.467,-6.421,-5.388,-7.387,-6.3,-5.377
2015,,,,-7.424,-6.371,-5.332,-7.335,-6.239,-5.304
2016,,,,-7.381,-6.321,-5.276,-7.282,-6.177,-5.23
2017,,,,-7.338,-6.271,-5.22,-7.228,-6.114,-5.154
2018,,,,-7.295,-6.221,-5.163,-7.174,-6.051,-5.078
2019,,,,-7.252,-6.171,-5.107,-7.119,-5.987,-5.001
2020,,,,-7.209,-6.121,-5.05,-7.064,-5.921,-4.923
2021,,,,-7.167,-6.071,-4.993,-7.009,-5.856,-4.843
2022,,,,-7.124,-6.02,-4.936,-6.953,-5.789,-4.763
2023,,,,-7.081,-5.97,-4.879,-6.897,-5.722,-4.682
2024,,,,-7.039,-5.92,-4.821,-6.84,-5.653,-4.599
2025,,,,-6.997,-5.869,-4.764,-6.783,-5.584,-4.516
2026,,,,-6.955,-5.819,-4.707,-6.725,-5.515,-4.432
2027,,,,-6.913,-5.769,-4.649,-6.667,-5.444,-4.347
2028,,,,-6.871,-5.718,-4.592,-6.608,-5.373,-4.261
2029,,,,-6.829,-5.668,-4.534,-6.549,-5.301,-4.174
2030,,,,-6.788,-5.618,-4.477,-6.49,-5.228,-4.086
2031,,,,-6.747,-5.568,-4.42,-6.43,-5.154,-3.997
2032,,,,-6.706,-5.518,-4.363,-6.37,-5.08,-3.908
2033,,,,-6.666,-5.468,-4.306,-6.31,-5.005,-3.817
2034,,,,-6.625,-5.419,-4.249,-6.249,-4.929,-3.726
2035,,,,-6.586,-5.369,-4.192,-6.188,-4.852,-3.634
2036,,,,-6.546,-5.32,-4.135,-6.126,-4.775,-3.541
2037,,,,-6.507,-5.27,-4.078,-6.064,-4.697,-3.447
2038,,,,-6.468,-5.221,-4.022,-6.002,-4.618,-3.353
2039,,,,-6.429,-5.173,-3.966,-5.94,-4.538,-3.257
2040,,,,-6.391,-5.124,-3.91,-5.877,-4.457,-3.161
2041,,,,-6.354,-5.076,-3.855,-5.814,-4.376,-3.064
2042,,,,-6.317,-5.028,-3.799,-5.75,-4.294,-2.967
2043,,,,-6.28,-4.98,-3.744,-5.687,-4.212,-2.868
2044,,,,-6.244,-4.933,-3.689,-5.623,-4.128,-2.769
2045,,,,-6.208,-4.886,-3.635,-5.559,-4.044,-2.67
2046,,,,-6.173,-4.839,-3.581,-5.494,-3.959,-2.569
