Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-6.189,-6.754,-4.808,,-5.966,,,-5.965,
1951,-4.985,-6.75,-4.822,,-5.963,,,-5.959,
1952,-4.4,-6.746,-4.835,,-5.959,,,-5.953,
1953,-5.046,-6.74,-4.845,,-5.954,,,-5.946,
1954,-5.583,-6.734,-4.855,,-5.947,,,-5.938,
1955,-3.638,-6.726,-4.863,,-5.94,,,-5.929,
1956,-6.505,-6.718,-4.87,,-5.932,,,-5.92,
1957,-5.391,-6.709,-4.875,,-5.922,,,-5.91,
1958,-4.307,-6.699,-4.879,,-5.912,,,-5.899,
1959,-5.341,-6.689,-4.881,,-5.9,,,-5.887,
1960,-4.489,-6.677,-4.882,,-5.888,,,-5.874,
1961,-4.35,-6.664,-4.882,,-5.874,,,-5.86,
1962,-6.086,-6.654,-4.88,,-5.86,,,-5.846,
1963,-5.83,-6.642,-4.877,,-5.845,,,-5.831,
1964,-6.516,-6.63,-4.873,,-5.829,,,-5.815,
1965,-6.478,-6.617,-4.867,,-5.812,,,-5.798,
1966,-4.002,-6.603,-4.86,,-5.794,,,-5.781,
1967,-5.844,-6.588,-4.852,,-5.775,,,-5.763,
1968,-4.746,-6.571,-4.842,,-5.755,,,-5.744,
1969,-4.851,-6.554,-4.831,,-5.735,,,-5.724,
1970,-5.869,-6.536,-4.818,,-5.713,,,-5.703,
1971,-5.664,-6.517,-4.8,,-5.691,,,-5.682,
1972,-8.536,-6.497,-4.782,,-5.668,,,-5.659,
1973,-4.063,-6.476,-4.763,,-5.644,,,-5.636,
1974,-6.337,-6.455,-4.742,,-5.62,,,-5.613,
1975,-5.727,-6.432,-4.72,,-5.594,,,-5.588,
1976,-6.603,-6.409,-4.697,,-5.568,,,-5.563,
1977,-4.393,-6.384,-4.673,,-5.541,,,-5.537,
1978,-6.47,-6.36,-4.648,,-5.514,,,-5.51,
1979,-4.476,-6.334,-4.622,,-5.485,,,-5.482,
1980,-4.824,-6.307,-4.595,,-5.457,,,-5.454,
1981,-2.978,-6.28,-4.566,,-5.427,,,-5.425,
1982,-6.155,-6.252,-4.537,,-5.397,,,-5.395,
1983,-5.541,-6.224,-4.507,,-5.366,,,-5.364,
1984,-5.456,-6.194,-4.475,,-5.334,,,-5.333,
1985,-4.905,-6.165,-4.443,,-5.302,,,-5.301,
1986,-5.875,-6.134,-4.41,,-5.269,,,-5.268,
1987,-4.195,-6.103,-4.376,,-5.236,,,-5.234,
1988,-5.532,-6.071,-4.341,,-5.202,,,-5.199,
1989,-6.086,-6.039,-4.305,,-5.168,,,-5.164,
1990,-6.36,-6.006,-4.269,,-5.133,,,-5.128,
1991,-6.044,-5.973,-4.231,,-5.097,,,-5.092,
1992,-7.174,-5.939,-4.193,,-5.061,,,-5.054,
1993,-6.068,-5.905,-4.154,,-5.025,,,-5.016,
1994,-5.396,-5.87,-4.114,,-4.988,,,-4.977,
1995,-4.683,-5.835,-4.074,,-4.95,,,-4.937,
1996,-4.031,-5.799,-4.032,,-4.912,,,-4.897,
1997,-5.033,-5.763,-3.991,,-4.874,,,-4.856,
1998,-3.437,-5.727,-3.948,,-4.835,,,-4.814,
1999,-2.904,-5.69,-3.905,,-4.796,,,-4.771,
2000,-3.679,-5.653,-3.861,,-4.756,,,-4.728,
2001,-2.993,-5.615,-3.817,,-4.716,,,-4.684,
2002,-5.778,-5.578,-3.772,,-4.676,,,-4.639,
