Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,756.357,601.941,769.807,,690.058,,,695.8,
1951,651.03,602.943,769.677,,690.108,,,695.471,
1952,697.421,603.945,769.588,,690.195,,,695.185,
1953,586.784,604.945,769.541,,690.321,,,694.94,
1954,576.782,605.943,769.535,,690.482,,,694.738,
1955,516.567,606.94,769.57,,690.68,,,694.578,
1956,603.174,607.936,769.645,,690.914,,,694.459,
1957,654.404,608.93,769.76,,691.182,,,694.381,
1958,823.082,609.923,769.915,,691.484,,,694.343,
1959,741.327,610.914,770.109,,691.821,,,694.346,
1960,648.47,611.904,770.343,,692.19,,,694.389,
1961,413.042,612.892,770.616,,692.593,,,694.471,
1962,481.99,613.879,770.928,,693.027,,,694.593,
1963,635.108,614.863,771.278,,693.493,,,694.754,
1964,643.682,615.846,771.667,,693.99,,,694.954,
1965,749.48,616.828,772.093,,694.517,,,695.192,
1966,718.237,617.621,772.752,,695.073,,,695.468,
1967,645.489,618.262,773.541,,695.659,,,695.782,
1968,692.491,618.919,774.352,,696.274,,,696.134,
1969,665.915,619.592,775.185,,696.917,,,696.522,
1970,580.395,620.28,776.04,,697.587,,,696.947,
1971,733.56,620.984,776.915,,698.284,,,697.409,
1972,606.821,621.703,777.811,,699.007,,,697.907,
1973,702.512,622.438,778.728,,699.756,,,698.44,
1974,645.776,623.189,779.663,,700.531,,,699.01,
1975,769.305,623.955,780.619,,701.329,,,699.614,
1976,759.331,624.737,781.593,,702.152,,,700.253,
1977,746.068,625.534,782.586,,702.999,,,700.926,
1978,679.461,626.347,783.597,,703.868,,,701.634,
1979,811.836,627.175,784.625,,704.759,,,702.376,
1980,784.27,628.019,785.671,,705.673,,,703.151,
1981,735.175,628.879,786.734,,706.607,,,703.959,
1982,758.048,629.753,787.814,,707.562,,,704.8,
1983,781.866,630.644,788.91,,708.537,,,705.674,
1984,736.433,631.55,790.021,,709.531,,,706.58,
1985,712.016,632.471,791.148,,710.545,,,707.518,
1986,690.605,633.408,792.29,,711.576,,,708.487,
1987,786.305,634.36,793.446,,712.626,,,709.488,
1988,746.201,635.328,794.617,,713.692,,,710.519,
1989,782.35,636.311,795.801,,714.775,,,711.581,
1990,746.29,637.31,796.999,,715.874,,,712.674,
1991,562.596,638.324,798.21,,716.988,,,713.796,
1992,693.515,639.353,799.434,,718.118,,,714.948,
1993,585.033,640.398,800.669,,719.261,,,716.129,
1994,622.596,641.458,801.917,,720.418,,,717.34,
1995,648.829,642.534,803.175,,721.589,,,718.579,
1996,657.815,643.624,804.445,,722.772,,,719.846,
1997,658.879,644.731,805.726,,723.967,,,721.141,
1998,748.02,645.852,807.016,,725.173,,,722.464,
1999,893.26,646.989,808.317,,726.39,,,723.814,
2000,741.842,648.141,809.626,,727.617,,,725.192,
2001,737,649.309,810.945,,728.854,,,726.596,
2002,364.146,650.491,812.273,,730.1,,,728.026,
2003,772.326,651.689,813.609,,731.355,,,729.483,
2004,829.467,652.903,815.294,,732.618,,,730.965,
2005,794.94,654.131,817.007,,733.888,,,732.472,
2006,779.74,655.108,818.745,,735.164,,,734.005,
