Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-7.05,-7.185,-5.142,,-6.347,,,-6.338,
1951,-5.456,-7.177,-5.156,,-6.343,,,-6.331,
1952,-4.692,-7.168,-5.169,,-6.339,,,-6.323,
1953,-5.122,-7.158,-5.18,,-6.333,,,-6.315,
1954,-5.792,-7.147,-5.189,,-6.326,,,-6.305,
1955,-3.931,-7.136,-5.197,,-6.317,,,-6.295,
1956,-6.872,-7.123,-5.204,,-6.308,,,-6.284,
1957,-6.149,-7.109,-5.208,,-6.297,,,-6.272,
1958,-5.181,-7.095,-5.212,,-6.286,,,-6.259,
1959,-6.416,-7.079,-5.214,,-6.273,,,-6.246,
1960,-4.983,-7.063,-5.214,,-6.259,,,-6.231,
1961,-4.911,-7.046,-5.213,,-6.244,,,-6.216,
1962,-5.98,-7.028,-5.211,,-6.229,,,-6.2,
1963,-6.374,-7.009,-5.207,,-6.212,,,-6.184,
1964,-6.527,-6.989,-5.201,,-6.194,,,-6.166,
1965,-7.455,-6.969,-5.194,,-6.175,,,-6.148,
1966,-4.139,-6.947,-5.186,,-6.155,,,-6.129,
1967,-6.668,-6.925,-5.176,,-6.134,,,-6.109,
1968,-4.654,-6.903,-5.165,,-6.112,,,-6.088,
1969,-5.112,-6.879,-5.148,,-6.09,,,-6.067,
1970,-5.932,-6.855,-5.127,,-6.066,,,-6.045,
1971,-5.39,-6.83,-5.105,,-6.041,,,-6.022,
1972,-8.999,-6.804,-5.082,,-6.016,,,-5.998,
1973,-4.464,-6.778,-5.057,,-5.99,,,-5.973,
1974,-6.636,-6.751,-5.032,,-5.963,,,-5.948,
1975,-5.256,-6.723,-5.005,,-5.935,,,-5.921,
1976,-7.056,-6.695,-4.977,,-5.906,,,-5.894,
1977,-4.581,-6.666,-4.948,,-5.877,,,-5.867,
1978,-7.173,-6.636,-4.918,,-5.846,,,-5.838,
1979,-5.547,-6.606,-4.887,,-5.815,,,-5.809,
1980,-5.462,-6.576,-4.855,,-5.783,,,-5.778,
1981,-4.045,-6.544,-4.822,,-5.751,,,-5.747,
1982,-6.401,-6.513,-4.788,,-5.717,,,-5.716,
1983,-5.989,-6.48,-4.753,,-5.683,,,-5.683,
1984,-5.372,-6.448,-4.718,,-5.649,,,-5.65,
1985,-5.28,-6.414,-4.681,,-5.613,,,-5.616,
1986,-6.481,-6.381,-4.643,,-5.578,,,-5.581,
1987,-4.771,-6.347,-4.605,,-5.541,,,-5.545,
1988,-5.51,-6.312,-4.565,,-5.504,,,-5.508,
1989,-7.11,-6.277,-4.525,,-5.466,,,-5.471,
1990,-6.803,-6.242,-4.484,,-5.427,,,-5.433,
1991,-5.969,-6.206,-4.443,,-5.388,,,-5.394,
1992,-7.741,-6.17,-4.4,,-5.349,,,-5.354,
1993,-6.39,-6.133,-4.357,,-5.309,,,-5.314,
1994,-5.882,-6.096,-4.313,,-5.268,,,-5.273,
1995,-4.98,-6.059,-4.268,,-5.227,,,-5.23,
1996,-4.781,-6.022,-4.223,,-5.185,,,-5.188,
1997,-5.298,-5.984,-4.177,,-5.143,,,-5.144,
1998,-3.237,-5.946,-4.13,,-5.101,,,-5.1,
1999,-2.924,-5.908,-4.083,,-5.058,,,-5.054,
2000,-4.304,-5.869,-4.035,,-5.014,,,-5.008,
2001,-2.787,-5.83,-3.987,,-4.971,,,-4.961,
2002,-6.161,-5.791,-3.938,,-4.926,,,-4.914,
2003,-4.455,-5.752,-3.889,,-4.882,,,-4.866,
2004,-5.508,-5.713,-3.839,,-4.837,,,-4.816,
2005,-3.605,-5.673,-3.788,,-4.792,,,-4.766,
2006,-2.465,-5.633,-3.738,,-4.746,,,-4.716,
2007,-5.329,,,-5.594,-4.7,-3.686,-5.531,-4.664,-3.73
2008,-4.301,,,-5.554,-4.654,-3.635,-5.485,-4.612,-3.67
2009,-4.416,,,-5.514,-4.607,-3.582,-5.439,-4.559,-3.609
2010,-1.442,,,-5.474,-4.561,-3.53,-5.392,-4.505,-3.547
2011,-4.064,,,-5.433,-4.514,-3.477,-5.344,-4.45,-3.484
2012,-3.675,,,-5.393,-4.466,-3.424,-5.296,-4.395,-3.42
2013,-4.682,,,-5.353,-4.419,-3.37,-5.248,-4.338,-3.354
2014,,,,-5.313,-4.371,-3.317,-5.199,-4.281,-3.288
2015,,,,-5.272,-4.323,-3.262,-5.15,-4.224,-3.221
2016,,,,-5.232,-4.275,-3.208,-5.1,-4.165,-3.153
2017,,,,-5.192,-4.227,-3.154,-5.05,-4.105,-3.084
2018,,,,-5.152,-4.179,-3.099,-4.999,-4.045,-3.014
2019,,,,-5.111,-4.13,-3.044,-4.948,-3.984,-2.943
2020,,,,-5.071,-4.082,-2.989,-4.896,-3.923,-2.872
2021,,,,-5.031,-4.033,-2.933,-4.844,-3.86,-2.799
2022,,,,-4.992,-3.985,-2.878,-4.792,-3.797,-2.725
2023,,,,-4.952,-3.936,-2.823,-4.739,-3.733,-2.651
2024,,,,-4.912,-3.887,-2.767,-4.686,-3.668,-2.575
2025,,,,-4.873,-3.838,-2.711,-4.632,-3.602,-2.499
2026,,,,-4.833,-3.79,-2.656,-4.578,-3.536,-2.422
2027,,,,-4.794,-3.741,-2.6,-4.523,-3.468,-2.344
2028,,,,-4.755,-3.692,-2.544,-4.469,-3.4,-2.265
2029,,,,-4.717,-3.643,-2.489,-4.413,-3.332,-2.185
2030,,,,-4.678,-3.595,-2.433,-4.358,-3.262,-2.104
2031,,,,-4.64,-3.546,-2.378,-4.302,-3.192,-2.023
2032,,,,-4.602,-3.498,-2.322,-4.245,-3.12,-1.94
2033,,,,-4.565,-3.449,-2.267,-4.189,-3.049,-1.857
2034,,,,-4.527,-3.401,-2.212,-4.131,-2.976,-1.773
2035,,,,-4.49,-3.353,-2.157,-4.074,-2.902,-1.688
2036,,,,-4.454,-3.305,-2.102,-4.016,-2.828,-1.603
2037,,,,-4.417,-3.257,-2.047,-3.958,-2.753,-1.517
2038,,,,-4.381,-3.21,-1.993,-3.899,-2.677,-1.429
2039,,,,-4.346,-3.162,-1.939,-3.841,-2.601,-1.342
2040,,,,-4.311,-3.115,-1.885,-3.781,-2.523,-1.253
2041,,,,-4.276,-3.068,-1.831,-3.722,-2.445,-1.164
2042,,,,-4.241,-3.022,-1.777,-3.662,-2.366,-1.074
2043,,,,-4.208,-2.975,-1.724,-3.602,-2.286,-0.983
2044,,,,-4.174,-2.929,-1.672,-3.541,-2.206,-0.891
2045,,,,-4.141,-2.883,-1.619,-3.48,-2.124,-0.799
2046,,,,-4.109,-2.838,-1.567,-3.419,-2.042,-0.706
2047,,,,-4.077,-2.793,-1.516,-3.358,-1.959,-0.613
2048,,,,-4.045,-2.748,-1.465,-3.296,-1.876,-0.518
2049,,,,-4.014,-2.703,-1.414,-3.234,-1.791,-0.423
2050,,,,-3.984,-2.659,-1.364,-3.172,-1.706,-0.328
2051,,,,-3.954,-2.616,-1.314,-3.109,-1.62,-0.232
2052,,,,-3.925,-2.572,-1.265,-3.047,-1.534,-0.135
2053,,,,-3.896,-2.53,-1.216,-2.984,-1.446,-0.037
2054,,,,-3.869,-2.487,-1.168,-2.92,-1.358,0.061
2055,,,,-3.841,-2.445,-1.121,-2.857,-1.269,0.16
2056,,,,-3.815,-2.404,-1.074,-2.793,-1.179,0.259
2057,,,,-3.789,-2.363,-1.027,-2.729,-1.088,0.359
2058,,,,-3.763,-2.323,-0.982,-2.664,-0.997,0.46
2059,,,,-3.739,-2.283,-0.937,-2.6,-0.905,0.561
2060,,,,-3.715,-2.243,-0.892,-2.535,-0.812,0.663
2061,,,,-3.691,-2.205,-0.849,-2.47,-0.718,0.765
2062,,,,-3.669,-2.166,-0.806,-2.404,-0.623,0.868
2063,,,,-3.647,-2.129,-0.763,-2.339,-0.528,0.971
2064,,,,-3.627,-2.092,-0.722,-2.273,-0.432,1.075
2065,,,,-3.606,-2.055,-0.681,-2.207,-0.335,1.179
2066,,,,-3.587,-2.02,-0.642,-2.141,-0.238,1.284
2067,,,,-3.569,-1.984,-0.603,-2.075,-0.139,1.39
2068,,,,-3.551,-1.95,-0.565,-2.008,-0.04,1.496
2069,,,,-3.534,-1.916,-0.527,-1.942,0.06,1.602
2070,,,,-3.518,-1.883,-0.491,-1.875,0.161,1.709
2071,,,,-3.503,-1.851,-0.455,-1.808,0.262,1.816
2072,,,,-3.489,-1.82,-0.421,-1.74,0.364,1.924
2073,,,,-3.476,-1.789,-0.387,-1.673,0.467,2.032
2074,,,,-3.464,-1.759,-0.355,-1.605,0.571,2.141
2075,,,,-3.453,-1.729,-0.323,-1.538,0.676,2.25
