Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,572.237,501.73,611.305,,551.379,,,558.924,
1951,596.701,502.089,611.166,,552,,,559.015,
1952,625.277,502.464,611.067,,552.633,,,559.131,
1953,581.856,502.853,611.01,,553.28,,,559.273,
1954,423.416,503.258,610.992,,553.939,,,559.439,
1955,499.413,503.678,611.014,,554.609,,,559.63,
1956,455.264,504.112,611.076,,555.292,,,559.846,
1957,515.65,504.56,611.176,,555.987,,,560.086,
1958,577.914,505.022,611.316,,556.693,,,560.351,
1959,580.282,505.498,611.493,,557.41,,,560.639,
1960,536.324,505.988,611.709,,558.139,,,560.952,
1961,360.284,506.49,611.962,,558.878,,,561.289,
1962,348.287,507.006,612.253,,559.629,,,561.649,
1963,487.428,507.535,612.58,,560.389,,,562.033,
1964,558.064,508.076,612.944,,561.16,,,562.441,
1965,562.961,508.629,613.344,,561.941,,,562.871,
1966,508.092,509.194,613.78,,562.732,,,563.325,
1967,486.386,509.771,614.252,,563.533,,,563.801,
1968,531.914,510.36,614.758,,564.343,,,564.3,
1969,535.141,510.96,615.299,,565.163,,,564.822,
1970,450.383,511.571,615.875,,565.991,,,565.366,
1971,587.666,512.192,616.485,,566.829,,,565.933,
1972,519.522,512.824,617.128,,567.675,,,566.521,
1973,549.297,513.467,617.898,,568.529,,,567.131,
1974,504.61,514.119,618.721,,569.392,,,567.764,
1975,561.242,514.781,619.564,,570.263,,,568.417,
1976,469.977,515.453,620.429,,571.142,,,569.093,
1977,595.746,516.134,621.313,,572.028,,,569.789,
1978,609.083,516.824,622.217,,572.922,,,570.507,
1979,631.9,517.522,623.14,,573.823,,,571.245,
1980,618.063,518.229,624.082,,574.731,,,572.005,
1981,574.633,518.945,625.043,,575.646,,,572.784,
1982,639.698,519.668,626.021,,576.568,,,573.585,
1983,602.104,520.399,627.017,,577.495,,,574.406,
1984,579.431,521.138,628.03,,578.43,,,575.247,
1985,547.56,521.884,629.06,,579.37,,,576.107,
