Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,2.962,1.798,4.048,,2.836,,,2.817,
1951,3.468,1.803,4.034,,2.832,,,2.818,
1952,4.272,1.808,4.021,,2.828,,,2.82,
1953,4.974,1.814,4.01,,2.826,,,2.822,
1954,3.143,1.822,4.005,,2.825,,,2.826,
1955,3.84,1.83,4.001,,2.825,,,2.83,
1956,2.569,1.839,3.999,,2.827,,,2.835,
1957,3.596,1.849,3.997,,2.83,,,2.841,
1958,2.969,1.859,3.996,,2.834,,,2.848,
1959,3.304,1.871,3.997,,2.84,,,2.856,
1960,3.715,1.884,3.998,,2.846,,,2.864,
1961,3.773,1.897,4.001,,2.854,,,2.874,
1962,3.021,1.911,4.004,,2.863,,,2.884,
1963,2.722,1.926,4.008,,2.873,,,2.895,
1964,3.66,1.941,4.014,,2.884,,,2.907,
1965,2.481,1.954,4.02,,2.897,,,2.92,
1966,3.441,1.966,4.027,,2.91,,,2.933,
1967,2.649,1.98,4.035,,2.925,,,2.948,
1968,3.231,1.995,4.044,,2.94,,,2.963,
1969,3.5,2.01,4.055,,2.957,,,2.979,
1970,2.767,2.027,4.066,,2.974,,,2.996,
1971,3.167,2.044,4.078,,2.993,,,3.014,
1972,1.926,2.062,4.091,,3.012,,,3.032,
1973,4.336,2.082,4.105,,3.033,,,3.051,
1974,2.796,2.102,4.119,,3.054,,,3.072,
1975,3.738,2.123,4.135,,3.077,,,3.092,
1976,2.059,2.145,4.152,,3.1,,,3.114,
1977,3.501,2.168,4.17,,3.124,,,3.137,
1978,2.227,2.192,4.188,,3.149,,,3.16,
1979,3.433,2.217,4.208,,3.175,,,3.184,
1980,2.26,2.242,4.228,,3.201,,,3.208,
1981,3.763,2.269,4.25,,3.229,,,3.234,
1982,2.786,2.296,4.272,,3.257,,,3.26,
1983,3.638,2.324,4.296,,3.286,,,3.287,
1984,3.6,2.353,4.323,,3.316,,,3.315,
1985,2.71,2.383,4.351,,3.346,,,3.344,
1986,3.301,2.413,4.379,,3.377,,,3.373,
1987,4.336,2.445,4.409,,3.409,,,3.403,
1988,3.489,2.477,4.439,,3.441,,,3.434,
1989,2.221,2.51,4.47,,3.475,,,3.466,
1990,4.294,2.543,4.502,,3.508,,,3.498,
1991,4.167,2.577,4.535,,3.543,,,3.531,
1992,2.377,2.613,4.569,,3.578,,,3.565,
1993,2.931,2.648,4.603,,3.613,,,3.599,
1994,3.033,2.685,4.638,,3.649,,,3.634,
1995,3.636,2.722,4.674,,3.686,,,3.67,
1996,3.31,2.76,4.71,,3.723,,,3.707,
1997,2.758,2.799,4.747,,3.761,,,3.744,
1998,5.806,2.838,4.785,,3.799,,,3.782,
1999,5.053,2.876,4.823,,3.837,,,3.821,
2000,3.741,2.91,4.862,,3.876,,,3.86,
2001,5.162,2.945,4.901,,3.916,,,3.901,
2002,4.742,2.98,4.941,,3.955,,,3.941,
2003,3.621,3.016,4.982,,3.995,,,3.983,
2004,3.399,3.052,5.023,,4.036,,,4.025,
2005,4.842,3.087,5.064,,4.077,,,4.068,
2006,5.474,3.124,5.106,,4.118,,,4.112,
2007,4.162,,,3.16,4.16,5.148,3.22,4.156,5.118
2008,4.083,,,3.196,4.201,5.191,3.266,4.201,5.163
2009,3.867,,,3.233,4.243,5.234,3.312,4.246,5.209
2010,5.959,,,3.27,4.286,5.278,3.359,4.293,5.256
2011,5.061,,,3.307,4.328,5.322,3.406,4.339,5.303
2012,5.649,,,3.344,4.371,5.366,3.453,4.387,5.352
2013,4.02,,,3.381,4.414,5.411,3.501,4.435,5.401
2014,,,,3.418,4.457,5.456,3.55,4.484,5.451
