Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,929.113,826.751,1035.73,,925.533,,,925.919,
1951,1106.208,826.154,1034.677,,925.322,,,925.846,
1952,1016.074,825.602,1033.698,,925.147,,,925.794,
1953,866.361,825.093,1032.793,,925.006,,,925.763,
1954,1118.753,824.627,1031.961,,924.899,,,925.753,
1955,876.99,824.204,1031.202,,924.826,,,925.764,
1956,1021.167,823.822,1030.514,,924.786,,,925.795,
1957,996.506,823.481,1029.896,,924.778,,,925.848,
1958,933.103,823.181,1029.347,,924.803,,,925.921,
1959,979.64,822.92,1028.867,,924.859,,,926.014,
1960,930.52,822.699,1028.454,,924.946,,,926.128,
1961,870.57,822.516,1028.107,,925.064,,,926.262,
1962,792.728,822.37,1027.826,,925.212,,,926.416,
1963,823.252,822.262,1027.704,,925.389,,,926.59,
1964,794.424,822.191,1027.79,,925.596,,,926.784,
1965,991.432,822.149,1027.917,,925.831,,,926.998,
1966,924.756,821.812,1028.085,,926.094,,,927.231,
1967,1070.628,821.527,1028.294,,926.384,,,927.484,
1968,863.924,821.292,1028.543,,926.702,,,927.757,
1969,929.205,821.107,1028.831,,927.046,,,928.049,
1970,912.065,820.971,1029.157,,927.416,,,928.36,
1971,885.602,820.884,1029.52,,927.812,,,928.69,
1972,1108.544,820.845,1029.921,,928.233,,,929.04,
1973,1009.176,820.852,1030.358,,928.678,,,929.408,
1974,970.385,820.906,1030.831,,929.148,,,929.795,
1975,801.241,821.005,1031.338,,929.641,,,930.201,
1976,938.228,821.148,1031.88,,930.157,,,930.625,
1977,897.273,821.336,1032.456,,930.695,,,931.068,
1978,808.496,821.567,1033.064,,931.256,,,931.529,
1979,985.1,821.84,1033.704,,931.838,,,932.008,
1980,967.92,822.154,1034.376,,932.441,,,932.506,
1981,979.63,822.51,1035.079,,933.065,,,933.021,
1982,872.008,822.906,1035.812,,933.709,,,933.555,
1983,981.219,823.34,1036.574,,934.372,,,934.106,
1984,983.763,823.814,1037.365,,935.055,,,934.675,
1985,895.043,824.325,1038.184,,935.755,,,935.261,
1986,951.519,824.873,1039.03,,936.474,,,935.865,
1987,875.403,825.458,1039.903,,937.211,,,936.487,
1988,1023.947,826.078,1040.802,,937.964,,,937.125,
1989,959.319,826.732,1041.727,,938.734,,,937.781,
1990,988.837,827.421,1042.676,,939.52,,,938.454,
1991,889.064,828.143,1043.85,,940.322,,,939.144,
1992,998.625,828.897,1045.088,,941.138,,,939.85,
1993,1017.002,829.683,1046.362,,941.969,,,940.574,
1994,922.513,830.5,1047.67,,942.814,,,941.313,
1995,926.071,831.347,1049.013,,943.673,,,942.07,
1996,934.219,832.224,1050.388,,944.544,,,942.843,
1997,908.91,833.129,1051.796,,945.428,,,943.632,
1998,870.339,834.062,1053.234,,946.324,,,944.437,
1999,973.42,835.022,1054.703,,947.232,,,945.258,
2000,898.053,836.008,1056.2,,948.151,,,946.095,
2001,910.774,837.02,1057.726,,949.08,,,946.948,
2002,796.569,838.057,1059.279,,950.019,,,947.817,
2003,1041.575,839.118,1060.859,,950.967,,,948.701,
2004,851.856,840.202,1062.463,,951.925,,,949.601,
2005,865.355,841.309,1064.092,,952.891,,,950.516,
2006,1090.547,842.437,1065.744,,953.865,,,951.446,
2007,895.885,,,844.362,954.847,1061.907,843.587,952.392,1067.419
2008,1081.842,,,845.249,955.836,1063.182,844.757,953.352,1069.115
2009,928.321,,,846.144,956.831,1064.467,845.946,954.328,1070.832
2010,913.775,,,847.045,957.832,1065.764,847.154,955.318,1072.568
2011,933.917,,,847.952,958.838,1067.071,848.38,956.323,1074.323
2012,841.197,,,848.864,959.85,1068.388,849.623,957.343,1076.095
2013,982.286,,,849.781,960.866,1069.713,850.882,958.377,1077.884
2014,,,,850.701,961.886,1071.046,852.157,959.425,1079.689
2015,,,,851.625,962.91,1072.387,853.447,960.488,1081.508
2016,,,,852.551,963.936,1073.734,854.752,961.565,1083.342
2017,,,,853.48,964.965,1075.088,856.069,962.656,1085.188
2018,,,,854.409,965.996,1076.447,857.4,963.761,1087.046
2019,,,,855.339,967.029,1077.81,858.742,964.88,1088.915
2020,,,,856.269,968.062,1079.178,860.095,966.013,1090.794
2021,,,,857.198,969.096,1080.549,861.458,967.159,1092.682
2022,,,,858.126,970.13,1081.922,862.831,968.318,1094.578
2023,,,,859.052,971.163,1083.297,864.213,969.491,1096.482
2024,,,,859.975,972.195,1084.674,865.603,970.678,1098.391
2025,,,,860.895,973.226,1086.051,867,971.877,1100.306
2026,,,,861.811,974.255,1087.428,868.404,973.09,1102.224
2027,,,,862.723,975.281,1088.804,869.813,974.315,1104.147
2028,,,,863.629,976.304,1090.179,871.228,975.554,1106.071
2029,,,,864.529,977.324,1091.551,872.647,976.805,1107.997
2030,,,,865.422,978.34,1092.921,874.069,978.068,1109.923
2031,,,,866.309,979.351,1094.286,875.494,979.345,1111.849
2032,,,,867.187,980.357,1095.648,876.92,980.633,1113.773
2033,,,,868.057,981.357,1097.005,878.348,981.934,1115.695
2034,,,,868.918,982.352,1098.356,879.777,983.247,1117.613
2035,,,,869.768,983.34,1099.7,881.205,984.572,1119.527
2036,,,,870.609,984.321,1101.038,882.632,985.909,1121.436
