Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,-1.053,-2.051,-0.019,,-1.093,,,-1.078,
1951,0.034,-2.043,-0.024,,-1.093,,,-1.077,
1952,0.623,-2.034,-0.027,,-1.093,,,-1.075,
1953,0.898,-2.025,-0.028,,-1.092,,,-1.072,
1954,-0.567,-2.014,-0.029,,-1.089,,,-1.068,
1955,-0.1,-2.003,-0.029,,-1.085,,,-1.063,
1956,-1.672,-1.991,-0.028,,-1.081,,,-1.058,
1957,-0.799,-1.978,-0.025,,-1.075,,,-1.052,
1958,-0.324,-1.965,-0.022,,-1.068,,,-1.045,
1959,-0.95,-1.951,-0.018,,-1.06,,,-1.037,
1960,0.034,-1.936,-0.013,,-1.051,,,-1.028,
1961,0.055,-1.92,-0.007,,-1.041,,,-1.019,
1962,-1.172,-1.904,0,,-1.03,,,-1.008,
1963,-1.193,-1.886,0.008,,-1.018,,,-0.997,
1964,-1.206,-1.869,0.017,,-1.005,,,-0.985,
1965,-2.046,-1.85,0.027,,-0.991,,,-0.973,
1966,0.297,-1.833,0.038,,-0.976,,,-0.959,
1967,-1.34,-1.816,0.049,,-0.96,,,-0.945,
1968,-0.672,-1.798,0.062,,-0.944,,,-0.93,
1969,-0.255,-1.78,0.076,,-0.926,,,-0.914,
1970,-1.076,-1.76,0.09,,-0.908,,,-0.897,
1971,-0.875,-1.74,0.106,,-0.888,,,-0.88,
1972,-2.616,-1.72,0.122,,-0.868,,,-0.862,
1973,0.457,-1.698,0.139,,-0.847,,,-0.843,
1974,-1.76,-1.676,0.158,,-0.825,,,-0.823,
1975,-0.365,-1.653,0.177,,-0.803,,,-0.802,
1976,-1.449,-1.63,0.197,,-0.78,,,-0.781,
1977,0.083,-1.606,0.218,,-0.755,,,-0.759,
1978,-1.493,-1.581,0.24,,-0.731,,,-0.736,
1979,0.283,-1.555,0.263,,-0.705,,,-0.712,
1980,-1.405,-1.529,0.287,,-0.679,,,-0.688,
1981,0.843,-1.502,0.312,,-0.652,,,-0.663,
1982,-1.212,-1.475,0.339,,-0.624,,,-0.637,
1983,0.148,-1.446,0.367,,-0.596,,,-0.61,
1984,-0.303,-1.418,0.396,,-0.567,,,-0.583,
1985,-1.459,-1.388,0.425,,-0.537,,,-0.555,
1986,-1.19,-1.358,0.455,,-0.507,,,-0.526,
