Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1015.152,868.716,1075.958,,981.352,,,984.424,
1951,963.349,868.304,1074.209,,980.249,,,982.801,
1952,1059.624,867.939,1072.56,,979.203,,,981.263,
1953,913.509,867.62,1071.01,,978.214,,,979.808,
1954,1031.818,867.345,1069.556,,977.28,,,978.436,
1955,953.387,867.115,1068.199,,976.402,,,977.146,
1956,992.88,866.929,1066.936,,975.579,,,975.936,
1957,995.278,866.785,1065.767,,974.809,,,974.806,
1958,972.512,866.54,1064.691,,974.093,,,973.755,
1959,968.639,866.301,1063.705,,973.429,,,972.781,
1960,996.82,866.118,1062.81,,972.817,,,971.884,
1961,813.465,865.99,1062.004,,972.255,,,971.063,
1962,854.605,865.916,1061.291,,971.745,,,970.317,
1963,887.042,865.895,1061.047,,971.284,,,969.644,
1964,1062.017,865.927,1060.865,,970.872,,,969.044,
1965,931.806,866.01,1060.742,,970.508,,,968.516,
1966,1072.528,866.143,1060.678,,970.193,,,968.058,
1967,928.292,866.327,1060.673,,969.924,,,967.671,
1968,884.491,866.56,1060.724,,969.701,,,967.352,
1969,972.753,866.841,1060.832,,969.524,,,967.101,
1970,957.187,867.169,1060.996,,969.392,,,966.916,
1971,978.047,867.545,1061.213,,969.305,,,966.797,
1972,896.538,867.966,1061.484,,969.26,,,966.743,
1973,1101.816,868.432,1061.808,,969.259,,,966.753,
1974,981.822,868.942,1062.182,,969.3,,,966.826,
1975,890.354,869.496,1062.608,,969.383,,,966.96,
1976,1013.827,870.092,1063.083,,969.506,,,967.155,
1977,894.997,870.73,1063.607,,969.67,,,967.41,
1978,970.508,871.409,1064.178,,969.872,,,967.724,
1979,1065.104,872.129,1064.797,,970.114,,,968.095,
1980,956.069,872.887,1065.461,,970.394,,,968.524,
1981,936.499,873.684,1066.17,,970.711,,,969.008,
1982,966.286,874.519,1066.923,,971.065,,,969.547,
1983,1074.154,875.391,1067.719,,971.455,,,970.14,
1984,894.597,876.298,1068.557,,971.881,,,970.785,
1985,918.377,877.241,1069.436,,972.341,,,971.483,
1986,954.645,878.14,1070.356,,972.835,,,972.231,
1987,862.557,878.958,1071.315,,973.362,,,973.029,
1988,1022.575,879.798,1072.312,,973.922,,,973.876,
1989,863.877,880.657,1073.346,,974.514,,,974.771,
1990,1023.305,881.537,1074.417,,975.137,,,975.713,
1991,857.293,882.436,1075.523,,975.791,,,976.7,
1992,1022.473,883.353,1076.663,,976.474,,,977.733,
1993,1064.145,884.288,1077.838,,977.187,,,978.809,
1994,1133.506,885.24,1079.045,,977.928,,,979.928,
1995,1220.657,886.208,1080.283,,978.697,,,981.089,
1996,1327.871,887.192,1081.552,,979.494,,,982.291,
1997,1035.089,888.191,1082.852,,980.316,,,983.533,
1998,1059.216,889.203,1084.18,,981.165,,,984.813,
1999,1086.884,890.23,1085.535,,982.038,,,986.132,
2000,971.445,891.269,1087.008,,982.936,,,987.487,
2001,985.958,892.32,1088.769,,983.858,,,988.879,
2002,679.758,893.383,1090.569,,984.803,,,990.305,
2003,994.335,894.457,1092.407,,985.77,,,991.765,
2004,676.753,895.54,1094.283,,986.758,,,993.259,
2005,572.893,896.633,1096.194,,987.768,,,994.784,
2006,670.669,897.734,1098.141,,988.798,,,996.34,
2007,668.651,,,898.843,989.847,1097.274,905.251,997.926,1100.12
2008,858.128,,,899.96,990.916,1098.839,906.779,999.541,1102.133
2009,744.241,,,901.083,992.003,1100.422,908.323,1001.183,1104.176
2010,757.266,,,902.212,993.107,1102.022,909.882,1002.853,1106.249
2011,881.726,,,903.346,994.228,1103.639,911.455,1004.549,1108.351
2012,877.049,,,904.484,995.365,1105.272,913.041,1006.27,1110.481
2013,896.188,,,905.626,996.518,1106.92,914.64,1008.014,1112.636
2014,,,,906.771,997.686,1108.581,916.25,1009.782,1114.818
2015,,,,907.918,998.867,1110.255,917.871,1011.572,1117.022
2016,,,,909.067,1000.063,1111.941,919.501,1013.382,1119.25
2017,,,,910.217,1001.271,1113.638,921.141,1015.213,1121.499
2018,,,,911.367,1002.491,1115.344,922.789,1017.062,1123.769
