Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,1014.547,865.637,1091.403,,994.119,,,998.989,
1951,974.421,865.687,1090.075,,992.356,,,996.796,
1952,984.003,865.767,1088.832,,990.681,,,994.707,
1953,967.719,865.876,1087.675,,989.095,,,992.721,
1954,1119.499,866.013,1086.603,,987.595,,,990.836,
1955,845.802,866.18,1085.614,,986.181,,,989.052,
1956,921.039,866.374,1084.708,,984.851,,,987.367,
1957,888.227,866.596,1083.883,,983.605,,,985.781,
1958,1000.243,866.845,1083.14,,982.441,,,984.291,
1959,923.222,867.12,1082.477,,981.358,,,982.897,
1960,919.137,867.422,1081.893,,980.354,,,981.598,
1961,790.916,867.75,1081.387,,979.43,,,980.392,
1962,818.982,868.103,1080.959,,978.583,,,979.278,
1963,868.141,867.871,1080.677,,977.812,,,978.254,
1964,1011.293,867.513,1080.674,,977.117,,,977.321,
1965,1002.608,867.224,1080.732,,976.495,,,976.476,
1966,1190.575,867.002,1080.849,,975.947,,,975.718,
1967,986.317,866.845,1081.024,,975.47,,,975.046,
1968,1117.93,866.754,1081.256,,975.064,,,974.459,
1969,1229.021,866.726,1081.546,,974.727,,,973.956,
1970,1031.949,866.761,1081.89,,974.459,,,973.535,
1971,1146.794,866.859,1082.29,,974.258,,,973.196,
1972,1137.89,867.018,1082.743,,974.122,,,972.936,
1973,1130.84,867.236,1083.248,,974.052,,,972.755,
1974,965.489,867.514,1083.806,,974.045,,,972.652,
1975,882.227,867.85,1084.414,,974.101,,,972.626,
1976,1129.43,868.244,1085.072,,974.218,,,972.674,
1977,937.659,868.693,1085.779,,974.396,,,972.796,
1978,906.198,869.198,1086.535,,974.632,,,972.992,
1979,1127.44,869.758,1087.337,,974.927,,,973.258,
1980,1047.803,870.371,1088.185,,975.278,,,973.596,
1981,995.955,871.036,1089.079,,975.684,,,974.002,
1982,919.654,871.752,1090.017,,976.146,,,974.476,
1983,1157.428,872.52,1090.998,,976.66,,,975.017,
1984,848.876,873.336,1092.021,,977.227,,,975.624,
1985,861.917,874.202,1093.086,,977.844,,,976.295,
1986,914.993,875.115,1094.191,,978.511,,,977.029,
1987,871.438,876.074,1095.336,,979.227,,,977.825,
1988,940.484,877.079,1096.52,,979.991,,,978.682,
1989,820.484,878.129,1097.741,,980.801,,,979.598,
1990,950.679,879.223,1098.999,,981.656,,,980.572,
1991,914.594,880.36,1100.292,,982.555,,,981.604,
1992,982.895,881.538,1101.62,,983.497,,,982.692,
1993,1099.678,882.758,1102.983,,984.481,,,983.834,
1994,1141.598,884.017,1104.378,,985.505,,,985.029,
1995,1079.655,885.315,1105.805,,986.569,,,986.277,
1996,1180.827,886.651,1107.263,,987.671,,,987.576,
1997,912.575,888.024,1108.751,,988.81,,,988.925,
1998,1099.028,889.434,1110.269,,989.985,,,990.323,
1999,1086.627,890.878,1111.815,,991.195,,,991.768,
2000,967.073,892.357,1113.388,,992.438,,,993.259,
2001,985.442,893.868,1115.253,,993.714,,,994.795,
2002,614.765,895.412,1117.199,,995.022,,,996.376,
2003,1029.591,896.987,1119.186,,996.359,,,997.998,
2004,845.695,898.593,1121.214,,997.726,,,999.662,
2005,1002.718,900.227,1123.281,,999.12,,,1001.367,
2006,985.934,901.89,1125.387,,1000.541,,,1003.11,
2007,951.003,,,903.279,1001.988,1125.083,903.581,1004.891,1127.531
2008,1091.598,,,904.333,1003.459,1126.84,905.298,1006.709,1129.712
2009,894.337,,,905.392,1004.953,1128.616,907.04,1008.562,1131.928
2010,1002.545,,,906.456,1006.47,1130.41,908.807,1010.45,1134.18
2011,1050.828,,,907.525,1008.007,1132.221,910.598,1012.37,1136.466
2012,1003.463,,,908.597,1009.564,1134.047,912.411,1014.322,1138.785
2013,895.035,,,909.672,1011.14,1135.889,914.245,1016.305,1141.137
2014,,,,910.751,1012.733,1137.745,916.101,1018.316,1143.52
2015,,,,911.831,1014.343,1139.614,917.976,1020.357,1145.934
2016,,,,912.914,1015.968,1141.495,919.869,1022.424,1148.378
2017,,,,913.999,1017.607,1143.388,921.781,1024.516,1150.851
2018,,,,915.084,1019.258,1145.29,923.709,1026.634,1153.352
2019,,,,916.171,1020.922,1147.203,925.653,1028.774,1155.88
2020,,,,917.258,1022.596,1149.123,927.612,1030.937,1158.435
2021,,,,918.344,1024.279,1151.051,929.585,1033.121,1161.015
2022,,,,919.43,1025.97,1152.986,931.571,1035.324,1163.619
2023,,,,920.516,1027.669,1154.926,933.569,1037.546,1166.247
2024,,,,921.599,1029.374,1156.871,935.578,1039.785,1168.898
2025,,,,922.681,1031.083,1158.819,937.597,1042.04,1171.571
2026,,,,923.761,1032.796,1160.77,939.625,1044.311,1174.264
2027,,,,924.838,1034.511,1162.724,941.661,1046.594,1176.978
2028,,,,925.911,1036.228,1164.677,943.705,1048.891,1179.711
2029,,,,926.982,1037.945,1166.631,945.754,1051.198,1182.463
2030,,,,928.048,1039.661,1168.584,947.809,1053.516,1185.232
2031,,,,929.11,1041.374,1170.535,949.868,1055.842,1188.017
2032,,,,930.166,1043.085,1172.484,951.931,1058.176,1190.819
2033,,,,931.218,1044.791,1174.428,953.995,1060.517,1193.635
