Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,4.576,3.371,5.371,,4.47,,,4.471,
1951,5.919,3.374,5.36,,4.46,,,4.465,
1952,5.643,3.377,5.35,,4.452,,,4.461,
1953,5.854,3.382,5.341,,4.445,,,4.457,
1954,5.029,3.387,5.334,,4.44,,,4.454,
1955,5.076,3.393,5.327,,4.436,,,4.452,
1956,4.708,3.4,5.322,,4.433,,,4.451,
1957,4.551,3.408,5.318,,4.431,,,4.451,
1958,5.305,3.416,5.315,,4.431,,,4.451,
1959,4.574,3.425,5.314,,4.431,,,4.453,
1960,5.779,3.435,5.313,,4.433,,,4.456,
1961,4.778,3.443,5.314,,4.436,,,4.459,
1962,4.264,3.451,5.315,,4.44,,,4.464,
1963,4.526,3.46,5.318,,4.446,,,4.469,
1964,4.135,3.471,5.322,,4.452,,,4.475,
1965,3.98,3.482,5.327,,4.46,,,4.482,
1966,5.754,3.495,5.333,,4.468,,,4.49,
1967,4.703,3.508,5.341,,4.478,,,4.499,
1968,4.757,3.522,5.349,,4.489,,,4.509,
1969,5.769,3.537,5.359,,4.5,,,4.519,
1970,5.039,3.553,5.369,,4.513,,,4.531,
1971,5.04,3.57,5.381,,4.527,,,4.543,
1972,3.282,3.588,5.393,,4.541,,,4.556,
1973,4.911,3.606,5.407,,4.557,,,4.57,
1974,3.972,3.626,5.422,,4.574,,,4.585,
1975,4.587,3.646,5.437,,4.591,,,4.6,
1976,4.436,3.667,5.454,,4.609,,,4.617,
1977,4.918,3.689,5.472,,4.629,,,4.634,
1978,4.163,3.711,5.492,,4.649,,,4.652,
1979,5.705,3.735,5.513,,4.67,,,4.671,
1980,4.245,3.759,5.535,,4.692,,,4.691,
1981,5.895,3.783,5.558,,4.714,,,4.711,
1982,4.596,3.809,5.582,,4.737,,,4.733,
1983,5.575,3.835,5.607,,4.762,,,4.755,
1984,4.915,3.861,5.632,,4.786,,,4.778,
1985,4.308,3.889,5.659,,4.812,,,4.802,
1986,4.272,3.917,5.686,,4.838,,,4.826,
1987,4.977,3.945,5.713,,4.865,,,4.851,
1988,4.949,3.974,5.742,,4.893,,,4.877,
1989,4.692,4.004,5.771,,4.922,,,4.904,
1990,4.909,4.034,5.801,,4.951,,,4.932,
1991,4.726,4.064,5.832,,4.98,,,4.96,
1992,4.057,4.095,5.864,,5.01,,,4.989,
1993,3.884,4.127,5.896,,5.041,,,5.019,
1994,4.772,4.159,5.928,,5.073,,,5.049,
1995,5.074,4.191,5.962,,5.105,,,5.08,
1996,5.533,4.224,5.996,,5.137,,,5.112,
1997,4.48,4.258,6.03,,5.17,,,5.145,
1998,6.002,4.291,6.065,,5.204,,,5.179,
1999,6.87,4.325,6.101,,5.238,,,5.213,
2000,5.743,4.36,6.139,,5.272,,,5.248,
2001,6.107,4.394,6.179,,5.307,,,5.283,
2002,5.161,4.429,6.219,,5.343,,,5.319,
2003,5.35,4.465,6.26,,5.379,,,5.356,
2004,5.218,4.5,6.302,,5.415,,,5.394,
2005,5.817,4.536,6.344,,5.451,,,5.432,
2006,6.988,4.572,6.388,,5.488,,,5.471,
2007,5.42,,,4.608,5.526,6.403,4.637,5.511,6.432
2008,6.022,,,4.645,5.563,6.443,4.676,5.551,6.477
2009,5.656,,,4.681,5.601,6.483,4.715,5.592,6.522
2010,7.203,,,4.718,5.639,6.523,4.755,5.634,6.569
2011,6.185,,,4.755,5.678,6.564,4.796,5.676,6.616
2012,7.011,,,4.792,5.717,6.605,4.837,5.719,6.663
2013,5.946,,,4.829,5.756,6.646,4.878,5.763,6.712
2014,,,,4.866,5.795,6.688,4.919,5.807,6.761
2015,,,,4.904,5.834,6.73,4.961,5.852,6.811
2016,,,,4.941,5.874,6.772,5.004,5.897,6.861
2017,,,,4.978,5.914,6.814,5.047,5.943,6.913
2018,,,,5.016,5.953,6.856,5.09,5.99,6.965
2019,,,,5.053,5.993,6.899,5.134,6.037,7.017
2020,,,,5.09,6.034,6.942,5.178,6.085,7.07
2021,,,,5.128,6.074,6.985,5.223,6.134,7.124
2022,,,,5.165,6.114,7.028,5.267,6.183,7.179
2023,,,,5.202,6.155,7.071,5.313,6.233,7.234
2024,,,,5.239,6.195,7.115,5.358,6.283,7.289
2025,,,,5.276,6.235,7.158,5.404,6.334,7.346
2026,,,,5.313,6.276,7.202,5.451,6.385,7.403
2027,,,,5.349,6.316,7.245,5.498,6.438,7.46
2028,,,,5.386,6.357,7.289,5.545,6.49,7.518
2029,,,,5.422,6.397,7.332,5.592,6.543,7.577
2030,,,,5.458,6.437,7.376,5.64,6.597,7.636
2031,,,,5.494,6.477,7.419,5.688,6.651,7.696
2032,,,,5.53,6.517,7.463,5.736,6.706,7.756
2033,,,,5.565,6.557,7.506,5.785,6.762,7.817
2034,,,,5.6,6.597,7.549,5.834,6.818,7.878
2035,,,,5.635,6.637,7.593,5.884,6.874,7.94
2036,,,,5.669,6.676,7.636,5.933,6.931,8.003
2037,,,,5.703,6.716,7.678,5.983,6.988,8.066
2038,,,,5.737,6.755,7.721,6.034,7.046,8.129
2039,,,,5.77,6.794,7.764,6.084,7.105,8.193
2040,,,,5.803,6.832,7.806,6.135,7.164,8.257
2041,,,,5.836,6.871,7.848,6.186,7.224,8.322
2042,,,,5.868,6.909,7.89,6.238,7.284,8.388
2043,,,,5.899,6.947,7.932,6.289,7.344,8.454
2044,,,,5.93,6.984,7.973,6.341,7.405,8.52
2045,,,,5.961,7.021,8.015,6.393,7.467,8.586
2046,,,,5.991,7.058,8.055,6.446,7.529,8.654
2047,,,,6.021,7.095,8.096,6.498,7.591,8.721
2048,,,,6.05,7.131,8.136,6.551,7.654,8.789
2049,,,,6.079,7.166,8.176,6.604,7.717,8.857
2050,,,,6.106,7.201,8.215,6.658,7.781,8.926
2051,,,,6.134,7.236,8.254,6.711,7.845,8.995
2052,,,,6.161,7.271,8.293,6.765,7.91,9.065
2053,,,,6.187,7.304,8.331,6.819,7.975,9.135
2054,,,,6.212,7.338,8.369,6.873,8.041,9.205
2055,,,,6.237,7.371,8.406,6.927,8.107,9.276
2056,,,,6.261,7.403,8.443,6.982,8.174,9.347
2057,,,,6.284,7.435,8.479,7.036,8.24,9.418
2058,,,,6.307,7.466,8.515,7.091,8.308,9.489
2059,,,,6.329,7.496,8.55,7.146,8.375,9.561
2060,,,,6.35,7.526,8.585,7.201,8.444,9.634
2061,,,,6.37,7.556,8.619,7.257,8.512,9.706
2062,,,,6.39,7.585,8.653,7.312,8.581,9.779
2063,,,,6.409,7.613,8.685,7.368,8.65,9.852
2064,,,,6.426,7.64,8.718,7.424,8.72,9.926
2065,,,,6.443,7.667,8.749,7.48,8.79,9.999
2066,,,,6.46,7.693,8.78,7.536,8.861,10.073
2067,,,,6.475,7.718,8.811,7.592,8.931,10.148
2068,,,,6.489,7.743,8.84,7.648,9.003,10.222
2069,,,,6.503,7.767,8.869,7.705,9.074,10.297
2070,,,,6.515,7.79,8.897,7.761,9.146,10.372
2071,,,,6.526,7.812,8.924,7.818,9.218,10.447
2072,,,,6.537,7.833,8.951,7.874,9.291,10.522
2073,,,,6.546,7.854,8.977,7.931,9.364,10.598
2074,,,,6.555,7.874,9.002,7.988,9.437,10.674
2075,,,,6.562,7.892,9.026,8.045,9.511,10.75
2076,,,,6.569,7.91,9.049,8.102,9.585,10.826
2077,,,,6.574,7.928,9.072,8.159,9.659,10.902
2078,,,,6.578,7.944,9.093,8.216,9.734,10.979
2079,,,,6.581,7.959,9.114,8.273,9.808,11.055
2080,,,,6.583,7.973,9.134,8.33,9.884,11.132
2081,,,,6.584,7.986,9.153,8.388,9.959,11.209
2082,,,,6.584,7.999,9.17,8.445,10.035,11.286
2083,,,,6.582,8.01,9.187,8.502,10.111,11.363
2084,,,,6.579,8.02,9.203,8.56,10.187,11.44
2085,,,,6.575,8.029,9.218,8.617,10.264,11.518
2086,,,,6.57,8.038,9.232,8.674,10.341,11.595
2087,,,,6.563,8.045,9.245,8.732,10.418,11.673
2088,,,,6.556,8.051,9.257,8.789,10.496,11.75
2089,,,,6.546,8.056,9.267,8.846,10.573,11.828
2090,,,,6.536,8.059,9.277,8.904,10.651,11.906
2091,,,,6.524,8.062,9.285,8.961,10.73,11.984
2092,,,,6.511,8.063,9.293,9.018,10.808,12.062
2093,,,,6.497,8.063,9.299,9.075,10.887,12.139
2094,,,,6.481,8.062,9.304,9.133,10.966,12.217
2095,,,,6.463,8.06,9.308,9.19,11.045,12.295
2096,,,,6.445,8.057,9.31,9.247,11.124,12.373
2097,,,,6.424,8.052,9.312,9.304,11.204,12.451
2098,,,,6.403,8.046,9.312,9.361,11.284,12.529
2099,,,,6.38,8.039,9.311,9.418,11.364,12.607
2100,,,,6.355,8.03,9.308,9.475,11.444,12.685
