Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1950,769.559,958.624,1200.91,,1078.979,,,1081.639,
1951,983.953,957.475,1199.149,,1077.524,,,1080.109,
1952,831.597,956.385,1197.477,,1076.141,,,1078.648,
1953,945.58,955.354,1195.893,,1074.827,,,1077.254,
1954,918.077,954.381,1194.397,,1073.583,,,1075.927,
1955,869.474,953.465,1192.986,,1072.407,,,1074.667,
1956,806.805,952.606,1191.66,,1071.299,,,1073.471,
1957,926.937,951.803,1190.418,,1070.257,,,1072.341,
1958,1110.89,951.055,1189.258,,1069.281,,,1071.275,
1959,953.063,950.361,1188.181,,1068.37,,,1070.272,
1960,872.816,949.722,1187.184,,1067.522,,,1069.332,
1961,939.05,949.135,1186.267,,1066.737,,,1068.454,
1962,1027.538,948.601,1185.428,,1066.014,,,1067.637,
1963,836.223,948.118,1184.667,,1065.352,,,1066.88,
1964,988.166,947.687,1183.982,,1064.75,,,1066.183,
1965,892.562,947.306,1183.373,,1064.207,,,1065.545,
1966,835.739,946.974,1182.839,,1063.721,,,1064.966,
1967,1116.004,946.692,1182.377,,1063.293,,,1064.444,
1968,1078.257,946.457,1181.988,,1062.922,,,1063.979,
1969,927.958,946.27,1181.67,,1062.605,,,1063.569,
1970,950.825,946.13,1181.422,,1062.343,,,1063.216,
1971,942.701,946.036,1181.243,,1062.134,,,1062.917,
1972,1154.612,945.988,1181.133,,1061.977,,,1062.672,
1973,916.584,945.984,1181.089,,1061.872,,,1062.48,
1974,984.823,946.024,1181.111,,1061.817,,,1062.34,
1975,922.483,946.108,1181.198,,1061.812,,,1062.253,
1976,1173.935,946.234,1181.349,,1061.856,,,1062.216,
1977,1080.373,946.402,1181.563,,1061.947,,,1062.23,
1978,995.017,946.612,1181.839,,1062.086,,,1062.293,
1979,1262.663,946.861,1182.175,,1062.27,,,1062.406,
1980,1167.769,947.151,1182.571,,1062.498,,,1062.566,
1981,1232.502,947.48,1183.025,,1062.771,,,1062.774,
1982,1100.945,947.847,1183.537,,1063.087,,,1063.028,
1983,1149.432,948.252,1184.106,,1063.445,,,1063.328,
1984,1074.708,948.695,1184.729,,1063.844,,,1063.674,
1985,960.816,949.161,1185.407,,1064.283,,,1064.064,
1986,983.892,949.509,1186.139,,1064.761,,,1064.498,
1987,1006.52,949.885,1186.922,,1065.278,,,1064.975,
1988,1196.049,950.288,1187.757,,1065.832,,,1065.495,
1989,1083.411,950.717,1188.642,,1066.422,,,1066.056,
1990,1365.13,951.171,1189.577,,1067.048,,,1066.658,
1991,1048.291,951.65,1190.559,,1067.708,,,1067.3,
1992,972.95,952.153,1191.588,,1068.402,,,1067.982,
1993,1066.105,952.681,1192.663,,1069.129,,,1068.702,
1994,1148.54,953.231,1193.783,,1069.887,,,1069.46,
1995,1109.199,953.803,1194.946,,1070.676,,,1070.256,
1996,1162.255,954.398,1196.153,,1071.495,,,1071.088,
1997,964.195,955.014,1197.401,,1072.343,,,1071.956,
1998,1045.635,955.65,1198.69,,1073.218,,,1072.859,
1999,1172.69,956.307,1200.018,,1074.121,,,1073.796,
2000,1166.815,956.983,1201.385,,1075.05,,,1074.767,
2001,789.396,957.678,1202.789,,1076.004,,,1075.771,
2002,744.302,958.391,1204.23,,1076.981,,,1076.807,
2003,1140.484,959.122,1205.707,,1077.983,,,1077.875,
2004,1058.164,959.87,1207.217,,1079.006,,,1078.974,
2005,1059.893,960.634,1208.761,,1080.051,,,1080.102,
2006,950.439,961.414,1210.337,,1081.116,,,1081.26,
2007,997.592,,,962.209,1082.201,1210.98,967.479,1082.446,1211.944
2008,1133.67,,,963.019,1083.304,1212.51,968.601,1083.66,1213.582
2009,1092.956,,,963.843,1084.425,1214.061,969.742,1084.902,1215.248
2010,1025.774,,,964.681,1085.562,1215.631,970.902,1086.169,1216.942
2011,1145.81,,,965.531,1086.715,1217.221,972.08,1087.463,1218.664
